assists,benchmarks.gold_per_min.raw,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,benchmarks.xp_per_min.raw,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,kda_lookup_value,hero_lane_kda,hero_lane_gpm,hero_lane_xpm,ka,kda,expected_kda_ratio,kda_ratio,expected_gpm_ratio,gpm_ratio,expected_xpm_ratio,xpm_ratio
6,531,0.1980582524271844,0.883495145631068,0.8213592233009709,0.9029126213592232,56,0.4,0.1922330097087378,455,7,5,5,4,"[0, 1, 2, 2, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",4819,1702,"[0, 262, 653, 953, 1419, 1702, 1967, 2312, 3243, 3893, 4819, 5796, 6542, 6788, 7577, 8598, 9179, 9634, 9964, 10414, 11182, 11879, 12039, 12502, 13030, 13220, 13681, 14109, 14678, 15519, 16075, 16757, 17263, 18124, 18678, 18791]",11988,0,69,Doom,True,3,3,13.2024,97,203,56,22,"[0, 2, 7, 12, 19, 22, 24, 29, 39, 46, 56, 65, 73, 74, 82, 95, 99, 107, 114, 121, 128, 137, 139, 144, 149, 151, 153, 157, 162, 170, 180, 184, 192, 201, 203, 203]",Reedy,51,3,18.13767,0,0,3761,1398,"[0, 240, 496, 864, 1275, 1398, 1539, 1766, 2656, 3038, 3761, 4420, 4756, 4889, 5532, 6485, 6656, 7104, 7387, 7782, 8707, 9342, 9492, 9922, 10212, 10581, 11653, 12266, 12671, 13260, 13713, 14159, 14695, 15518, 16068, 16129]",8.71666185762151,3.3011424244753274,13.488731356110726,0.8377620718533837,3.0758014129408524,42.6224991230018,Doom_3,2.51,475.0,515.0,9,1.2857142857142858,0.20389926888708368,0.20134228187919465,0.24334016393442623,0.2919186366135239,0.21702486304256216,0.22704590818363274
1,371,0.2156521739130434,0.9408695652173912,0.9060869565217392,0.9319371727748692,54,0.1843478260869565,0.1565217391304348,432,5,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3242,1632,"[0, 298, 613, 1023, 1293, 1632, 1808, 2191, 2510, 2889, 3242, 3733, 4123, 4423, 4763, 5208, 5571, 6315, 6855, 7024, 7428, 7671, 7854, 8632, 9268, 9553, 10170, 10639, 10891, 11164, 11560, 11816, 12205, 12869, 12981, 13094]",9688,0,28,Slardar,True,2,1,10.654659523809524,65,211,54,22,"[0, 3, 9, 12, 16, 22, 24, 32, 38, 46, 54, 60, 65, 67, 72, 82, 91, 104, 114, 114, 118, 123, 125, 140, 157, 163, 165, 177, 180, 184, 190, 194, 200, 211, 211, 211]",John Dee,63,1,35.831932,0,0,3083,1342,"[0, 147, 409, 833, 1140, 1342, 1534, 2030, 2386, 2765, 3083, 3562, 3903, 4488, 4913, 5645, 6105, 6851, 7583, 7682, 8232, 8457, 8546, 9526, 10381, 10747, 11791, 12620, 12827, 13098, 13485, 13761, 14223, 15096, 15213, 15317]",0.5,3.8509524709084215,12.926576961290458,0.5699275425161112,2.1761545366590362,30.678271035183553,Slardar_1,2.4,372.0,468.0,3,0.6,0.1949634443541836,0.09395973154362415,0.19057377049180327,0.2039582188015393,0.1972187104930468,0.2155688622754491
6,249,0.6362612612612613,0.2691441441441441,0.8445945945945946,0.8727477477477478,13,0.8603603603603603,0.4988738738738739,328,3,3,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1950,654,"[0, 180, 319, 419, 519, 654, 1106, 1212, 1428, 1761, 1950, 2234, 2585, 2870, 3102, 3415, 3627, 3916, 4115, 4499, 4933, 5255, 5360, 5638, 5750, 5962, 6217, 6450, 6562, 6894, 7190, 7647, 7759, 8218, 8641, 8797]",10881,4774,50,Dazzle,True,1,3,13.2024,39,100,13,2,"[0, 0, 1, 1, 1, 2, 6, 6, 7, 11, 13, 16, 25, 27, 29, 34, 36, 42, 45, 50, 55, 60, 60, 64, 64, 68, 71, 75, 75, 79, 83, 86, 87, 94, 99, 100]",Jackisch,80,4,19.064941,462,0,2484,721,"[0, 0, 256, 384, 532, 721, 1236, 1463, 1794, 2077, 2484, 2816, 3046, 3333, 3550, 4005, 4118, 4425, 4632, 4825, 5749, 6788, 6877, 7174, 7485, 7734, 7998, 8335, 8457, 8756, 9217, 10489, 10857, 11127, 11514, 11646]",16.641417534430637,15.05489864864865,9.162243391431883,2.994369369369369,3.1123310810810807,60.16766002496162,Dazzle_3,2.29,309.0,410.0,7,2.3333333333333335,0.18602761982128352,0.36539895600298283,0.15829918032786885,0.13688840021990104,0.17277707543194268,0.16367265469061876
2,149,0.0321637426900584,0.7280701754385965,0.0102339181286549,0.3299120234604105,4,0.0453216374269005,0.195906432748538,252,8,3,2,1,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1383,692,"[0, 180, 280, 472, 572, 692, 798, 904, 1043, 1277, 1383, 1579, 1739, 2133, 2293, 2398, 2567, 2733, 2839, 3047, 3463, 3569, 3674, 3786, 3898, 4010, 4123, 4235, 4347, 4459, 4571, 4683, 4795, 4907, 5057, 5170]",5345,400,20,Vengeful Spirit,True,2,1,10.654659523809524,27,10,4,2,"[0, 0, 0, 1, 1, 2, 2, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 8, 9]",Wax's and OG's.王子貓鼬,43,5,20.674145,0,0,1691,875,"[0, 90, 204, 518, 642, 875, 1067, 1235, 1340, 1487, 1691, 2044, 2897, 3344, 3916, 4128, 4238, 4717, 4868, 5033, 5473, 5812, 5901, 6227, 6450, 6860, 7127, 7370, 7640, 7706, 8027, 8213, 8485, 8485, 8896, 8943]",1.5,0.0,0.15,0.8653127446518852,1.2183742162929039,14.388346484754313,Vengeful Spirit_1,2.16,307.0,400.0,4,0.5,0.17546709991876527,0.07829977628635346,0.1572745901639344,0.08191313908741067,0.1685630004214075,0.12574850299401197
3,519,0.3231357552581262,0.9521988527724664,0.959847036328872,0.6928982725527831,50,0.4608030592734226,0.1644359464627151,537,3,18,14,11,"[0, 0, 3, 6, 8, 11, 12, 13, 14, 14, 14, 14, 14, 14, 14, 14, 15, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 18]",3623,1385,"[0, 254, 443, 749, 1005, 1385, 1762, 2134, 2572, 3132, 3623, 3819, 4573, 5119, 5575, 6286, 7036, 7465, 8019, 8226, 8815, 9297, 9756, 10495, 10988, 11807, 12735, 13421, 14245, 14652, 15225, 15654, 16911, 17306, 18046, 18362]",22428,0,76,Outworld Destroyer,True,2,2,13.028980952380952,73,277,50,20,"[0, 2, 4, 9, 13, 20, 27, 33, 35, 44, 50, 50, 61, 62, 69, 82, 96, 104, 112, 113, 120, 133, 139, 152, 160, 173, 188, 199, 212, 218, 226, 234, 257, 261, 275, 277]",jm,80,2,105.63135,483,0,4681,2115,"[0, 240, 686, 1141, 1627, 2115, 2605, 3093, 3593, 4219, 4681, 4729, 5833, 6468, 7353, 7822, 8604, 9081, 9512, 9738, 10166, 10634, 11010, 11609, 12067, 12710, 13758, 14208, 14918, 15332, 15852, 16291, 17479, 17844, 18763, 19022]",7.46051347191718,7.209814387942259,13.741774547806976,0.6292840975082133,3.5722070451226253,45.6425745026782,Outworld Destroyer_2,2.95,489.0,580.0,5,1.6666666666666667,0.23964256701868403,0.2609992542878449,0.2505122950819672,0.28532160527762507,0.2444163506110409,0.2679640718562874
10,745,0.4443813847900113,0.9670828603859252,0.8677639046538025,0.7039772727272727,61,0.3898978433598183,0.6793416572077186,721,2,4,4,3,"[0, 0, 0, 0, 0, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3625,1704,"[0, 256, 551, 925, 1240, 1704, 2055, 2439, 2580, 3080, 3625, 4146, 4756, 5071, 5621, 6458, 6839, 7517, 8674, 9588, 10255, 11318, 12028, 13040, 14012, 14804, 15565, 16855, 17793, 18462, 19550, 20834, 21836, 22629, 23620, 26009]",24200,0,48,Luna,False,5,3,11.7976,73,441,61,27,"[0, 2, 7, 14, 19, 27, 28, 34, 36, 50, 61, 70, 80, 82, 100, 122, 134, 150, 171, 180, 192, 215, 224, 234, 249, 262, 279, 305, 320, 333, 351, 375, 397, 409, 423, 440]",Erock,64,1,24.733137,14743,1,3756,1803,"[0, 148, 594, 933, 1246, 1803, 2060, 2352, 2485, 3203, 3756, 4403, 5082, 5525, 6142, 7257, 7845, 8366, 9882, 10781, 11182, 12351, 13572, 14033, 14397, 15171, 15718, 16873, 17628, 18159, 19375, 20551, 21466, 22206, 22872, 24650]",17.734638859403645,10.035655684314554,19.350519376388288,3.471795623422871,3.507978515316547,65.8981880588459,Luna_3,2.41,464.0,540.0,15,7.5,0.181203007518797,0.12458471760797342,0.22711698482623593,0.3011317704122878,0.215311004784689,0.24349881796690306
9,543,0.5146757679180888,0.7720136518771331,0.7378839590443687,0.8136518771331058,62,0.2723549488054607,0.7180887372013652,674,0,5,5,4,"[0, 0, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",3299,1401,"[0, 293, 505, 764, 1109, 1401, 1895, 2320, 2681, 3016, 3299, 4042, 4493, 4898, 5835, 6139, 6533, 7094, 7617, 7902, 8400, 9474, 10028, 10660, 11331, 11894, 12551, 12837, 13351, 14192, 15069, 15709, 15971, 17127, 17615, 18801]",19856,115,25,Lina,False,7,2,11.971019047619048,66,250,62,22,"[0, 3, 6, 10, 17, 22, 33, 41, 49, 59, 62, 67, 77, 77, 89, 95, 100, 106, 116, 116, 122, 143, 144, 148, 156, 166, 176, 182, 190, 206, 220, 230, 236, 246, 250, 250]",Hell Yeah,80,2,40.02588,6246,1,4733,2039,"[0, 240, 680, 1071, 1608, 2039, 2831, 3434, 3941, 4383, 4733, 5206, 6026, 6469, 7516, 7861, 8512, 8821, 9553, 10090, 10611, 12249, 13184, 13796, 14296, 14832, 15508, 15985, 16305, 17471, 18378, 19177, 19476, 20916, 21191, 22969]",21.725820669968936,12.232355157066975,12.026591264507955,3.762398723375221,2.2726080861191953,63.99079294865733,Lina_2,2.77,511.0,604.0,16,16.0,0.2082706766917293,0.26578073089700993,0.2501223690651003,0.21948261924009702,0.24082934609250398,0.2276258020938872
17,502,0.5049226441631505,0.8016877637130801,0.8649789029535865,0.8234463276836158,51,0.3783403656821378,0.639943741209564,581,2,7,7,3,"[0, 0, 1, 2, 2, 3, 3, 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",4012,1780,"[0, 218, 926, 1208, 1527, 1780, 2292, 2524, 2990, 3373, 4012, 4325, 4657, 5313, 5691, 6128, 6791, 7360, 7695, 8111, 8803, 9154, 9662, 10731, 10953, 11429, 11887, 11999, 12885, 13132, 13738, 14621, 15097, 15917, 16714, 17636]",15801,2026,29,Tidehunter,False,6,1,14.345340476190476,81,225,51,22,"[0, 1, 9, 13, 19, 22, 27, 29, 38, 45, 51, 52, 63, 70, 75, 85, 91, 99, 106, 109, 122, 129, 129, 138, 138, 146, 153, 153, 168, 172, 179, 194, 202, 214, 225, 225]",days of lavender,73,3,39.25366,1527,1,3026,1088,"[0, 56, 450, 582, 818, 1088, 1626, 1735, 2104, 2413, 3026, 3474, 3824, 4649, 5000, 5500, 6254, 6763, 7209, 8002, 8756, 9355, 10276, 11123, 11257, 11507, 11896, 12106, 13339, 13747, 14238, 15114, 15618, 17010, 17906, 19684]",22.092290877952045,11.927570039725152,18.274564406669654,3.176311253436712,2.913813089887382,72.72989014386143,Tidehunter_1,2.58,349.0,460.0,23,11.5,0.19398496240601504,0.19102990033222592,0.17082721488007832,0.2029102667744543,0.18341307814992025,0.19621749408983452
13,348,0.1442928930366116,0.624551328068916,0.5089734386216799,0.569683908045977,8,0.059583632447954,0.533381191672649,502,5,5,1,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5]",1762,826,"[0, 180, 280, 380, 670, 826, 993, 1144, 1250, 1558, 1762, 2061, 2402, 2563, 2780, 2885, 3078, 3419, 3824, 4467, 4692, 4878, 5394, 5903, 6205, 6974, 7262, 7600, 8084, 8383, 9256, 9538, 10111, 10487, 11090, 12092]",8311,11211,112,Winter Wyvern,False,3,3,11.7976,35,62,8,3,"[0, 0, 0, 0, 1, 3, 3, 3, 3, 8, 8, 9, 14, 14, 15, 15, 15, 17, 17, 20, 20, 20, 23, 23, 24, 34, 34, 39, 40, 42, 48, 48, 56, 56, 60, 60]",AuspiciousBeast100,52,5,15.601318,518,1,2301,488,"[0, 0, 110, 254, 450, 488, 959, 1281, 1429, 2013, 2301, 2774, 4234, 4402, 4753, 4946, 5398, 5811, 6355, 6961, 7074, 7160, 8195, 8656, 8868, 10175, 10225, 10533, 10734, 11165, 11618, 12197, 13184, 14909, 15158, 16903]",13.333601544898617,0.8304917444364676,9.912297801630418,2.377092131909849,0.7568087089309624,39.00789193180631,Winter Wyvern_3,2.39,338.0,452.0,16,3.2,0.17969924812030075,0.053156146179401995,0.16544297601566324,0.1406628940986257,0.18022328548644337,0.16953731847348869
17,336,0.1822323462414578,0.9050873196659074,0.592255125284738,0.4764079147640791,9,0.0478359908883826,0.6757782839787395,483,1,3,1,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1905,705,"[0, 180, 303, 403, 503, 705, 1104, 1378, 1484, 1663, 1905, 2365, 2471, 2684, 3103, 3614, 3807, 4168, 4365, 4726, 5012, 5238, 5738, 6167, 6459, 6643, 6960, 7086, 7374, 7670, 8287, 8596, 9159, 9470, 10317, 11767]",9942,2193,9,Mirana,False,5,1,14.345340476190476,38,87,9,1,"[0, 0, 0, 0, 0, 1, 3, 6, 6, 8, 9, 10, 10, 10, 18, 28, 28, 30, 30, 34, 36, 41, 41, 41, 44, 44, 46, 47, 50, 59, 68, 72, 74, 77, 87, 87]",For The Thrills,63,4,20.70568,1654,1,2820,1083,"[0, 56, 381, 513, 818, 1083, 1709, 2025, 2337, 2617, 2820, 3293, 3429, 3597, 4021, 4646, 4993, 5327, 5828, 6528, 6648, 6902, 7823, 9026, 9465, 9922, 10453, 10759, 11227, 11524, 12064, 12413, 13151, 13505, 14401, 16146]",24.375,1.8434982296722557,8.55479741442277,3.445070324205528,1.7730904239383676,54.3367968684294,Mirana_1,3.15,381.0,452.0,22,22.0,0.23684210526315788,0.3654485049833887,0.18649045521292218,0.13581244947453516,0.18022328548644337,0.16312056737588654
