assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,ka,kda,kda_ratio
9,0.2348804500703235,0.4669479606188467,0.4177215189873418,0.27323943661971833,4,0.5963431786216596,0.340365682137834,17,4,3,2,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1572,625,"[0, 180, 319, 419, 519, 625, 782, 940, 1082, 1243, 1572, 1678, 1874, 2204, 2424, 2558, 2790, 2938, 3691, 3923, 4208, 4350, 4871, 5114, 5321, 5726, 5839, 6148, 6432, 6762, 6956, 7158, 7362, 7896, 8118, 8430, 8542, 8753, 8915, 9067, 9355, 9475, 10327, 11005, 11125, 11559, 11796, 12080, 12300]",16220,12,64,Jakiro,True,1,1,2.6222809523809527,31,80,4,1,"[0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 4, 8, 9, 9, 9, 10, 15, 15, 20, 22, 30, 31, 32, 32, 32, 35, 35, 42, 44, 44, 47, 52, 55, 55, 55, 55, 56, 57, 59, 59, 73, 73, 73, 76, 76, 80, 80]",The Gway,,5,77.04239,565,0,2440,860,"[0, 87, 274, 500, 610, 860, 1273, 1608, 1831, 2060, 2440, 2544, 2566, 2838, 2986, 3071, 3101, 3199, 4433, 4710, 5286, 5434, 6022, 7228, 7452, 8683, 8733, 9429, 9600, 10418, 10801, 10945, 11135, 11468, 11662, 11730, 11847, 12022, 12578, 12701, 12927, 13007, 14760, 14783, 15888, 16056, 16150, 16780, 16898]",1.0714285714285714,2.9801001285445414,1.5886075949367089,1.5406181411159439,2.364479861514139,18.719254230647472,10,0.5882352941176471,0.4319852941176471
7,0.41740226986128626,0.978562421185372,0.5372005044136192,0.05555555555555555,24,0.8297604035308953,0.2723833543505675,9,4,1,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",2388,1001,"[0, 219, 460, 685, 785, 1001, 1224, 1625, 1838, 2038, 2388, 2647, 3054, 3578, 4119, 4488, 4996, 5514, 5982, 6398, 6783, 7453, 7871, 8284, 9351, 10291, 10957, 11589, 12320, 13261, 13986, 14778, 15445, 16515, 17341, 18411, 18589, 19033, 19677, 20194, 20306, 20731, 21819, 22497, 22617, 22952, 23643, 24982, 25413]",27161,0,12,Phantom Lancer,True,7,1,2.6222809523809527,48,391,24,11,"[0, 1, 5, 8, 8, 11, 13, 16, 19, 20, 24, 29, 35, 45, 45, 54, 65, 74, 87, 90, 100, 115, 128, 129, 138, 156, 168, 174, 184, 198, 214, 230, 230, 246, 261, 266, 269, 274, 293, 310, 310, 310, 338, 338, 338, 338, 352, 378, 391]",MoonaMoon,55.0,1,0.0,969,0,1906,832,"[0, 87, 274, 444, 582, 832, 946, 1236, 1630, 1689, 1906, 2207, 2468, 3151, 4340, 4846, 5351, 6051, 6585, 6892, 7411, 8487, 9022, 9393, 10644, 11740, 12749, 13421, 13981, 15013, 16095, 17048, 18491, 19803, 21103, 23400, 23656, 24114, 24658, 25379, 25513, 25593, 27544, 29504, 29504, 29527, 29836, 30598, 30985]",2.5,8.683906997012128,2.223530988148463,1.0307506827114448,4.812287763497498,33.65039597500075,14,1.5555555555555556,1.1423611111111112
11,0.503858875413451,0.9470782800441014,0.9316427783902976,0.9636163175303197,62,0.6251378169790518,0.5490628445424476,5,10,8,6,"[0, 3, 4, 4, 6, 6, 7, 7, 7, 7, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",3781,1471,"[0, 288, 594, 932, 1171, 1471, 1922, 2333, 2765, 3252, 3781, 4216, 4796, 5047, 5532, 5899, 6537, 6899, 7429, 8038, 8481, 8587, 9274, 9656, 10373, 11343, 11783, 12284, 12889, 13598, 13944, 14537, 14928, 15253, 15366, 16190, 16700, 17329, 17788, 18103, 18215, 18335, 19663, 20341, 22300, 23416, 23946, 24571, 24833]",22083,0,49,Dragon Knight,True,3,2,11.537314285714286,76,344,62,22,"[0, 3, 8, 14, 17, 22, 29, 38, 47, 54, 62, 71, 78, 80, 87, 93, 104, 110, 118, 127, 134, 134, 147, 153, 156, 162, 170, 175, 183, 197, 201, 209, 209, 210, 210, 214, 228, 235, 244, 249, 249, 249, 268, 268, 295, 314, 322, 332, 336]",KANYE2024,64.0,2,94.10916,4310,0,4786,1942,"[0, 205, 657, 1112, 1512, 1942, 2548, 3190, 3770, 4352, 4786, 5555, 6025, 6193, 6603, 6974, 7499, 7953, 9036, 9489, 9930, 10055, 10822, 11438, 13096, 14847, 15073, 15447, 16007, 16613, 16890, 17757, 19112, 19775, 19841, 22313, 23006, 23521, 24297, 24847, 24925, 25005, 27276, 29213, 32978, 33670, 33876, 34324, 34634]",2.5,11.385675920517276,5.0,3.105846859150546,3.9589445043446245,57.67351010727189,14,2.8,2.05625
6,0.6604046242774566,0.9075144508670521,0.8930635838150289,0.7105643994211288,48,0.4682080924855491,0.2817919075144509,9,2,2,2,"[0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3776,1310,"[0, 218, 394, 691, 987, 1310, 1704, 2027, 2474, 2723, 3776, 4263, 4788, 5038, 5544, 5866, 6579, 6789, 7107, 7581, 7883, 8376, 9233, 10137, 10626, 11147, 11498, 11836, 12547, 13102, 13748, 14111, 15275, 15954, 16067, 18057, 18685, 19230, 19931, 20240, 20352, 21157, 21276, 23568, 23688, 24023, 24548, 25209, 25785]",35197,0,98,Timbersaw,True,9,3,16.521985714285712,76,324,48,20,"[0, 1, 3, 8, 13, 20, 27, 32, 39, 40, 48, 58, 67, 69, 79, 85, 99, 102, 107, 121, 125, 135, 150, 163, 166, 169, 175, 179, 190, 202, 216, 220, 231, 241, 241, 255, 265, 273, 289, 296, 296, 298, 298, 299, 299, 299, 304, 312, 324]",,,3,0.0,478,0,3258,1087,"[0, 84, 306, 529, 792, 1087, 1404, 1730, 2142, 2252, 3258, 3838, 4333, 4491, 5310, 5840, 6638, 6793, 7152, 7519, 7678, 8465, 9534, 10608, 12241, 12395, 12839, 13656, 14306, 15054, 15971, 16229, 18356, 19234, 19300, 22106, 22951, 23548, 24559, 24854, 24932, 28153, 28235, 34979, 35017, 35017, 35146, 35767, 36124]",2.8571428571428568,15.50758670520231,4.892504083659036,1.1013148314405703,3.0753863089344877,67.62449307794611,15,1.6666666666666667,1.2239583333333335
8,0.1774193548387097,0.6169354838709677,0.8313172043010753,0.8131720430107527,16,0.13239247311827956,0.5806451612903226,7,5,4,2,"[0, 0, 1, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",2286,678,"[0, 180, 280, 380, 480, 678, 829, 969, 1075, 1698, 2286, 2392, 2588, 2838, 3310, 3594, 4036, 4392, 4628, 5180, 5481, 5841, 6152, 6645, 6915, 7387, 7574, 7925, 8318, 8745, 9289, 9948, 10366, 10845, 11000, 11702, 11972, 12473, 12821, 12933, 13045, 13165, 13568, 14696, 16989, 17352, 17639, 17793, 17913]",17755,0,123,Hoodwink,True,3,3,16.521985714285712,46,208,16,3,"[0, 0, 0, 0, 0, 3, 3, 4, 4, 11, 16, 16, 16, 19, 28, 33, 39, 45, 49, 54, 58, 65, 66, 74, 77, 80, 84, 85, 90, 95, 106, 118, 124, 129, 134, 142, 145, 156, 162, 171, 171, 171, 176, 189, 201, 203, 204, 205, 205]",Tblaze,63.0,4,49.367443,896,0,2422,727,"[0, 56, 221, 444, 657, 727, 987, 1090, 1104, 1778, 2422, 2498, 3394, 3585, 4231, 4595, 5154, 5494, 5850, 6389, 6834, 7168, 7449, 8461, 8635, 8821, 8955, 9200, 9680, 10845, 11528, 12317, 13836, 14359, 14553, 15283, 15657, 16226, 16666, 16845, 16923, 17003, 17457, 17799, 21508, 21683, 21741, 21753, 21753]",1.4285714285714284,1.4516129032258065,4.4294062373043825,3.342714234759608,0.8109699490186578,43.05424687256245,11,1.5714285714285714,1.1540178571428572
11,0.98753339269813,0.8895814781834372,0.9893143365983972,0.4755120213713268,61,0.5289403383793411,0.6892252894033838,4,20,10,8,"[0, 1, 4, 5, 6, 8, 9, 9, 9, 10, 10, 10, 10, 12, 12, 12, 13, 13, 14, 15, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",3604,1581,"[0, 214, 449, 794, 1197, 1581, 2002, 2351, 2724, 3258, 3604, 4010, 4222, 4882, 5502, 5912, 6670, 7275, 7819, 8317, 9061, 9666, 11099, 11733, 12889, 13387, 13500, 13771, 14609, 15308, 16305, 17768, 18916, 20383, 21070, 21815, 23533, 25190, 26162, 27606, 29411, 32154, 33196, 35759, 36632, 36861, 37677, 40042, 41499]",66075,262,11,Shadow Fiend,False,19,2,13.462685714285714,72,589,61,23,"[0, 1, 3, 9, 17, 23, 34, 39, 46, 55, 61, 70, 72, 77, 94, 102, 116, 126, 137, 146, 161, 178, 202, 215, 237, 237, 237, 240, 266, 281, 298, 316, 342, 351, 360, 378, 395, 430, 457, 473, 487, 507, 527, 532, 533, 533, 552, 577, 589]",kojog,63.0,2,25.254639,4251,1,4670,2228,"[0, 147, 600, 1084, 1740, 2228, 2721, 3187, 3627, 4273, 4670, 5256, 5508, 6361, 7166, 7689, 8264, 9398, 9849, 10375, 11248, 12220, 14573, 15569, 16928, 17445, 17495, 17868, 18932, 20065, 21375, 24646, 26393, 28820, 29634, 30444, 33209, 35625, 36843, 39320, 42260, 45180, 46849, 55045, 56045, 56045, 56045, 56045, 56045]",2.8571428571428568,19.97497664105892,5.0,3.0869870060290303,2.766824075146549,72.53633275948165,30,7.5,1.2147887323943662
27,0.841845140032949,0.7891268533772653,0.2685337726523888,0.41914191419141916,47,0.9967051070840197,0.6721581548599671,4,24,17,12,"[0, 2, 3, 6, 11, 12, 13, 15, 15, 17, 17, 21, 21, 21, 21, 21, 21, 21, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]",3911,1556,"[0, 225, 680, 972, 1336, 1556, 1941, 2256, 2820, 3397, 3911, 4578, 4876, 5655, 6120, 6431, 6965, 7173, 7691, 8335, 8816, 9029, 10110, 10843, 11097, 11347, 11788, 11990, 12504, 12961, 13370, 14083, 14195, 14896, 15352, 15554, 16031, 16317, 17133, 17750, 18522, 20384, 21040, 21970, 22090, 22541, 22863, 23350, 23658]",43487,0,23,Kunkka,False,7,1,22.377719047619046,79,250,47,23,"[0, 1, 9, 14, 21, 23, 28, 32, 37, 40, 47, 56, 59, 70, 76, 80, 92, 94, 105, 118, 125, 127, 139, 155, 156, 156, 162, 164, 171, 180, 187, 196, 196, 198, 201, 201, 203, 204, 218, 224, 228, 233, 234, 236, 236, 241, 244, 248, 249]",Nanjou Sachi,61.0,3,197.9874,3431,1,3415,1035,"[0, 34, 395, 652, 877, 1035, 1369, 1601, 2402, 2829, 3415, 4068, 4546, 5183, 5871, 6245, 6871, 7159, 7717, 8819, 9355, 9608, 10826, 11364, 11410, 12648, 13181, 13338, 13920, 14294, 14820, 15516, 15601, 17771, 18047, 18115, 19939, 20258, 21192, 22296, 23244, 25341, 26039, 28636, 28722, 29267, 30051, 30593, 31062]",3.5714285714285716,17.06346985836195,0.842668863261944,2.958983496953405,4.146777954381337,78.40161198770193,34,8.5,1.3767605633802817
23,0.3562005277044855,0.8548812664907651,0.17150395778364116,0.1455026455026455,4,0.899736147757256,0.9287598944591029,8,4,4,0,"[0, 0, 0, 0, 0, 0, 0, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1555,704,"[0, 214, 364, 464, 564, 704, 883, 1034, 1140, 1328, 1555, 1802, 1986, 2243, 2659, 3025, 3221, 3703, 3809, 4403, 4705, 4811, 5056, 5207, 5410, 5799, 5912, 6092, 6286, 6398, 6511, 6985, 7097, 7609, 7832, 8034, 8483, 8694, 8901, 9417, 10079, 11277, 11848, 12283, 12723, 13113, 13238, 13682, 14058]",10983,10660,85,Undying,False,4,3,8.478014285714286,31,54,4,1,"[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 4, 5, 7, 7, 7, 8, 8, 10, 10, 13, 14, 14, 14, 15, 15, 18, 18, 19, 19, 19, 19, 24, 24, 26, 26, 26, 29, 29, 29, 34, 34, 34, 39, 41, 43, 45, 45, 50, 53]",Gwar Goobah Stan,33.0,5,0.0,2372,1,1465,613,"[0, 56, 235, 357, 391, 613, 921, 1107, 1211, 1334, 1465, 2407, 2927, 3406, 4086, 4450, 4670, 5535, 5803, 6465, 6896, 7121, 7507, 7875, 7989, 9420, 9513, 9652, 9706, 10130, 10216, 11847, 11909, 13191, 13342, 13429, 14947, 15019, 15137, 17061, 18009, 20150, 20874, 20973, 21059, 21306, 21690, 22232, 22818]",2.3214285714285716,4.803759894459104,0.3575197889182058,4.739697071651409,4.1502749746331915,38.23183782585349,27,3.375,0.5466549295774648
16,0.8954305799648506,0.9630931458699473,0.6115992970123023,0.5563380281690141,41,0.984182776801406,0.8945518453427065,3,8,7,5,"[0, 1, 2, 3, 5, 5, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8]",2854,1260,"[0, 216, 528, 709, 927, 1260, 1642, 1970, 2231, 2598, 2854, 3128, 3585, 4246, 4665, 5241, 5722, 6298, 6839, 7425, 7988, 8760, 9503, 10029, 10769, 11677, 12104, 12430, 13045, 13394, 14071, 14792, 15217, 16471, 17180, 17425, 17537, 18129, 18791, 19278, 20477, 22465, 22955, 23643, 23763, 24299, 25227, 25693, 26673]",51110,0,6,Drow Ranger,False,7,3,8.478014285714286,57,374,41,15,"[0, 1, 5, 7, 10, 15, 21, 25, 29, 37, 41, 44, 52, 63, 75, 86, 92, 104, 110, 120, 127, 146, 161, 175, 188, 202, 213, 220, 230, 236, 256, 261, 271, 283, 284, 285, 285, 293, 304, 307, 313, 327, 330, 330, 330, 337, 351, 355, 365]",For The Pills,61.0,1,0.0,16504,1,3145,1441,"[0, 113, 418, 654, 1111, 1441, 1749, 2149, 2493, 2994, 3145, 3479, 3893, 4673, 5206, 6096, 6427, 7213, 7785, 8733, 9246, 10209, 11257, 12084, 12852, 14660, 15003, 15343, 15936, 16194, 17100, 17728, 18257, 20810, 21555, 21841, 21999, 22417, 23114, 23462, 24410, 27944, 28956, 30288, 30374, 30817, 31350, 31556, 31862]",1.6071428571428572,18.738014856233878,3.1853596252790473,4.626936175573951,4.688979293184925,63.576072450967615,23,7.666666666666667,1.2417840375586855
19,0.8666666666666667,0.5362318840579711,0.7623188405797101,0.6081871345029239,7,0.9159420289855073,0.9797101449275363,4,5,4,3,"[0, 0, 0, 2, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",2538,675,"[0, 180, 330, 430, 530, 675, 1133, 1408, 1829, 2182, 2538, 2689, 3025, 3318, 3823, 4000, 4196, 4386, 4528, 4903, 5384, 5958, 6419, 6694, 7084, 7196, 7309, 7672, 8091, 8556, 8669, 8922, 9075, 10109, 10400, 10602, 10874, 11085, 11725, 12032, 13128, 14326, 14590, 15403, 15523, 16258, 16378, 16967, 17426]",27366,400,79,Shadow Demon,False,9,1,22.377719047619046,51,98,7,2,"[0, 0, 2, 2, 2, 2, 3, 4, 6, 7, 7, 7, 7, 9, 12, 13, 13, 13, 14, 17, 17, 28, 32, 41, 45, 45, 45, 50, 55, 62, 62, 62, 63, 66, 66, 66, 69, 69, 79, 79, 82, 82, 82, 82, 82, 91, 91, 95, 98]",Sakura Miko Stan,73.0,4,86.37769,5186,1,2795,921,"[0, 34, 224, 481, 706, 921, 1255, 1442, 1859, 2286, 2795, 3257, 3740, 4368, 5086, 5477, 5739, 6189, 6444, 7206, 7685, 8490, 9210, 9633, 10007, 10055, 10519, 11253, 11867, 12510, 12833, 13572, 13690, 16143, 16907, 17022, 17362, 17481, 18226, 19923, 22020, 22955, 24142, 25927, 26127, 27313, 28005, 28396, 28663]",2.5,17.83914256566563,4.311594202898551,4.8670726978224925,3.172391728032467,84.71987729544335,28,7.0,1.1338028169014085
