assists,benchmarks.gold_per_min.raw,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,benchmarks.xp_per_min.raw,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,kda_lookup_value,hero_lane_kda,hero_lane_gpm,hero_lane_xpm,ka,kda,expected_kda_ratio,kda_ratio,expected_gpm_ratio,gpm_ratio,expected_xpm_ratio,xpm_ratio
19,667,0.7684729064039408,0.722495894909688,0.9507389162561576,0.4519867549668874,43,0.7996715927750411,0.9129720853858784,872,6,7,4,2,"[0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",4321,1795,"[0, 301, 676, 901, 1494, 1795, 2342, 2995, 3423, 3942, 4321, 4757, 5439, 5984, 6276, 6616, 7462, 7738, 8527, 9150, 9889, 10308, 11328, 11970, 12745, 14037, 15268, 15782, 16320, 16523, 16859, 17686, 18760, 19967, 20625, 20827, 21604, 22462, 23201, 23905, 24974, 26152]",33897,0,126,Void Spirit,True,17,2,18.662526190476193,87,311,43,23,"[0, 3, 10, 13, 18, 23, 26, 27, 34, 39, 43, 52, 57, 66, 70, 77, 86, 90, 92, 96, 100, 105, 107, 117, 132, 139, 160, 171, 172, 172, 177, 182, 202, 213, 220, 220, 232, 251, 256, 266, 289, 302]",Festival ♪,80,2,21.736134,4361,1,5367,2427,"[0, 423, 836, 1234, 1917, 2427, 3052, 4002, 4496, 4967, 5367, 6276, 7573, 8130, 8481, 8818, 10277, 10441, 11920, 13239, 14608, 15055, 16250, 16987, 17924, 20566, 22210, 22865, 23694, 23750, 23966, 25920, 26901, 29212, 29598, 29666, 30873, 31762, 33888, 35494, 37040, 39535]",17.492369198102253,15.90569024308283,13.796704664802743,5.0,3.709169522973905,74.56645981943792,Void Spirit_2,3.94,484.0,663.0,36,6.0,0.22386363636363635,1.310344827586207,0.22273354809019788,0.2615686274509804,0.23746418338108882,0.24405261684858662
33,332,0.9032679738562092,0.7150326797385621,0.1111111111111111,0.3390052356020942,4,0.8104575163398693,0.2666666666666666,610,6,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1872,704,"[0, 180, 280, 380, 604, 704, 928, 1034, 1513, 1676, 1872, 2056, 2162, 2415, 2806, 3160, 3580, 3748, 4448, 5093, 5655, 5851, 6544, 6728, 7088, 7583, 7806, 8275, 8468, 8671, 8783, 9286, 9398, 9990, 10302, 10648, 10761, 11077, 11543, 11833, 12119, 12746]",27842,177,88,Nyx Assassin,True,8,3,11.871725,37,23,4,3,"[0, 0, 0, 0, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 14, 14, 14, 14, 14, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 20, 20, 20, 22, 23]",Üzumati,65,4,141.67694,0,1,1935,651,"[0, 34, 276, 446, 613, 651, 745, 813, 1325, 1722, 1935, 2199, 2602, 3139, 3451, 4287, 4719, 5356, 6865, 7640, 9060, 9254, 11220, 11572, 11918, 12587, 12637, 13570, 13717, 13773, 14205, 16201, 16506, 18373, 18439, 19349, 19419, 19728, 20728, 20804, 20966, 23689]",23.529411764705884,20.0,4.215983638268689,0.8333333333333329,3.7351120839063237,64.18556582021424,Nyx Assassin_3,2.54,345.0,474.0,41,6.833333333333333,0.14431818181818182,1.492337164750958,0.1587666820064427,0.13019607843137254,0.16977077363896848,0.17072488105233696
23,385,0.244039270687237,0.9747545582047684,0.0238429172510518,0.0042194092827004,1,0.8835904628330996,0.6942496493688639,655,13,2,2,0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1350,621,"[0, 180, 280, 380, 521, 621, 771, 877, 1032, 1154, 1350, 1534, 1731, 2121, 2320, 2482, 2718, 3151, 3525, 3869, 4695, 5143, 5708, 5972, 6240, 6943, 7246, 7587, 7860, 8143, 8335, 8985, 9177, 10038, 10911, 11337, 11530, 11821, 12728, 13098, 13389, 14603]",16386,400,32,Riki,True,8,1,9.423944047619047,27,31,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 3, 8, 8, 8, 8, 9, 9, 12, 12, 13, 13, 13, 13, 13, 13, 16, 16, 16, 17, 18, 19, 20, 29, 29, 29, 29, 30, 30, 30, 31]",PentaPenta,55,5,59.11121,3237,1,1545,819,"[0, 31, 228, 460, 693, 819, 975, 1015, 1243, 1278, 1545, 2272, 2499, 2876, 3216, 3358, 3724, 4457, 5045, 5337, 6627, 7116, 8589, 9468, 9514, 11433, 11764, 11975, 12108, 12164, 12300, 15046, 16395, 17647, 18459, 19369, 19439, 19853, 21873, 22734, 22812, 25786]",7.385241334462049,2.7007363253856935,2.8121654819505357,3.475954894216152,4.941491501622126,30.739533585255607,Riki_1,3.51,438.0,574.0,31,2.3846153846153846,0.19943181818181815,0.5207780725022104,0.20156465715600552,0.15098039215686274,0.20558739255014327,0.18331933949062412
22,595,0.6432481751824818,0.97992700729927,0.4744525547445255,0.5678899082568807,40,0.6058394160583942,0.5894160583941606,685,9,14,11,6,"[0, 0, 2, 4, 5, 6, 9, 10, 10, 10, 11, 11, 11, 12, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]",2902,1235,"[0, 180, 387, 698, 982, 1235, 1641, 1935, 2321, 2490, 2902, 3691, 4029, 4240, 4740, 5114, 5664, 6162, 7404, 8000, 8287, 8903, 9455, 10516, 11124, 11934, 12255, 13013, 13737, 14525, 14761, 15532, 16218, 16669, 17168, 17946, 18585, 19181, 20219, 20960, 21171, 22586]",39605,0,67,Spectre,True,12,1,9.423944047619047,58,278,40,16,"[0, 0, 3, 8, 12, 16, 22, 27, 34, 35, 40, 46, 53, 55, 62, 68, 74, 81, 86, 98, 102, 114, 123, 148, 160, 161, 164, 176, 186, 197, 200, 204, 215, 215, 220, 223, 237, 248, 255, 264, 264, 269]",bigXtoe,80,1,0.0,4833,1,2660,1064,"[0, 31, 228, 460, 727, 1064, 1403, 1918, 2203, 2340, 2660, 3532, 3935, 4098, 4833, 5322, 5830, 6345, 7487, 8210, 8280, 9243, 10273, 11645, 12379, 13216, 13418, 14846, 16152, 16850, 17229, 18375, 19232, 19296, 19502, 20625, 21757, 22423, 23477, 24227, 24305, 27200]",10.062232006676451,11.992417392412234,7.293298624456946,2.689702961905877,3.605466551727515,45.067061584798076,Spectre_1,4.29,519.0,603.0,34,3.7777777777777777,0.24375,0.8250319284802043,0.2388403129314312,0.23333333333333334,0.21597421203438397,0.1917156451161489
22,571,0.93460690668626,0.5165319617927994,0.964731814842028,0.8988183161004432,33,0.2387950036737693,0.9985304922850844,751,4,11,10,3,"[0, 0, 0, 1, 3, 3, 7, 8, 8, 8, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",3024,1266,"[0, 223, 398, 669, 1033, 1266, 1881, 2061, 2249, 2632, 3024, 3369, 3538, 4437, 4886, 5380, 5810, 6399, 7134, 7615, 8094, 8830, 9882, 10407, 10870, 11605, 12549, 12976, 13565, 14503, 14772, 15995, 16198, 17012, 17473, 17675, 18278, 18845, 19740, 20843, 21298, 22451]",30429,0,9,Mirana,True,10,3,11.871725,61,272,33,16,"[0, 1, 3, 7, 13, 16, 22, 24, 24, 29, 33, 38, 39, 53, 62, 72, 79, 89, 96, 101, 104, 114, 120, 129, 137, 142, 158, 163, 172, 188, 192, 196, 203, 206, 207, 207, 217, 224, 233, 244, 254, 269]",Sakura Miko Stan,73,3,42.815475,14499,1,3299,1479,"[0, 119, 316, 486, 991, 1479, 2160, 2404, 2726, 3086, 3299, 3732, 3880, 4860, 5420, 6096, 6502, 7200, 8725, 9131, 10620, 11508, 13151, 13580, 14047, 16905, 17648, 18579, 19018, 20380, 20696, 22642, 22851, 24688, 25044, 25112, 25936, 26633, 28710, 30344, 30786, 32464]",22.205882352941178,20.0,15.620841777415787,5.0,0.8676524614254224,75.56610159178238,Mirana_3,3.32,387.0,478.0,32,8.0,0.1886363636363636,1.7471264367816093,0.1780947998159227,0.22392156862745097,0.17120343839541546,0.21018751749230338
18,252,0.3937432578209277,0.6526429341963322,0.0668824163969795,0.3679653679653679,4,0.2448759439050701,0.5382955771305286,427,10,1,1,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1587,624,"[0, 197, 323, 423, 524, 624, 907, 1013, 1203, 1345, 1587, 1693, 2253, 2477, 2583, 2993, 3323, 3519, 3625, 3846, 4029, 4235, 4341, 4716, 4887, 5695, 5808, 5921, 6033, 6601, 7180, 7602, 7939, 8512, 8624, 8912, 9211, 9422, 9723, 9835, 10343, 10463]",13818,392,5,Crystal Maiden,False,3,3,13.128275,32,27,4,1,"[0, 0, 0, 0, 1, 1, 2, 2, 2, 3, 4, 4, 8, 8, 8, 12, 14, 14, 14, 14, 15, 18, 18, 18, 18, 20, 20, 20, 20, 21, 22, 22, 23, 23, 23, 23, 24, 24, 26, 26, 27, 27]",Eggs On Rice,73,5,41.424927,367,0,2058,1013,"[0, 67, 422, 600, 739, 1013, 1146, 1377, 1674, 1880, 2058, 2252, 2820, 3405, 3525, 4142, 4410, 4540, 4574, 4991, 5505, 5678, 5720, 6800, 7439, 9163, 9213, 9248, 9302, 11289, 12033, 12112, 12272, 13184, 13184, 14680, 14849, 14996, 16097, 16116, 16539, 17806]",10.953931841782307,6.254181342609669,1.952156938446926,2.3847193231692114,1.3551802474292145,36.028444693437336,Crystal Maiden_3,2.14,319.0,415.0,21,2.1,0.15934475055845124,1.0596330275229358,0.16842661034846884,0.12080536912751678,0.17667092379736057,0.14352941176470588
14,648,0.6927710843373494,0.8634538152610441,0.7228915662650602,0.5401606425702812,42,0.4959839357429719,0.6827309236947792,845,8,12,12,10,"[0, 2, 3, 6, 9, 10, 10, 10, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",4274,1717,"[0, 264, 629, 1012, 1376, 1717, 1983, 2342, 3002, 3861, 4274, 4614, 4980, 6048, 6504, 7107, 8004, 9056, 9579, 10154, 10654, 11242, 11382, 11692, 12384, 13304, 13481, 14357, 14676, 15968, 16912, 17434, 18301, 19209, 20857, 21911, 22641, 23805, 24848, 25792, 26243, 26747]",26450,0,69,Doom,False,8,1,15.576055952380953,86,233,42,21,"[0, 2, 8, 14, 18, 21, 25, 27, 35, 39, 42, 44, 50, 56, 58, 67, 73, 89, 90, 96, 98, 106, 107, 109, 116, 124, 125, 133, 136, 142, 155, 157, 166, 166, 171, 178, 182, 205, 217, 223, 223, 232]",areN,73,3,24.920853,1601,0,3005,984,"[0, 90, 276, 541, 761, 984, 1319, 1607, 2180, 2863, 3005, 3481, 3942, 4750, 4820, 5569, 6791, 7486, 8246, 9021, 9587, 10272, 10337, 10552, 11115, 13384, 13524, 14654, 14990, 17097, 18346, 18727, 19547, 22947, 29391, 30936, 31367, 32510, 34130, 37077, 37190, 37839]",13.28014184397163,15.598800921247845,14.495701786260947,3.467984422401091,3.1923303776117877,65.61101530387424,Doom_1,2.35,471.0,499.0,22,2.75,0.17498138495904692,1.3876146788990824,0.24868004223864837,0.31064237775647174,0.21243082162622393,0.28403361344537814
13,293,0.4378378378378378,0.5891891891891892,0.4162162162162162,0.3373983739837398,3,0.9297297297297298,0.7662162162162162,481,11,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1842,821,"[0, 180, 280, 380, 481, 821, 1049, 1331, 1482, 1686, 1842, 2195, 2394, 3039, 3182, 3618, 4283, 4554, 4725, 4894, 5177, 5283, 5389, 5563, 5796, 6003, 6116, 6229, 6341, 7427, 7749, 7951, 8063, 9171, 9835, 10123, 10434, 10645, 10862, 11379, 11824, 12017]",13935,400,87,Disruptor,False,9,1,15.576055952380953,37,40,3,1,"[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 3, 5, 7, 7, 8, 9, 12, 14, 14, 14, 14, 14, 14, 18, 22, 23, 23, 23, 23, 23, 24, 24, 24, 25, 25, 25, 28, 28, 28, 28, 34, 36]",Schlesh,54,4,0.0,634,0,2535,1092,"[0, 90, 276, 541, 704, 1092, 1341, 1629, 1686, 2365, 2535, 2787, 3000, 3687, 4000, 5451, 6363, 6695, 7106, 7352, 7390, 7430, 7472, 7811, 8312, 8452, 8502, 8743, 8797, 10381, 11163, 11223, 12534, 13446, 14428, 15793, 16021, 16093, 16888, 19379, 19628, 19829]",9.348072562358276,7.632136968138109,5.821467092024585,4.0941241163118685,3.7550388438897526,46.22689553510354,Disruptor_1,2.45,296.0,391.0,22,2.0,0.18242740134028296,1.0091743119266054,0.1562829989440338,0.1404602109300096,0.16645381013197105,0.16168067226890756
12,478,0.8636559139784946,0.6017204301075268,0.9436559139784946,0.8642826367944851,40,0.24,0.64,596,14,20,12,3,"[0, 1, 2, 3, 3, 3, 3, 5, 8, 10, 12, 13, 16, 16, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 19, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",3296,1700,"[0, 512, 927, 1183, 1479, 1700, 1839, 2232, 2664, 2969, 3296, 3725, 4029, 4265, 4532, 5099, 5743, 5976, 6348, 6777, 7364, 7938, 8416, 8528, 9091, 9457, 10205, 10917, 11029, 12263, 13180, 13420, 13673, 14306, 14805, 15156, 15839, 16634, 17514, 18898, 19452, 19929]",29721,312,14,Pudge,False,9,3,13.128275,66,233,40,17,"[0, 1, 5, 9, 14, 17, 17, 24, 30, 35, 40, 47, 50, 51, 55, 73, 77, 78, 85, 91, 94, 104, 115, 115, 120, 124, 139, 149, 149, 161, 174, 174, 176, 181, 187, 190, 199, 210, 214, 217, 227, 233]",Smaug,80,1,36.708298,633,0,3107,1322,"[0, 124, 479, 748, 1048, 1322, 1495, 1952, 2388, 2708, 3107, 3606, 4174, 4802, 5076, 5881, 6896, 6985, 7459, 7990, 8478, 9314, 9962, 10006, 10729, 10946, 11943, 13156, 13210, 15298, 16675, 16868, 17189, 17514, 18587, 18680, 19370, 20256, 21471, 23777, 24349, 24905]",7.425136318941629,19.318548387096776,13.494201581129964,3.1475024946902477,1.152030997333519,57.66569477919214,Pudge_3,2.26,350.0,469.0,21,1.5,0.16827997021593447,0.7568807339449541,0.18479408658922913,0.22914669223394055,0.199659429544487,0.2003361344537815
15,415,0.2821100917431192,0.9518348623853212,0.4873853211009174,0.4977011494252873,37,0.731651376146789,0.6777522935779816,626,12,5,3,2,"[0, 0, 0, 1, 1, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",2879,1487,"[0, 323, 626, 924, 1151, 1487, 1664, 1821, 2253, 2610, 2879, 3311, 3452, 3930, 4232, 4732, 5257, 5802, 5908, 6631, 6814, 7010, 7116, 7470, 7988, 9220, 9333, 10166, 10278, 10863, 11557, 11759, 11871, 12716, 13878, 14759, 15420, 15727, 15839, 16261, 16914, 17310]",36892,547,22,Zeus,False,8,2,6.337473809523809,58,173,37,22,"[0, 3, 8, 13, 16, 22, 24, 25, 27, 33, 37, 45, 46, 52, 58, 61, 67, 77, 77, 90, 90, 93, 93, 99, 107, 113, 113, 124, 124, 126, 130, 131, 131, 132, 141, 145, 155, 158, 158, 160, 168, 173]",Abom,73,2,17.662464,703,0,3686,1802,"[0, 273, 755, 1182, 1371, 1802, 2109, 2247, 2813, 3268, 3686, 4316, 4395, 5395, 5686, 6405, 7172, 7702, 7736, 8468, 9010, 9178, 9231, 9555, 10295, 12353, 12403, 13788, 13842, 15884, 16743, 17033, 17114, 20420, 22144, 23868, 24075, 24378, 24378, 24658, 25581, 26169]",7.727272727272727,3.4145642201834843,5.154423010269812,3.430644696525109,4.579128440366972,30.643506904141915,Zeus_2,4.23,458.0,575.0,23,1.9166666666666667,0.3149664929262845,0.9671253822629969,0.24181626187961985,0.19894534995206137,0.24478501489995744,0.21042016806722688
