assists,benchmarks.gold_per_min.raw,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,benchmarks.xp_per_min.raw,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,kda_lookup_value,hero_lane_kda,hero_lane_gpm,hero_lane_xpm,ka,kda,expected_kda_ratio,kda_ratio,expected_gpm_ratio,gpm_ratio,expected_xpm_ratio,xpm_ratio
11,327,0.3382352941176471,0.753921568627451,0.1284313725490196,0.40628066732090284,44,0.246078431372549,0.061764705882352944,394,8,15,7,4,"[0, 1, 3, 4, 4, 4, 5, 6, 6, 6, 7, 7, 12, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",3157,1654,"[0, 191, 571, 859, 1190, 1654, 1925, 2151, 2620, 2778, 3157, 3586, 4026, 4238, 4481, 4764, 5002, 5316, 5636, 6018, 6187, 6532, 6932, 7112, 7646, 8004, 8424, 8839, 8952, 9148, 9703, 10040, 10623]",20379,0,13,Puck,True,1,2,11.891261904761905,63,129,44,20,"[0, 1, 8, 13, 19, 20, 24, 26, 35, 38, 44, 49, 57, 59, 61, 65, 66, 70, 76, 81, 81, 93, 93, 93, 103, 109, 116, 121, 121, 124, 124, 125, 129]",chor,63.0,2,9.717212,22,0,3918,1817,"[0, 182, 692, 1050, 1598, 1817, 2249, 2542, 3141, 3471, 3918, 4458, 5033, 5336, 5842, 6252, 6435, 6886, 7281, 8030, 8329, 8546, 8588, 9024, 9749, 9998, 10721, 11273, 11273, 11345, 11416, 11493, 12908]",3.9203595317725757,6.2672236557172045,2.7405820005343857,0.1654220226160089,2.012702735880028,26.997551851282104,Puck_2,3.45,491.0,605.0,12,1.5,0.22682445759368836,0.1730769230769231,0.23986321446018563,0.20160295930949446,0.23605150214592274,0.19418432725480533
9,384,0.4018018018018018,0.554954954954955,0.3441441441441441,0.5009041591320073,40,0.1873873873873874,0.24144144144144145,397,9,3,3,3,"[0, 0, 0, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2911,1349,"[0, 447, 583, 834, 1044, 1349, 1643, 1895, 2087, 2466, 2911, 3320, 3775, 4167, 4651, 5060, 5321, 5997, 6546, 7047, 7153, 7573, 8320, 8949, 9277, 9611, 9724, 10040, 10192, 10304, 10547, 10887, 12141]",18516,1559,55,Dark Seer,True,2,3,10.671310714285713,58,161,40,16,"[0, 4, 5, 9, 12, 16, 20, 22, 24, 33, 40, 47, 52, 58, 61, 69, 71, 77, 87, 97, 97, 104, 114, 130, 135, 139, 139, 142, 143, 143, 143, 144, 150]",,,3,6.735584,70,0,2622,1135,"[0, 168, 330, 662, 797, 1135, 1519, 1780, 1920, 2234, 2622, 3152, 3362, 3990, 4224, 4812, 5090, 5435, 6455, 6733, 6771, 7266, 8050, 8468, 8514, 8838, 8960, 9419, 9476, 9523, 9523, 10210, 12612]",2.8268275598573624,8.25367702084704,9.263196199480587,1.3218210687209373,0.9731227146823597,33.309955277874,Dark Seer_3,3.02,413.0,478.0,11,1.2222222222222223,0.19855358316896776,0.14102564102564105,0.20175867122618465,0.23674475955610358,0.18650019508388607,0.1956628881222277
10,224,0.46129374337221635,0.545068928950159,0.30010604453870626,0.2667375132837407,3,0.1420996818663839,0.26193001060445387,410,6,2,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1534,600,"[0, 160, 260, 360, 460, 600, 920, 1071, 1177, 1283, 1534, 1640, 1833, 2136, 2292, 2446, 2816, 3057, 3293, 3469, 3685, 3878, 4382, 4769, 4882, 5346, 5497, 5695, 5814, 5967, 6254, 6516, 7258]",12582,0,119,Dark Willow,True,3,3,10.671310714285713,31,29,3,0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 6, 6, 6, 7, 9, 11, 14, 15, 17, 17, 22, 23, 23, 26, 27, 27, 28, 29, 29, 29, 29]",Earl Grey,63.0,4,66.73517,43,0,1770,669,"[0, 118, 246, 436, 571, 669, 996, 1142, 1156, 1362, 1770, 1904, 2606, 2853, 3247, 3572, 3821, 4296, 4792, 4959, 5213, 6317, 7341, 8042, 8088, 8673, 9029, 9488, 9641, 9788, 9980, 10717, 13108]",13.105203619909503,10.112800194922492,6.0077588139985165,1.4754853374435304,0.7331327413885256,42.10569142194828,Dark Willow_3,2.55,328.0,473.0,13,2.1666666666666665,0.16765285996055224,0.25,0.16023448949682462,0.1381011097410604,0.18454935622317598,0.20206998521439132
5,240,0.54618072890664,0.7483774338492262,0.04143784323514728,0.39509263895843766,4,0.5761357963055417,0.24313529705441836,352,9,2,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1357,646,"[0, 140, 240, 340, 506, 646, 788, 939, 1045, 1177, 1357, 1463, 1877, 2012, 2255, 2728, 2897, 3096, 3465, 3714, 3963, 4209, 4857, 5063, 5176, 5360, 5483, 5761, 5994, 6186, 7236, 7428, 7620]",9798,324,26,Lion,True,5,1,8.827310714285714,27,13,4,1,"[0, 0, 0, 1, 1, 1, 2, 2, 2, 4, 4, 4, 4, 4, 6, 7, 8, 8, 8, 8, 9, 9, 9, 9, 9, 12, 12, 12, 12, 12, 12, 12, 12]",-700 mmr,62.0,5,102.864655,0,0,1745,950,"[0, 87, 151, 348, 638, 950, 1196, 1398, 1440, 1580, 1745, 2593, 3510, 3652, 3930, 4225, 4322, 4877, 5128, 5247, 5456, 6265, 6904, 7302, 7348, 7512, 7646, 7998, 8151, 8284, 11386, 11386, 11386]",6.463394062078276,12.765518492873234,6.065743357179418,1.3345249858182642,3.580629920857922,39.03712153309282,Lion_1,1.9,296.0,404.0,10,1.1111111111111112,0.12491781722550951,0.12820512820512822,0.1446018563751832,0.14796547472256474,0.15762777994537652,0.17348447511089207
9,447,0.22354014598540145,0.9799270072992701,0.2864963503649635,0.5403669724770642,39,0.6058394160583942,0.16970802919708028,476,6,8,6,5,"[0, 0, 1, 1, 2, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",2768,1434,"[0, 196, 366, 625, 1045, 1434, 1660, 1845, 2027, 2350, 2768, 3182, 3288, 3672, 3900, 4234, 4663, 5616, 6218, 6723, 7206, 7615, 8515, 8849, 8962, 9403, 9975, 10725, 11262, 11917, 12548, 13352, 14565]",19508,0,67,Spectre,True,7,1,8.827310714285714,55,189,39,16,"[0, 1, 3, 7, 10, 16, 19, 20, 22, 28, 39, 48, 48, 59, 61, 66, 73, 81, 93, 102, 103, 103, 115, 119, 119, 124, 140, 146, 154, 178, 180, 189, 189]",Nanjou Sachi,62.0,1,0.0,0,0,2560,1142,"[0, 137, 355, 540, 830, 1142, 1388, 1630, 1941, 2180, 2560, 3013, 3092, 3490, 3833, 4240, 4743, 5279, 6122, 6699, 7065, 7675, 8849, 9139, 9185, 9804, 10764, 11733, 12207, 13067, 13402, 14154, 15577]",9.791778734086428,2.6830002765845284,7.601146405538175,0.7838204768882286,4.264598540145985,33.95165514752906,Spectre_1,4.29,519.0,603.0,16,2.6666666666666665,0.28205128205128205,0.3076923076923077,0.2535417684416219,0.2755856966707768,0.23527116660163871,0.2345983242976836
16,476,0.659808963997061,0.5165319617927994,0.9147685525349009,0.9283604135893648,40,0.15429831006612785,0.9581190301249082,599,3,21,11,6,"[0, 2, 3, 3, 5, 6, 8, 9, 9, 10, 11, 12, 13, 13, 14, 14, 17, 17, 18, 18, 18, 18, 18, 18, 18, 18, 19, 19, 21, 21, 21, 21, 21]",3217,1454,"[0, 339, 527, 744, 1076, 1454, 1697, 2044, 2464, 2848, 3217, 3614, 4083, 4469, 5004, 5109, 5545, 5890, 6478, 6926, 7455, 7967, 8666, 9163, 9753, 10325, 10847, 11732, 12595, 13623, 14586, 14698, 15496]",14998,0,9,Mirana,False,6,2,13.108738095238095,65,167,40,14,"[0, 3, 5, 8, 13, 14, 17, 23, 29, 36, 40, 48, 51, 57, 63, 63, 69, 75, 86, 93, 98, 107, 118, 126, 135, 146, 148, 155, 160, 165, 167, 167, 167]",Calm,62.0,2,28.709803,6927,1,4372,2018,"[0, 211, 635, 1021, 1507, 2018, 2504, 3036, 3375, 3887, 4372, 4824, 5314, 5854, 6519, 6547, 7020, 7386, 8555, 9064, 9619, 10313, 10912, 12505, 13226, 14012, 14318, 16412, 17241, 17997, 18478, 18538, 19548]",18.056972789115648,15.342444786572045,13.645476252168699,4.993715576899044,0.6564107274063188,65.80375822739985,Mirana_2,3.52,451.0,508.0,22,7.333333333333333,0.27586206896551724,0.1795918367346939,0.22238658777120315,0.20067453625632378,0.20525252525252524,0.1947334200260078
10,409,0.38954703832752613,0.9742160278745644,0.2954703832752613,0.12447552447552447,4,0.8160278745644599,0.4989547038327526,453,5,1,1,1,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1460,718,"[0, 220, 320, 420, 575, 718, 824, 930, 1145, 1259, 1460, 1656, 2096, 2722, 3330, 3618, 3840, 4207, 4545, 4991, 5223, 5646, 6075, 6535, 6855, 7234, 7997, 8553, 9580, 10460, 11631, 12209, 12945]",15642,776,25,Lina,False,7,3,14.328689285714287,29,93,4,3,"[0, 0, 0, 0, 1, 3, 3, 3, 3, 4, 4, 4, 4, 7, 10, 15, 17, 22, 27, 27, 28, 33, 35, 36, 37, 41, 44, 52, 62, 69, 75, 85, 93]",bzpz,64.0,5,63.395264,2492,1,1334,816,"[0, 118, 356, 444, 537, 816, 916, 962, 1087, 1286, 1334, 2189, 3213, 4272, 5059, 5464, 5768, 6113, 6735, 7213, 7739, 8018, 8406, 9072, 9768, 10120, 10346, 10647, 11364, 11813, 12693, 13086, 13728]",15.613553113553113,6.89675960939908,8.341670872942304,1.9947735191637628,4.7042752183467815,51.87972161911933,Lina_3,2.1,376.0,480.0,17,3.4,0.164576802507837,0.08326530612244899,0.1854043392504931,0.1724283305227656,0.19393939393939394,0.14726918075422626
9,569,0.5841371918542336,0.969989281886388,0.579849946409432,0.7980665950590763,50,0.9013933547695605,0.6752411575562701,811,5,16,13,9,"[0, 0, 4, 5, 7, 9, 9, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 15, 15, 15, 15, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16]",3563,1616,"[0, 258, 607, 893, 1264, 1616, 1760, 2036, 2649, 3100, 3563, 4064, 4250, 4662, 4941, 5383, 5979, 6611, 7465, 8139, 8551, 9598, 10262, 11036, 12116, 12508, 13376, 14067, 15134, 16209, 16898, 17631, 18534]",20487,0,93,Slark,False,9,3,14.328689285714287,72,212,50,24,"[0, 1, 7, 12, 18, 24, 25, 29, 35, 43, 50, 59, 61, 71, 73, 80, 92, 94, 115, 128, 131, 142, 142, 153, 168, 179, 191, 196, 204, 206, 207, 211, 212]",,,1,15.556152,7957,1,3395,1177,"[0, 118, 356, 558, 929, 1177, 1476, 2002, 2493, 2965, 3395, 3841, 4238, 4592, 4874, 5495, 6220, 7200, 8333, 8926, 9656, 11751, 13009, 14607, 15875, 16204, 16754, 18816, 19620, 20934, 22623, 23451, 26490]",14.921808960270504,12.977701907108688,15.956177358249594,3.1627266832587995,4.903638666965191,66.25074286156706,Slark_3,2.34,438.0,535.0,18,3.6,0.18338557993730406,0.08816326530612247,0.21597633136094674,0.23988195615514335,0.21616161616161617,0.26365409622886865
15,308,0.26280623608017817,0.6347438752783965,0.2026726057906459,0.27455357142857145,4,0.2071269487750557,0.7216035634743875,423,6,13,4,2,"[0, 0, 0, 1, 2, 2, 2, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 9, 9, 10, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 13, 13]",1921,1004,"[288, 508, 608, 769, 904, 1004, 1110, 1216, 1431, 1720, 1921, 2239, 2422, 2600, 2881, 2986, 3333, 3484, 3590, 4003, 4412, 4590, 4980, 5144, 5389, 5501, 5871, 6298, 7265, 8167, 8737, 9024, 9581]",12888,81,51,Clockwerk,False,6,1,16.172689285714284,38,30,4,4,"[0, 0, 2, 3, 4, 4, 4, 4, 4, 4, 4, 6, 7, 7, 10, 10, 13, 13, 13, 15, 15, 15, 19, 19, 20, 21, 22, 26, 28, 29, 29, 30, 30]",秃头怪,63.0,4,30.164116,665,1,2143,1022,"[50, 78, 170, 600, 837, 1022, 1172, 1478, 1659, 1948, 2143, 2542, 2794, 2818, 2935, 2963, 3086, 3463, 3497, 3995, 4521, 5664, 6052, 6124, 6170, 6341, 6538, 8081, 8745, 9244, 10114, 11049, 11111]",14.103336422613532,3.0526169265033403,6.622719597001234,3.5104447276446797,1.0017723664808467,44.46357932595792,Clockwerk_1,2.49,326.0,424.0,21,3.5,0.19514106583072102,0.08571428571428573,0.16074950690335305,0.12984822934232715,0.1713131313131313,0.13751625487646293
13,610,0.46433470507544583,0.9471879286694102,0.8635116598079561,0.9435650378527185,71,0.9293552812071331,0.9492455418381345,790,1,7,5,4,"[0, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 7, 7]",4067,1653,"[25, 284, 615, 1230, 1479, 1653, 1956, 2415, 2929, 3367, 4067, 4769, 5270, 5672, 6433, 6538, 7340, 7769, 8357, 8632, 8862, 9795, 10800, 11723, 12491, 13100, 13942, 14938, 16433, 17493, 18780, 19063, 19620]",19070,0,2,Axe,False,10,1,16.172689285714284,82,236,71,21,"[0, 1, 7, 16, 19, 21, 26, 36, 45, 54, 71, 76, 89, 99, 100, 100, 112, 120, 134, 135, 136, 154, 169, 172, 184, 198, 209, 214, 222, 229, 234, 236, 236]",,,3,0.0,6901,1,3687,1177,"[50, 78, 410, 840, 1020, 1177, 1487, 1971, 2500, 3132, 3687, 4499, 5213, 5764, 6706, 6734, 7882, 8255, 8807, 9532, 10192, 11685, 12425, 13908, 15140, 16011, 16871, 18943, 20778, 22092, 23764, 24827, 24917]",22.976190476190474,9.233874195271571,18.958378161585653,4.97153185618211,4.846635283922746,77.15929925886685,Axe_1,2.31,437.0,528.0,23,23.0,0.1810344827586207,0.5632653061224491,0.21548323471400394,0.2571669477234401,0.21333333333333335,0.25682704811443435
