assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,ka,kda,kda_ratio
18,0.5283911671924291,0.9574132492113564,0.9589905362776026,0.7563291139240507,66,0.3943217665615142,0.6198738170347003,2,10,7,3,"[0, 0, 1, 2, 3, 3, 4, 5, 5, 6, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",3674,1435,"[0, 304, 511, 889, 1187, 1435, 1935, 2174, 2773, 3227, 3674, 4042, 4690, 5050, 5542, 5996, 6507, 7250, 7792, 8915, 9445, 9765, 9940, 10742, 12561, 13222, 13595, 14116, 14504, 15310, 15672, 16393, 17441, 18120, 18960, 19690, 20267, 20750, 21682, 21839, 23166, 24831, 25438, 26532, 27507, 28637]",31131,345,17,Storm Spirit,True,8,2,7.961109523809523,74,428,66,21,"[0, 2, 5, 12, 17, 21, 33, 38, 52, 59, 66, 74, 87, 94, 95, 107, 116, 131, 143, 155, 169, 175, 175, 193, 209, 212, 219, 230, 234, 250, 262, 277, 286, 299, 318, 318, 325, 331, 349, 349, 372, 387, 387, 398, 421, 427]",kojog,63.0,2,39.976906,2257,1,4970,1840,"[0, 211, 623, 1135, 1592, 1840, 2686, 3176, 3934, 4441, 4970, 5441, 6178, 6666, 7296, 7708, 8419, 9496, 10178, 12271, 13110, 13647, 13689, 14687, 16973, 17803, 18429, 19735, 20127, 21158, 21607, 22585, 25777, 26857, 27755, 29051, 29537, 29821, 30741, 30933, 32563, 35259, 38096, 39271, 40404, 42708]",2.142857142857143,11.149955033616687,5.0,2.838334546069401,2.6836219111434647,48.88596639614803,26,13.0,1.789855072463768
17,0.5514705882352942,0.5465686274509803,0.7536764705882353,0.5526960784313726,6,0.8848039215686274,0.8443627450980392,0,4,1,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",2258,1496,"[0, 370, 614, 736, 1038, 1496, 1626, 1732, 1838, 2108, 2258, 2364, 2565, 2788, 3270, 3416, 3791, 4274, 4607, 4713, 5054, 5671, 6194, 6379, 6905, 7414, 7779, 7957, 8213, 8735, 8848, 9127, 9735, 10020, 10323, 10816, 11148, 11459, 11571, 11733, 12004, 12805, 13020, 14086, 14205, 15252]",19026,0,119,Dark Willow,True,11,3,19.2448,45,80,6,3,"[0, 0, 1, 2, 3, 3, 4, 4, 4, 6, 6, 6, 6, 11, 13, 14, 19, 27, 31, 31, 34, 45, 45, 45, 46, 47, 52, 53, 54, 63, 63, 65, 65, 66, 68, 72, 72, 72, 72, 72, 72, 77, 77, 78, 80, 80]",Sakura Miko Stan,73.0,4,221.06091,2038,1,2217,1322,"[0, 82, 491, 654, 852, 1322, 1395, 1578, 1744, 1973, 2217, 2428, 2623, 2790, 3561, 3844, 4206, 4744, 5534, 5664, 6167, 7075, 7759, 7901, 9778, 10666, 11073, 11377, 11626, 11953, 12165, 12636, 14376, 14842, 15112, 16648, 16756, 17025, 17542, 17695, 18258, 19869, 20553, 21762, 22175, 26435]",2.5,11.87118694120622,3.882505646671563,4.522001506544442,3.520220588235294,70.06263797331927,28,28.0,3.8550724637681157
30,0.4272863568215892,0.5037481259370314,0.2458770614692653,0.2038980509745127,2,0.934032983508246,0.9265367316341828,10,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1672,935,"[0, 220, 320, 420, 551, 935, 1041, 1147, 1326, 1522, 1672, 1845, 2116, 2290, 2518, 2678, 3007, 3319, 3482, 3651, 3854, 3960, 4261, 4446, 4988, 5300, 5412, 5731, 6135, 6247, 6360, 6782, 7487, 7734, 7936, 8630, 9114, 9652, 9856, 10013, 10274, 10620, 10740, 11446, 11565, 12081]",15113,296,87,Disruptor,True,3,1,12.2936,33,35,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 3, 5, 6, 6, 7, 9, 9, 10, 11, 11, 11, 14, 16, 17, 17, 17, 18, 19, 20, 21, 21, 23, 23, 23, 24, 27, 32, 33, 33, 33, 33, 33, 33, 33, 33]",Gwar Goobah Stan,33.0,5,0.0,1223,1,2172,1178,"[0, 101, 249, 343, 800, 1178, 1232, 1259, 1467, 1907, 2172, 2776, 2969, 3743, 4317, 4554, 4831, 5300, 5677, 5829, 6019, 6909, 7653, 7697, 8818, 8891, 8964, 9389, 9672, 9918, 10284, 11482, 12607, 13017, 13083, 15670, 16781, 17138, 17501, 17694, 18233, 20954, 21036, 22078, 22378, 24733]",3.3928571428571432,7.990429709527942,0.7293853073463265,5.0,3.504685157421289,50.63224202638877,33,3.3,0.45434782608695645
20,0.581081081081081,0.920608108108108,0.6554054054054054,0.6852791878172588,45,0.1739864864864864,0.4239864864864865,4,12,12,5,"[0, 1, 3, 4, 5, 5, 8, 9, 9, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",3302,1491,"[0, 276, 671, 914, 1118, 1491, 1880, 2135, 2405, 2763, 3302, 3716, 4288, 4728, 5652, 5927, 6552, 6962, 7677, 8028, 8231, 8597, 9110, 9691, 10418, 11557, 11778, 12504, 12955, 13458, 13659, 14114, 14807, 15476, 16223, 16875, 17643, 18230, 18342, 18605, 19114, 19473, 20456, 21440, 21942, 23939]",31294,0,81,Chaos Knight,True,12,3,19.2448,66,277,45,17,"[0, 1, 6, 10, 12, 17, 24, 28, 32, 36, 45, 52, 61, 68, 75, 80, 94, 104, 113, 120, 120, 127, 135, 147, 149, 161, 166, 170, 176, 185, 188, 194, 197, 206, 218, 225, 237, 242, 242, 245, 245, 245, 254, 259, 268, 275]",For The Pills,61.0,3,41.876846,3138,1,3347,1311,"[0, 82, 404, 609, 841, 1311, 1931, 2247, 2470, 2699, 3347, 3892, 4397, 4938, 5864, 6152, 6694, 7230, 7931, 8519, 8709, 9309, 10592, 11242, 12691, 13821, 14042, 15094, 15475, 16253, 16553, 16849, 18039, 18622, 18763, 20055, 20862, 21399, 21648, 21924, 22465, 23655, 25231, 26943, 27748, 31876]",3.2142857142857144,12.796514842637063,3.145472657800339,1.6199324324324327,2.040770858197774,64.71042539285128,32,8.0,1.1014492753623188
9,0.3066783831282952,0.9630931458699472,0.9261862917398944,0.5563380281690141,41,0.984182776801406,0.8066783831282952,3,14,11,10,"[0, 1, 2, 4, 5, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]",3319,1648,"[0, 254, 388, 597, 872, 1648, 1952, 2133, 2419, 2914, 3319, 3753, 4024, 4740, 5452, 5777, 6145, 6899, 7443, 8144, 8531, 9202, 9923, 10811, 11328, 12098, 12686, 13206, 14426, 14963, 15680, 16231, 17422, 18355, 19059, 20362, 21443, 22391, 23106, 23646, 24284, 25230, 27228, 28284, 28923, 29529]",23862,0,6,Drow Ranger,True,10,1,12.2936,67,448,41,9,"[0, 1, 2, 5, 5, 9, 14, 17, 23, 32, 41, 50, 52, 65, 75, 83, 88, 107, 115, 130, 130, 145, 154, 172, 179, 189, 202, 211, 233, 246, 259, 268, 276, 288, 302, 308, 322, 342, 357, 366, 373, 389, 416, 425, 434, 437]",For The Thrills,63.0,1,0.0,13973,1,3744,1774,"[0, 101, 489, 880, 982, 1774, 2474, 2579, 2889, 3393, 3744, 4286, 4453, 5305, 6670, 7205, 7535, 8778, 9453, 10152, 10342, 11356, 12211, 13538, 14322, 15118, 15962, 16692, 17757, 18422, 18923, 19410, 22615, 23670, 24400, 27783, 28548, 29315, 29802, 30078, 31056, 32972, 36472, 36831, 37137, 39408]",0.8928571428571429,4.221430531612503,5.0,4.239368791771362,4.962017236386156,48.629651850195636,19,6.333333333333333,0.8719806763285023
9,0.2762312633832976,0.7366167023554604,0.8822269807280514,0.5995717344753747,8,0.6616702355460385,0.2633832976445396,6,5,4,1,"[0, 1, 1, 1, 1, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5]",2165,874,"[0, 150, 250, 379, 555, 874, 1019, 1364, 1599, 2015, 2165, 2311, 2569, 2968, 3094, 3332, 3793, 4372, 4617, 4810, 5546, 5715, 6157, 6468, 6735, 6903, 7217, 7759, 8152, 8391, 8966, 9258, 10041, 10902, 11288, 11690, 11802, 12160, 12549, 12756, 13681, 14021, 14249, 14729, 14958, 15166]",17836,6353,110,Phoenix,False,5,1,12.7064,43,167,8,1,"[0, 0, 0, 0, 1, 1, 2, 4, 5, 8, 8, 9, 10, 16, 16, 19, 26, 41, 44, 44, 47, 52, 61, 66, 67, 67, 69, 76, 81, 88, 104, 107, 110, 127, 134, 141, 141, 147, 155, 155, 157, 157, 157, 164, 164, 167]",Iceman,75.0,4,17.63623,73,0,2280,1101,"[0, 34, 199, 456, 743, 1101, 1436, 1789, 1887, 2215, 2280, 2544, 2734, 3048, 3074, 3372, 3973, 4665, 5157, 5276, 6637, 7095, 7580, 7987, 8109, 8581, 8800, 9367, 9693, 10040, 10716, 11031, 13897, 15202, 15620, 15877, 15947, 16409, 16932, 17109, 19129, 19263, 19401, 19861, 20019, 20111]",3.333333333333333,6.410526600643949,4.757280076330115,0.9961397555080445,3.6902606993934395,49.067600715705964,14,2.3333333333333335,1.909090909090909
8,0.2341557813255926,0.5244315432994678,0.714078374455733,0.8493217054263565,35,0.1920657958393807,0.4160619254958878,12,8,7,0,"[0, 0, 0, 0, 0, 0, 0, 3, 3, 4, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",3652,1912,"[0, 413, 744, 1093, 1502, 1912, 2018, 2395, 2827, 3175, 3652, 3984, 4667, 5010, 5116, 5222, 5523, 5807, 5913, 6255, 6642, 6850, 7225, 7412, 7639, 7807, 7919, 8032, 8226, 8404, 8922, 9124, 9362, 9742, 10188, 10495, 11077, 11308, 11487, 11644, 12290, 12630, 13643, 13763, 13992, 14112]",14494,0,14,Pudge,False,6,1,12.7064,73,124,35,11,"[0, 0, 6, 8, 11, 11, 11, 17, 22, 27, 35, 40, 47, 49, 49, 49, 52, 57, 57, 61, 64, 67, 67, 69, 69, 69, 69, 69, 69, 72, 80, 80, 80, 86, 94, 99, 109, 111, 112, 112, 112, 112, 124, 124, 124, 124]",Investment Ganking Analyst,54.0,3,36.538574,109,0,3602,1345,"[0, 91, 427, 565, 1064, 1345, 1355, 1981, 2476, 3088, 3602, 3821, 4446, 5497, 5656, 5769, 6265, 7071, 7224, 7731, 9192, 9388, 10369, 10585, 11448, 11585, 12054, 12315, 12369, 12480, 13305, 13576, 13659, 14175, 14600, 14876, 15437, 15705, 16240, 16511, 18158, 19463, 20931, 21015, 21101, 21482]",3.333333333333333,5.095667786340667,3.4961655292877274,2.1412294643931555,0.9501512658530352,42.65068827570448,14,1.1666666666666667,0.9545454545454545
8,0.3720930232558139,0.9331395348837208,0.9496124031007752,0.7875848690591658,56,0.6463178294573644,0.6124031007751938,5,8,7,5,"[0, 1, 3, 4, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8]",3868,1763,"[0, 255, 516, 845, 1105, 1763, 2006, 2473, 3115, 3476, 3868, 4265, 4761, 5508, 5652, 6017, 6614, 7260, 7907, 8443, 9663, 10020, 10723, 11375, 12147, 12455, 13252, 13534, 14345, 15183, 15810, 16640, 17406, 17518, 18413, 19298, 20139, 21096, 21806, 22518, 23245, 24010, 25006, 25126, 26125, 26337]",32173,400,35,Sniper,False,4,2,17.038890476190478,78,443,56,24,"[0, 3, 7, 13, 17, 24, 27, 36, 43, 49, 56, 66, 71, 84, 85, 92, 108, 121, 137, 152, 167, 174, 186, 200, 206, 209, 229, 233, 251, 267, 281, 298, 303, 303, 317, 334, 351, 372, 387, 395, 406, 413, 429, 429, 443, 443]",fluffy fluffy bunny,80.0,2,3.7612157,3602,0,5189,2587,"[0, 317, 713, 1219, 1670, 2587, 2950, 3647, 4211, 4700, 5189, 5557, 5877, 6554, 6636, 6915, 7823, 8737, 9597, 10127, 12019, 12383, 13089, 13872, 14735, 14852, 15529, 15826, 16644, 17859, 18503, 19247, 21101, 21165, 22002, 22878, 24010, 24800, 25459, 25812, 27798, 29237, 30613, 30697, 31549, 31601]",2.5,9.406206596660082,5.0,3.5620155038759687,4.097817546235514,64.00758480455698,12,2.4,1.9636363636363634
6,0.0897435897435897,0.0705128205128205,0.4276556776556776,0.8120989917506874,8,0.4377289377289377,0.3122710622710622,13,1,1,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1707,741,"[0, 150, 329, 429, 601, 741, 847, 994, 1235, 1521, 1707, 1813, 2035, 2323, 2429, 2629, 2798, 3126, 3471, 3679, 3876, 3982, 4613, 4787, 4899, 5176, 5328, 5475, 5747, 6218, 6331, 6533, 7265, 7495, 7697, 7899, 8011, 8489, 8601, 8758, 9411, 9655, 9883, 10003, 10232, 10400]",10972,298,30,Witch Doctor,False,3,3,5.755199999999999,34,40,8,4,"[0, 0, 2, 2, 4, 4, 4, 6, 6, 8, 8, 8, 8, 9, 9, 11, 11, 12, 17, 18, 18, 20, 20, 21, 21, 23, 25, 26, 28, 32, 32, 32, 32, 34, 34, 34, 34, 39, 39, 39, 39, 39, 39, 39, 39, 39]",Alexander Hamilton,64.0,5,61.243042,80,0,1774,1016,"[0, 65, 436, 576, 946, 1016, 1061, 1248, 1547, 1657, 1774, 2072, 2278, 2463, 2489, 2765, 2879, 3076, 3796, 3887, 3925, 4127, 5943, 6272, 6380, 6761, 7112, 7296, 7865, 8462, 8598, 8880, 10734, 10920, 11212, 11489, 11721, 12307, 12621, 12854, 12932, 13057, 13139, 14419, 14918, 15022]",1.25,0.77509449171077,1.638278388278388,1.362797990206964,1.0548730875933798,18.209606088906927,9,0.6923076923076923,0.5664335664335663
5,0.1664564943253468,0.978562421185372,0.7452711223203027,0.4583333333333333,43,0.8297604035308953,0.3543505674653215,9,8,8,3,"[0, 0, 1, 3, 3, 3, 6, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",2546,901,"[0, 185, 321, 538, 727, 901, 1076, 1341, 1745, 2099, 2546, 2794, 3378, 3985, 4452, 4935, 5454, 6019, 6499, 7048, 7320, 8387, 8859, 9770, 10039, 10224, 11057, 11862, 12758, 13568, 14399, 15246, 15484, 16422, 17375, 17835, 17990, 19253, 19574, 19887, 20974, 22464, 22692, 22812, 23565, 24186]",14752,0,12,Phantom Lancer,False,1,3,5.755199999999999,51,418,43,9,"[0, 1, 2, 5, 7, 9, 11, 15, 19, 27, 43, 49, 61, 71, 80, 91, 101, 113, 124, 132, 135, 162, 170, 187, 188, 189, 205, 227, 244, 262, 281, 300, 300, 316, 332, 339, 340, 365, 372, 375, 389, 401, 401, 401, 409, 418]",,,1,0.0,1867,0,2848,987,"[0, 65, 293, 444, 632, 987, 1165, 1415, 2054, 2557, 2848, 3040, 3744, 4193, 4841, 5446, 5921, 6848, 7399, 8017, 8369, 9532, 10039, 11253, 12116, 12200, 12798, 14065, 14853, 15843, 16829, 17634, 17762, 19046, 20166, 20279, 20406, 21957, 22302, 22639, 25154, 26917, 26999, 27174, 27772, 28029]",0.0,2.980065067582986,3.730111138272,1.6783942791639086,4.824401008827238,29.181802298224824,6,0.6666666666666666,0.5454545454545454
