assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,ka,kda,kda_ratio
14,0.6912114014251781,0.9881235154394299,0.29691211401425177,0.6324582338902148,51,0.9572446555819477,0.9121140142517815,7,29,26,10,"[0, 3, 5, 6, 8, 10, 14, 18, 21, 25, 26, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29]",3798,1406,"[0, 390, 634, 768, 986, 1406, 1823, 2373, 2843, 3260, 3798, 4561, 5394, 5936, 6308, 6735, 7358, 8161, 8369, 9032, 9692, 9959, 10514, 11040, 11746, 12639, 13026, 13299, 13794, 14327, 14727, 14987, 15234, 15969, 16172, 16284, 17289, 18118, 18230, 18342, 18866, 19782]",35750,0,59,Huskar,True,14,2,15.62250238095238,76,156,51,20,"[0, 4, 8, 9, 12, 20, 28, 31, 40, 47, 51, 58, 61, 71, 76, 76, 85, 91, 92, 101, 105, 108, 110, 110, 118, 130, 137, 137, 138, 147, 148, 148, 148, 150, 150, 150, 150, 152, 152, 152, 152, 153]",Nanjou Sachi,61.0,2,0.0,13722,1,5119,1721,"[0, 297, 561, 748, 1233, 1721, 2325, 3197, 3805, 4337, 5119, 6553, 7454, 8136, 8452, 8816, 9438, 10462, 10635, 10972, 11689, 11938, 12687, 13328, 13872, 15377, 16085, 16696, 17098, 17763, 18145, 18535, 18801, 19259, 19325, 19393, 21835, 23028, 23102, 23178, 24308, 26463]",2.5,15.023047608509492,1.3255178870908448,4.98458965930355,4.801404061711969,68.0877870731819,28,4.0,0.8057553956834532
17,0.45,0.7344827586206897,0.2655172413793103,0.5415224913494809,39,0.5258620689655172,0.8741379310344828,3,17,13,6,"[0, 0, 3, 5, 5, 6, 9, 9, 9, 13, 13, 14, 16, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]",2823,1315,"[0, 430, 737, 910, 1178, 1315, 1588, 1942, 2127, 2439, 2823, 3263, 3802, 4127, 4752, 5237, 5686, 6157, 6717, 7045, 7799, 7980, 8774, 9136, 9577, 10111, 10405, 11116, 11333, 11446, 11600, 12388, 13193, 13761, 15241, 15819, 17017, 17941, 18053, 18206, 18820, 19567]",21795,0,120,Pangolier,True,10,3,12.100047619047618,57,168,39,14,"[0, 2, 7, 9, 13, 14, 18, 25, 27, 32, 39, 47, 54, 58, 68, 73, 78, 83, 93, 96, 99, 101, 103, 105, 110, 117, 121, 126, 126, 126, 126, 126, 138, 139, 144, 152, 153, 154, 154, 155, 162, 165]",For The Pills,61.0,3,13.482788,3557,1,2154,819,"[0, 135, 303, 517, 762, 819, 1114, 1343, 1678, 1901, 2154, 2554, 3131, 3488, 4199, 4417, 4723, 5324, 6168, 6528, 7217, 7410, 8159, 8937, 9292, 9910, 10382, 11162, 11227, 11455, 11814, 13172, 14239, 14697, 18740, 20132, 22694, 23994, 24068, 24367, 25712, 26553]",2.3214285714285716,7.485191313972677,1.0900563423287841,4.760339106432718,2.2978894258445948,46.23838827546917,27,9.0,1.8129496402877698
28,0.923992673992674,0.9935897435897436,0.532967032967033,0.43538038496791936,4,0.739010989010989,0.7417582417582418,5,3,3,3,"[0, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2222,979,"[0, 234, 334, 545, 645, 979, 1084, 1190, 1511, 1755, 2222, 2448, 2927, 3265, 3473, 3890, 4113, 4779, 4948, 5144, 5532, 5772, 6299, 6599, 6822, 7464, 7577, 8120, 8399, 8512, 8734, 9282, 9529, 10054, 10257, 10669, 11566, 12783, 13107, 13308, 13897, 14190]",28852,16563,30,Witch Doctor,True,10,1,12.858516666666667,44,42,4,3,"[0, 0, 0, 2, 2, 3, 3, 3, 3, 3, 4, 5, 6, 10, 12, 17, 17, 20, 20, 20, 20, 23, 25, 26, 26, 26, 26, 27, 27, 27, 28, 28, 28, 28, 28, 28, 29, 30, 35, 38, 40, 40]",Sakura Miko Stan,73.0,5,74.20685,992,1,3112,1291,"[0, 90, 300, 770, 894, 1291, 1583, 1852, 2075, 2532, 3112, 3196, 3695, 4052, 4319, 4785, 5091, 6237, 6271, 6593, 7310, 7614, 8363, 9004, 9290, 10716, 11028, 11694, 12096, 12168, 12638, 15100, 15366, 15799, 15865, 16838, 19381, 20652, 21137, 21341, 22670, 23321]",4.285714285714286,20.0,3.095929779236704,3.7674914368609103,4.218298040218727,74.19376955184198,38,7.6,1.530935251798561
22,0.6227678571428571,0.96875,0.42354910714285715,0.040268456375838924,21,0.6395089285714286,0.5541294642857143,6,15,10,6,"[0, 1, 3, 5, 6, 6, 6, 8, 8, 9, 10, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",2441,1088,"[0, 326, 463, 809, 946, 1088, 1344, 1558, 1719, 2205, 2441, 2849, 3308, 3821, 4268, 4909, 5743, 6465, 7195, 7861, 8140, 9141, 10247, 10993, 11878, 12734, 13801, 14583, 15231, 15728, 16161, 17563, 18053, 19046, 19856, 20158, 22333, 22933, 23286, 24003, 24751, 25820]",35506,0,48,Luna,True,7,1,12.858516666666667,49,385,21,7,"[0, 3, 4, 6, 7, 7, 11, 14, 14, 19, 21, 27, 33, 49, 59, 73, 90, 105, 123, 140, 140, 159, 167, 184, 207, 227, 252, 273, 281, 294, 300, 306, 307, 314, 320, 325, 340, 340, 346, 361, 375, 385]",For The Thrills,63.0,1,37.520744,11024,1,2806,1018,"[0, 113, 323, 582, 678, 1018, 1317, 1517, 1769, 2283, 2806, 3245, 3966, 4592, 5142, 5839, 6965, 7883, 8953, 9898, 9936, 11436, 12170, 12929, 13958, 14512, 15663, 16643, 17166, 17590, 18003, 20465, 20731, 21189, 22961, 23123, 25805, 25877, 26284, 27287, 28621, 30776]",2.6785714285714284,12.884186849686962,2.275295335555385,2.360275605816954,3.658688379046565,56.4854373312984,29,4.833333333333333,0.9736211031175059
13,0.19295154185022026,0.652863436123348,0.28370044052863436,0.291005291005291,5,0.22202643171806166,0.5092511013215859,7,2,2,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1271,722,"[0, 234, 334, 434, 534, 722, 827, 953, 1059, 1165, 1271, 1377, 1844, 2004, 2429, 2739, 2962, 3302, 3471, 3841, 4421, 4564, 4942, 5436, 5841, 6218, 6582, 6855, 7216, 7329, 7544, 7915, 8437, 9261, 9464, 9576, 10396, 11509, 11857, 12228, 12542, 12835]",13150,400,86,Rubick,True,4,3,12.100047619047618,25,62,5,4,"[0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 7, 7, 8, 9, 9, 11, 11, 13, 13, 14, 14, 14, 18, 21, 26, 26, 28, 28, 29, 29, 35, 37, 37, 37, 38, 46, 51, 57, 62, 62]",ass hamburger,31.0,4,36.608734,284,1,2153,951,"[0, 135, 303, 517, 762, 951, 1303, 1601, 1753, 1919, 2153, 2285, 3615, 3752, 4145, 4539, 4639, 4803, 4837, 5065, 5603, 5793, 6670, 7439, 7859, 8308, 8653, 9341, 9743, 9990, 10403, 10793, 12483, 12941, 13007, 13143, 13352, 14807, 15552, 16076, 17131, 17782]",0.5357142857142857,1.7428414096916298,1.2264303359487143,2.0462555066079293,0.9961453744493391,28.688360817630024,17,2.4285714285714284,0.48920863309352514
9,0.9561602418745276,0.5291005291005291,0.9168556311413454,0.9062027231467473,32,0.8851095993953136,0.7112622826908541,9,3,3,3,"[0, 0, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3251,1514,"[0, 349, 659, 987, 1167, 1514, 1783, 2057, 2349, 2927, 3251, 3840, 4068, 4389, 4573, 5512, 6039, 6157, 6687, 7430, 7536, 7808, 8219, 9017, 9767, 9879, 10501, 10851, 12244, 12794, 13299, 13822, 14024, 14964, 15618, 16021, 16487, 17699, 18853, 19270, 19819, 20796]",32458,0,9,Mirana,False,15,2,9.37749761904762,65,215,32,13,"[0, 1, 6, 6, 8, 13, 16, 20, 20, 27, 32, 36, 39, 44, 46, 50, 55, 56, 67, 76, 76, 80, 80, 92, 108, 108, 119, 125, 125, 134, 142, 142, 142, 151, 158, 167, 167, 174, 200, 209, 215, 215]",Squeezy,71.0,2,89.14407,1919,0,4268,2094,"[0, 240, 727, 1236, 1538, 2094, 2377, 2798, 3001, 3860, 4268, 4758, 4902, 5265, 5475, 6115, 6597, 6732, 7501, 8439, 8519, 8726, 9659, 10717, 11797, 11845, 12467, 12876, 14656, 15172, 15536, 16222, 16284, 17520, 18295, 18582, 19110, 20598, 21498, 21851, 22158, 23946]",5.0,20.0,5.0,4.056311413454271,3.854489129787082,72.75122794198302,24,2.6666666666666665,1.5144032921810697
16,0.11202635914332784,0.7891268533772653,0.13179571663920922,0.11056105610561057,21,0.41186161449752884,0.11202635914332784,10,6,6,2,"[0, 0, 0, 0, 2, 2, 2, 2, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",2409,1161,"[0, 484, 584, 760, 1020, 1161, 1510, 1665, 1919, 2303, 2409, 2694, 2800, 3071, 3301, 3861, 4218, 4587, 5105, 5461, 5718, 6090, 6196, 6673, 7046, 7543, 7912, 8140, 9882, 10380, 10591, 10914, 11116, 11486, 12161, 12273, 13268, 13490, 14282, 15096, 15490, 16137]",14087,0,23,Kunkka,False,4,1,12.141483333333333,48,157,21,6,"[0, 1, 1, 2, 6, 6, 13, 13, 17, 21, 21, 24, 24, 27, 28, 32, 35, 43, 53, 58, 61, 66, 66, 74, 78, 86, 91, 94, 103, 113, 117, 117, 117, 120, 120, 120, 120, 120, 138, 154, 156, 157]",,,3,54.331,0,0,2044,715,"[0, 135, 323, 426, 623, 715, 1089, 1456, 1762, 2026, 2044, 2505, 2533, 2776, 2893, 3264, 3624, 4169, 4523, 4836, 5169, 5585, 5973, 6270, 6623, 7197, 7585, 7604, 9640, 10251, 10504, 12225, 12287, 13124, 14744, 14812, 15351, 15423, 15940, 17021, 17099, 18899]",3.75,0.22549423393739693,0.15897858319604607,0.06013179571663918,2.906163543580996,29.603463830406785,20,2.0,1.1358024691358024
11,0.8045007032348804,0.5414908579465542,0.7454289732770746,0.9225352112676056,18,0.5879043600562588,0.43319268635724334,6,4,4,2,"[0, 0, 0, 1, 2, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",2426,1235,"[0, 312, 538, 849, 949, 1235, 1526, 1902, 2129, 2280, 2426, 2689, 2971, 3260, 3805, 4908, 5209, 5847, 6055, 6224, 6495, 6641, 6779, 7051, 7425, 7655, 7848, 8041, 8490, 9168, 9360, 9730, 10644, 11066, 11493, 11685, 12297, 13323, 13614, 13751, 14061, 14718]",24861,276,64,Jakiro,False,5,1,12.141483333333333,49,100,18,8,"[0, 0, 3, 4, 4, 8, 12, 14, 17, 17, 18, 20, 24, 28, 32, 38, 41, 56, 58, 58, 62, 63, 63, 63, 65, 67, 67, 67, 67, 77, 77, 79, 91, 94, 94, 94, 94, 99, 99, 99, 99, 100]",Sally Po <3,64.0,4,64.813484,909,0,2754,1345,"[0, 192, 431, 771, 968, 1345, 1719, 2109, 2484, 2500, 2754, 3030, 4171, 4497, 4614, 7093, 7452, 8232, 8602, 8883, 9247, 9567, 9642, 9777, 10037, 10265, 10315, 10334, 10334, 10716, 11100, 11230, 11739, 12515, 13284, 13352, 13939, 17036, 17146, 17339, 17457, 19202]",2.5,18.120566362727665,4.227144866385373,2.1743258515506216,2.8631475691244566,64.65641228172531,16,2.6666666666666665,1.5144032921810697
11,0.7747336377473364,0.09817351598173515,0.286910197869102,0.2631578947368421,4,0.0502283105022831,0.6643835616438356,15,8,6,2,"[0, 0, 0, 1, 2, 2, 3, 4, 4, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8]",1477,794,"[0, 168, 305, 516, 616, 794, 944, 1050, 1220, 1371, 1477, 1819, 2091, 2402, 2564, 2850, 3105, 3495, 3601, 3770, 3876, 4081, 4292, 4484, 4730, 4948, 5075, 5188, 5557, 5850, 6093, 6336, 6538, 6650, 6949, 7061, 7593, 8700, 9158, 9378, 9688, 10551]",24401,1812,112,Winter Wyvern,False,1,3,12.899952380952382,29,53,4,3,"[0, 0, 1, 2, 2, 3, 3, 3, 4, 4, 4, 8, 12, 13, 14, 14, 16, 22, 22, 23, 23, 24, 24, 24, 25, 27, 28, 28, 28, 34, 36, 36, 36, 36, 40, 40, 40, 41, 47, 49, 49, 51]",,,5,17.077627,909,0,1885,886,"[0, 81, 299, 558, 592, 886, 1059, 1247, 1568, 1687, 1885, 2344, 2824, 3069, 3301, 3472, 3647, 4261, 4492, 4598, 4749, 4886, 5796, 6106, 6266, 6398, 6637, 6656, 6730, 7013, 7268, 8019, 8243, 8442, 9147, 9222, 9784, 12834, 13276, 13575, 13704, 13813]",1.25,17.190345566241913,0.9345509893455098,3.821917808219178,0.0,55.5334872996292,12,0.8,0.454320987654321
7,0.41061130334486734,0.9769319492502884,0.45790080738177624,0.38523644752018454,36,0.5940023068050749,0.22837370242214533,6,17,9,5,"[0, 1, 2, 2, 4, 5, 5, 7, 8, 8, 9, 9, 10, 11, 13, 13, 13, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17]",2687,1190,"[0, 179, 387, 719, 892, 1190, 1532, 1879, 2101, 2323, 2687, 3130, 3701, 4151, 4694, 5149, 5519, 6217, 6703, 7443, 7549, 7847, 8493, 8685, 9098, 9806, 10574, 11073, 11990, 12694, 12966, 13353, 14610, 15133, 15878, 15990, 16370, 16976, 17187, 17476, 18192, 19313]",20971,0,93,Slark,False,2,3,12.899952380952382,54,256,36,16,"[0, 1, 4, 10, 12, 16, 20, 26, 28, 30, 36, 44, 56, 64, 75, 80, 84, 96, 108, 117, 117, 121, 132, 133, 138, 156, 176, 184, 184, 194, 198, 201, 221, 227, 230, 230, 230, 233, 233, 238, 250, 256]",,,1,0.0,500,0,2780,1120,"[0, 56, 308, 567, 715, 1120, 1419, 1790, 2111, 2334, 2780, 3348, 4070, 4545, 5111, 5412, 6020, 6796, 7694, 8979, 9131, 9452, 10525, 10569, 10964, 11977, 13096, 13774, 16540, 17100, 17559, 18633, 20165, 21242, 22986, 23054, 23135, 23270, 23344, 23517, 23804, 25488]",0.3125,5.823961937716262,2.1648103922090685,0.6418685121107266,3.955458438397145,39.690079479054745,9,1.5,0.8518518518518519
