assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_kills,hero_name,isRadiant,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,ka,kda,kda_ratio,total_advantage
26,0.6835443037974683,0.6371308016877637,0.7848101265822784,0.8649789029535865,47,0.46835443037974683,0.6075949367088608,4,15,13,6,"[0, 2, 3, 4, 6, 6, 10, 11, 11, 11, 13, 13, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",3636,1611,"[0, 257, 545, 1089, 1472, 1611, 2102, 2482, 2857, 3170, 3636, 3752, 4258, 5031, 5429, 5914, 6145, 6317, 6505, 7146, 7432, 7882, 8372, 8619, 9268, 10619, 11060, 11427, 11923, 12171, 12283, 12898, 13504, 13886, 14247, 14543, 14884, 14996, 15415, 15823, 16239, 16620, 16854, 17568, 18370, 18821, 19313, 19727, 20055, 20764, 21060, 21426, 21648, 23117, 23622, 24296, 24687, 25194, 25502, 26256, 26567, 26946, 27668, 28147, 28625, 29369, 29951, 30151, 30488, 30864]",41461,0,78,4,Brewmaster,True,3,16.356883333333332,73,348,47,19,"[0, 2, 7, 11, 18, 19, 28, 33, 38, 43, 47, 47, 54, 64, 71, 79, 82, 85, 86, 89, 93, 99, 102, 106, 118, 119, 124, 131, 138, 138, 138, 141, 141, 147, 149, 155, 158, 158, 163, 169, 173, 178, 180, 186, 203, 211, 215, 221, 227, 230, 230, 230, 230, 247, 258, 263, 272, 272, 276, 278, 283, 289, 301, 307, 315, 323, 334, 336, 341, 345]",Nik,63.0,3,100.27319,2158,0,2880,922,"[0, 205, 364, 578, 886, 922, 1530, 1895, 2097, 2285, 2880, 2966, 3676, 4153, 4713, 5495, 5688, 5860, 6241, 7713, 8122, 8952, 9805, 10099, 11040, 13468, 13712, 14191, 14626, 14922, 15120, 15942, 16922, 17452, 17996, 18426, 18847, 19313, 19674, 20392, 20864, 20986, 21125, 21943, 23165, 23492, 24578, 25504, 25985, 28693, 30080, 31536, 32712, 34171, 34429, 36196, 36758, 39310, 39618, 39912, 40388, 40749, 41295, 41557, 41971, 43045, 43380, 43489, 43650, 43815]",3.055555555555556,10.941455696202532,3.424050632911392,2.537974683544304,4.527426160337552,30,7.5,1.5225563909774438,62.835917018284114
14,0.9333333333333333,0.5309941520467836,0.9438596491228071,0.5826494724501758,6,0.9637426900584796,0.4853801169590643,6,4,2,1,"[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",2307,850,"[0, 179, 279, 398, 498, 850, 1014, 1165, 1584, 1886, 2307, 2691, 3020, 3596, 3756, 4348, 4720, 5141, 5536, 5886, 6426, 6611, 7064, 7257, 7643, 8467, 8740, 8933, 9314, 9642, 9834, 10694, 11658, 12188, 12907, 13137, 13874, 14066, 14399, 15245, 15536, 15735, 15940, 16465, 16901, 17182, 17498, 18116, 18701, 19314, 19513, 20647, 21776, 22479, 22774, 23302, 24019, 25345, 26018, 26408, 27155, 27536, 28076, 28344, 28518, 29930, 30345, 31095, 31685, 32481]",50595,0,119,12,Dark Willow,True,1,11.1564,46,233,6,3,"[0, 0, 0, 1, 1, 3, 4, 4, 5, 5, 6, 6, 6, 6, 6, 8, 13, 20, 27, 30, 38, 38, 38, 38, 39, 40, 40, 40, 42, 42, 42, 43, 44, 46, 49, 50, 55, 56, 57, 63, 63, 64, 64, 64, 69, 70, 70, 77, 85, 86, 86, 99, 105, 114, 117, 117, 131, 139, 145, 145, 151, 158, 167, 170, 171, 186, 192, 204, 214, 229]",Sakura Miko Stan,73.0,5,402.09833,418,0,2044,828,"[0, 90, 224, 364, 618, 828, 990, 1164, 1450, 1846, 2044, 3196, 3577, 4049, 4416, 5070, 5237, 5589, 6187, 6565, 7286, 7326, 8098, 8329, 9401, 10877, 11230, 11422, 11958, 12305, 12564, 13385, 14484, 15106, 15487, 16955, 17543, 17857, 18188, 18958, 19401, 19709, 20169, 20367, 22161, 22397, 22758, 23602, 24556, 24796, 24894, 26327, 29026, 30875, 31628, 33175, 33826, 36519, 37164, 37445, 37802, 38459, 38899, 40555, 40949, 42725, 43157, 43662, 43913, 44224]",2.314814814814815,15.0,4.0,1.9269005847953213,6.154970760233917,26,4.333333333333333,0.8796992481203008,62.389363322837
14,0.4833948339483395,0.7195571955719557,0.7785977859778598,0.35304990757855825,41,0.8726937269372693,0.522140221402214,4,5,4,2,"[0, 0, 0, 1, 2, 2, 2, 2, 2, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",2876,1285,"[0, 256, 551, 807, 1041, 1285, 1470, 1756, 2101, 2457, 2876, 3211, 3734, 4402, 4974, 5248, 5874, 6057, 6319, 6762, 7182, 7476, 7780, 8253, 8564, 9143, 10055, 10623, 11114, 11796, 12205, 12854, 13534, 14104, 14671, 14948, 15605, 16198, 16410, 16694, 17169, 17844, 18283, 18824, 19113, 19439, 19973, 20461, 21170, 22265, 22906, 23327, 25690, 26127, 26708, 27746, 28625, 30297, 30907, 31732, 32010, 32354, 33296, 33559, 33861, 34846, 35620, 36517, 36855, 37321]",44011,64,126,8,Void Spirit,True,2,6.604971428571428,58,419,41,18,"[0, 2, 7, 11, 14, 18, 19, 22, 29, 36, 41, 45, 56, 58, 61, 65, 77, 80, 84, 90, 98, 103, 104, 112, 118, 119, 128, 142, 149, 160, 167, 167, 168, 177, 183, 190, 200, 204, 204, 209, 219, 232, 238, 241, 244, 251, 257, 267, 280, 286, 287, 287, 295, 300, 312, 318, 324, 331, 342, 353, 357, 364, 382, 386, 390, 390, 399, 414, 418, 419]",For The Pills,61.0,2,46.13159,940,0,4226,1925,"[0, 240, 658, 1078, 1449, 1925, 2197, 2732, 3117, 3665, 4226, 4465, 5164, 5750, 6670, 7060, 7877, 8130, 8391, 8825, 9419, 9839, 9949, 10269, 10735, 12141, 12851, 13341, 13750, 14323, 14624, 14908, 16150, 16873, 17288, 17715, 18438, 18826, 18901, 19226, 19904, 20570, 20976, 21212, 21482, 21883, 22438, 23363, 24411, 27384, 28801, 30475, 34672, 35041, 35901, 37524, 38375, 41088, 41575, 42057, 42683, 43234, 43834, 44191, 44720, 46650, 47133, 47620, 47703, 47969]",1.5740740740740742,7.188653136531366,3.392988929889299,2.1107011070110704,6.961254612546125,22,5.5,1.1165413533834587,42.81945121326671
16,0.9653802497162316,0.9670828603859251,0.9812712826333712,0.1534090909090909,36,0.4103291713961407,0.7043132803632236,8,15,12,7,"[0, 1, 1, 2, 6, 7, 8, 10, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 13, 13, 13, 13, 13, 15]",2850,1147,"[0, 261, 463, 638, 942, 1147, 1469, 1819, 2174, 2437, 2850, 3345, 3716, 4435, 4944, 5465, 6315, 7081, 8039, 8533, 9226, 10047, 11371, 12206, 12948, 14822, 15513, 16348, 18178, 18985, 19414, 20379, 22619, 23152, 24117, 25152, 26067, 27082, 27294, 27406, 28766, 29692, 31537, 33137, 34288, 35636, 37160, 38444, 39922, 41963, 43306, 44249, 45241, 46287, 47337, 48624, 48744, 50003, 50896, 52244, 53815, 54731, 55416, 56463, 58279, 60787, 61843, 63070, 63863, 64583]",99456,0,48,11,Luna,True,1,11.1564,57,1010,36,15,"[0, 2, 5, 7, 13, 15, 20, 25, 28, 31, 36, 48, 57, 69, 83, 97, 111, 130, 152, 157, 174, 190, 212, 230, 246, 260, 274, 291, 312, 318, 324, 330, 347, 363, 379, 398, 415, 434, 434, 434, 460, 476, 511, 539, 555, 579, 607, 632, 661, 683, 704, 705, 711, 728, 751, 755, 755, 764, 782, 804, 833, 845, 866, 888, 911, 938, 952, 980, 995, 1007]",Nanjou Sachi,61.0,1,49.415154,15322,0,2595,1005,"[0, 90, 327, 486, 740, 1005, 1327, 1677, 1971, 2138, 2595, 3274, 3772, 4718, 5568, 6283, 7355, 8529, 9888, 10246, 11113, 12058, 13326, 14563, 15455, 17872, 18796, 19878, 23339, 24015, 24113, 24935, 26229, 26930, 27858, 28885, 29701, 30687, 30761, 30837, 32649, 33399, 35797, 37098, 38573, 39863, 40564, 41647, 43149, 46502, 48423, 49936, 51337, 52418, 53557, 55020, 55130, 56045, 56045, 56045, 56045, 56045, 56045, 56045, 56045, 56045, 56045, 56045, 56045, 56045]",2.5,15.0,4.0,3.021566401816118,5.551645856980704,27,3.375,0.6851503759398496,63.43017270584126
20,0.8277372262773722,0.5744525547445255,0.891970802919708,0.020452885317750184,0,0.9912408759124087,0.8737226277372263,5,1,1,1,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1661,612,"[0, 179, 279, 412, 512, 612, 763, 914, 1110, 1216, 1661, 1830, 2189, 2563, 3055, 3344, 3574, 3741, 4556, 4803, 5374, 6116, 7133, 7312, 8215, 9392, 9907, 10610, 11232, 11517, 12274, 12868, 13474, 13586, 14263, 14758, 15048, 15805, 16360, 16761, 17514, 17675, 17997, 18639, 18966, 19566, 20193, 20389, 20828, 21065, 21184, 21814, 22833, 23907, 24384, 24969, 25228, 26230, 27122, 27586, 28116, 28599, 29139, 29375, 29895, 30896, 31025, 31724, 32572, 33054]",47854,0,84,8,Ogre Magi,True,3,16.356883333333332,33,224,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 7, 8, 13, 15, 29, 32, 35, 37, 49, 51, 66, 71, 75, 76, 84, 86, 86, 86, 91, 96, 97, 105, 112, 119, 125, 126, 128, 131, 134, 137, 141, 144, 146, 146, 146, 148, 148, 157, 162, 163, 165, 169, 182, 184, 188, 194, 198, 201, 205, 207, 207, 211, 220, 223]",Kiertavi,51.0,4,147.53918,1387,0,2151,916,"[0, 34, 193, 476, 670, 916, 1010, 1170, 1368, 1556, 2151, 2660, 3225, 3647, 4376, 4855, 5067, 5323, 6552, 6810, 7372, 8259, 9250, 9570, 10475, 12489, 13052, 13758, 14345, 14799, 15340, 16136, 16716, 16780, 17149, 17832, 18331, 19250, 19511, 20224, 20700, 21551, 22214, 22710, 23602, 24216, 25064, 25673, 26338, 26698, 26796, 27276, 31894, 33189, 33638, 35308, 36080, 38964, 39759, 40017, 40436, 40684, 41184, 41494, 42000, 44498, 44718, 45020, 45399, 45708]",2.6851851851851856,13.64507299270073,3.9598540145985397,3.8686131386861313,6.372262773722627,28,5.6,1.1368421052631579,72.13518682804084
6,0.14476885644768855,0.9817518248175182,0.6253041362530414,0.08759124087591241,27,0.8041362530413625,0.48418491484184917,9,19,6,2,"[0, 0, 1, 1, 1, 2, 3, 3, 6, 6, 6, 7, 7, 7, 8, 8, 8, 8, 9, 9, 10, 12, 12, 12, 12, 12, 12, 12, 13, 13, 13, 13, 13, 13, 14, 17, 17, 17, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 19, 19]",2383,1087,"[0, 179, 439, 629, 775, 1087, 1217, 1472, 1855, 2036, 2383, 2827, 3080, 3435, 3920, 4434, 4950, 5512, 6158, 6638, 7081, 7858, 8609, 9026, 9602, 9715, 10509, 11129, 11544, 11899, 12549, 12729, 12841, 13252, 14024, 14697, 15279, 16332, 17127, 17908, 18485, 19059, 19552, 20033, 20786, 21266, 22112, 22878, 23262, 24274, 24901, 26265, 27449, 28602, 29202, 30728, 31516, 32064, 32243, 33442, 33868, 34710, 35686, 36308, 36582, 36707, 36981, 37910, 38760, 39443]",22260,0,12,4,Phantom Lancer,False,3,8.643116666666666,48,598,27,9,"[0, 0, 4, 6, 7, 9, 10, 14, 20, 22, 27, 33, 36, 44, 54, 67, 83, 93, 106, 109, 118, 134, 155, 160, 175, 175, 192, 204, 209, 215, 227, 229, 229, 238, 253, 268, 281, 288, 296, 309, 318, 332, 340, 350, 368, 377, 394, 417, 421, 429, 435, 441, 460, 480, 499, 512, 524, 524, 524, 542, 547, 548, 557, 566, 570, 570, 570, 579, 592, 598]",BitDragon,44.0,1,0.0,5563,1,2271,1233,"[0, 28, 311, 596, 895, 1233, 1432, 1629, 1867, 2083, 2271, 2866, 3101, 3507, 4215, 4908, 5642, 6493, 7357, 7706, 8233, 9436, 10380, 10757, 11613, 11717, 12758, 13596, 13971, 14378, 15151, 15388, 15450, 15737, 16575, 17225, 18148, 20092, 20761, 21385, 21683, 22171, 23000, 23477, 24398, 24948, 25816, 26638, 26952, 29524, 29790, 32265, 32705, 33693, 34129, 36316, 36945, 37245, 37498, 38276, 38960, 39898, 41521, 42171, 42755, 42883, 43084, 43773, 44799, 45274]",0.44117647058823534,0.8394160583941603,2.6265206812652067,1.9209245742092456,7.520681265206813,10,1.1111111111111112,0.6047819971870605,33.83359340973897
9,0.8088531187122736,0.7585513078470825,0.25553319919517103,0.49696969696969695,32,0.4084507042253521,0.1227364185110664,8,46,26,17,"[0, 3, 8, 9, 12, 17, 18, 20, 20, 24, 26, 29, 34, 40, 43, 43, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",3348,1432,"[0, 179, 427, 744, 892, 1432, 1764, 1953, 2490, 3073, 3348, 3797, 4039, 4470, 4698, 4856, 5230, 5519, 5960, 6588, 7076, 7535, 7793, 8349, 8735, 8928, 9453, 9919, 10507, 10637, 10938, 11051, 11676, 11892, 12094, 12206, 12318, 12775, 13123, 13519, 13730, 13849, 14008, 14238, 14600, 14841, 15108, 15349, 15468, 16552, 16915, 17302, 18390, 18789, 19012, 20104, 20334, 21019, 21138, 21548, 21667, 22210, 23330, 23458, 23716, 24100, 24484, 25246, 25446, 25832]",47032,0,33,7,Enigma,False,1,13.8436,67,192,32,15,"[0, 0, 4, 9, 10, 15, 16, 18, 23, 28, 32, 40, 43, 51, 54, 56, 61, 67, 70, 74, 86, 94, 94, 102, 104, 104, 112, 117, 125, 125, 127, 127, 129, 132, 132, 132, 132, 133, 136, 137, 137, 137, 138, 140, 148, 153, 154, 157, 157, 158, 159, 159, 160, 164, 166, 167, 167, 171, 171, 171, 171, 171, 171, 171, 178, 181, 183, 186, 187, 190]",,,3,57.222507,126,1,3866,1225,"[0, 14, 156, 566, 693, 1225, 1617, 2053, 2918, 3667, 3866, 4553, 4911, 5710, 5984, 6379, 6811, 7211, 7952, 8147, 8711, 9230, 9328, 9618, 10189, 10321, 10736, 11003, 11582, 11638, 12062, 13092, 14111, 14216, 14396, 14464, 14464, 16169, 16838, 17237, 17440, 17670, 17857, 18283, 18528, 18572, 18710, 18802, 19172, 21263, 21275, 22227, 22388, 22436, 22664, 22810, 22920, 23100, 23214, 23330, 23448, 24386, 25627, 25866, 26098, 26339, 26724, 27051, 27268, 27562]",2.2058823529411766,13.290995975855129,0.7776659959758551,0.11368209255533196,4.835010060362173,16,2.0,1.0886075949367089,53.948979196445634
15,0.35873015873015873,0.9253968253968254,0.8015873015873016,0.4156050955414013,6,0.22380952380952382,0.22380952380952382,6,8,6,3,"[0, 0, 0, 0, 1, 3, 4, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1442,766,"[0, 179, 279, 379, 510, 766, 872, 978, 1123, 1337, 1442, 1817, 1965, 2153, 2381, 2656, 2834, 3061, 3626, 4172, 4351, 4456, 4634, 4861, 5245, 5476, 5688, 6163, 6356, 6694, 6916, 7075, 7434, 7601, 8165, 8303, 8873, 9215, 9849, 10258, 10654, 11016, 11136, 11666, 12060, 12305, 12541, 12661, 13147, 13807, 14176, 14905, 16040, 16285, 16470, 17478, 18001, 18617, 18736, 19146, 19309, 20051, 20735, 20961, 21089, 21315, 21942, 22690, 22909, 23383]",21678,21272,83,2,Treant Protector,False,3,8.643116666666666,29,183,6,2,"[0, 0, 0, 0, 1, 2, 3, 3, 4, 6, 6, 7, 9, 9, 10, 14, 14, 17, 18, 22, 24, 24, 24, 27, 31, 32, 34, 40, 40, 45, 45, 45, 46, 48, 54, 55, 65, 65, 74, 79, 83, 88, 88, 96, 101, 104, 104, 104, 111, 119, 120, 122, 122, 122, 125, 126, 132, 136, 136, 136, 137, 147, 148, 151, 151, 156, 164, 170, 172, 174]",,,5,62.691406,0,1,2093,908,"[0, 0, 283, 385, 570, 908, 1073, 1270, 1632, 1848, 2093, 2574, 2658, 2739, 3727, 3894, 4046, 4290, 5186, 5734, 6040, 6422, 6568, 7265, 8089, 8534, 9226, 9979, 10240, 10902, 11374, 11577, 12567, 12888, 13259, 13817, 14488, 16517, 17800, 18256, 18627, 21222, 21464, 21675, 22463, 23360, 24817, 24909, 25975, 27064, 27414, 31129, 33370, 33370, 33513, 33820, 34400, 34642, 34756, 35464, 35639, 35967, 37839, 38134, 38318, 38634, 39002, 39344, 39760, 40123]",2.5,4.851190476190475,3.507936507936508,0.6190476190476191,4.619047619047619,17,2.8333333333333335,1.5421940928270044,38.062059829059834
7,0.9258426966292135,0.9640449438202248,0.8674157303370786,0.7595505617977528,50,0.8876404494382022,0.9910112359550561,5,10,10,7,"[0, 0, 2, 4, 6, 7, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",3313,1599,"[0, 296, 609, 872, 1310, 1599, 1799, 2333, 2689, 2869, 3313, 4342, 4756, 4952, 5786, 6364, 7040, 7778, 8766, 10163, 11169, 11627, 12640, 13648, 14299, 14665, 15398, 16897, 18007, 18648, 19787, 20455, 21062, 23028, 24573, 25518, 26463, 27623, 28382, 29378, 30853, 32186, 33242, 34598, 34953, 36198, 37371, 38891, 39282, 41196, 42099, 43203, 44839, 46278, 47450, 49179, 49954, 50997, 51576, 52543, 53330, 54630, 55172, 55947, 56904, 57313, 58487, 59569, 59881, 60819]",109752,0,113,10,Arc Warden,False,2,18.395028571428572,66,805,50,25,"[0, 3, 8, 12, 20, 25, 27, 37, 43, 45, 50, 55, 63, 65, 68, 76, 88, 106, 115, 129, 146, 154, 168, 188, 198, 202, 211, 236, 258, 266, 282, 288, 294, 326, 340, 356, 374, 388, 398, 411, 435, 456, 471, 494, 499, 524, 540, 565, 571, 588, 598, 600, 603, 626, 645, 651, 666, 673, 680, 690, 702, 712, 726, 742, 756, 760, 774, 783, 790, 797]",,,2,86.66943,24791,1,4582,2122,"[0, 297, 791, 1177, 1760, 2122, 2669, 3318, 3820, 4034, 4582, 5736, 6334, 6492, 6833, 7439, 8015, 9088, 10090, 11886, 12780, 13400, 14310, 15314, 16062, 16332, 16754, 18251, 19038, 19684, 20182, 20756, 21230, 22900, 25299, 25579, 25625, 25953, 27070, 27675, 28448, 29402, 29781, 29985, 30039, 30039, 30129, 30221, 30315, 31276, 31327, 33743, 36047, 36285, 36285, 38469, 38809, 38921, 39451, 39587, 39904, 40635, 41358, 41773, 43001, 43794, 43977, 44275, 44702, 45744]",2.5,15.0,3.837078651685393,4.0,7.938202247191011,17,3.4,1.8506329113924052,79.49278380046918
16,0.0326530612244898,0.9714285714285714,0.536734693877551,0.18571428571428572,3,0.0836734693877551,0.3224489795918367,15,12,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11]",1653,579,"[0, 179, 279, 379, 479, 579, 766, 872, 1034, 1412, 1653, 1939, 2101, 2624, 2806, 2912, 3116, 3222, 3528, 3877, 4039, 4224, 4439, 4740, 5312, 5425, 5615, 5919, 6232, 6749, 6971, 7084, 7328, 7482, 8082, 8252, 8406, 9066, 9321, 9667, 9904, 10023, 10204, 10451, 10847, 10967, 11383, 11744, 12284, 13139, 13628, 14062, 14447, 14692, 15037, 15526, 15756, 16312, 16431, 16948, 17130, 17687, 18396, 18874, 19212, 19337, 19611, 20199, 20401, 20822]",17328,2668,51,3,Clockwerk,False,1,13.8436,33,117,3,0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 3, 4, 9, 10, 12, 13, 14, 14, 14, 14, 15, 17, 18, 19, 21, 21, 24, 26, 29, 38, 38, 38, 38, 39, 43, 45, 46, 48, 49, 49, 51, 51, 53, 57, 65, 65, 69, 76, 84, 89, 92, 93, 93, 93, 96, 96, 96, 97, 97, 99, 102, 103, 106, 108, 112, 113, 113, 113, 115, 117]",BigCatsBack,51.0,4,57.97348,0,1,1577,666,"[0, 14, 156, 375, 502, 666, 1007, 1067, 1109, 1435, 1577, 2308, 2434, 4082, 4299, 4428, 4458, 4560, 5228, 5264, 5703, 5855, 6057, 7239, 7791, 7867, 8175, 8540, 8845, 9715, 9773, 10035, 10978, 11187, 12811, 13050, 13050, 13361, 13910, 14319, 14535, 14712, 15233, 15605, 15897, 15927, 16344, 16812, 17316, 19501, 19593, 19610, 19610, 19610, 19811, 19973, 20083, 20705, 20839, 21367, 21576, 21733, 22946, 23567, 25481, 25711, 25841, 25973, 26284, 26915]",3.088235294117647,0.0,2.183673469387755,1.1122448979591835,4.0,19,1.2666666666666666,0.6894514767932489,37.27346717148398
