assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_kills,hero_name,isRadiant,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,ka,kda,kda_ratio,total_advantage
21,0.9215885947046843,0.8523421588594705,0.9857433808553973,0.1865443425076452,29.0,0.0142566191446028,1.0,7,7,4.0,3.0,"[0, 0, 2, 2, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",2371.0,1378.0,"[9, 310, 570, 901, 1196, 1378, 1674, 1825, 2042, 2148, 2371, 2692, 3115, 3455, 3841, 4367, 4635, 5334, 5938, 6486, 6983, 7474, 8407, 8994, 9562, 10204, 10732, 11387, 12309, 13131, 14192, 15156, 15269, 15544, 16828, 18546, 19196, 19542, 19753, 20837, 21502, 22215, 23850, 24253, 24373, 25027, 26173, 27825, 29924, 31034, 31365, 32095]",41046,0,129,3,Mars,True,1,4.497930952380953,47.0,458,29.0,19.0,"[0, 3, 7, 13, 17, 19, 24, 24, 27, 27, 29, 37, 47, 53, 68, 78, 81, 95, 103, 115, 128, 140, 158, 166, 181, 189, 202, 202, 215, 233, 244, 269, 269, 272, 279, 302, 308, 308, 308, 324, 335, 344, 360, 361, 361, 371, 389, 403, 421, 441, 452, 458]",For The Thrills,63,1,21.390652,19853,1,2421.0,1261.0,"[20, 196, 429, 700, 1068, 1261, 1507, 1519, 1845, 2247, 2421, 2775, 3113, 3521, 4100, 4732, 4962, 6009, 6768, 7405, 8153, 8710, 9757, 10555, 11286, 12570, 13161, 13814, 14759, 15508, 18299, 19411, 19473, 19604, 21070, 22493, 23462, 23462, 24205, 26060, 26770, 27607, 27930, 28077, 28163, 28801, 30642, 31787, 34215, 34916, 35249, 35823]",1.1363636363636362,15.0,4.0,4.0,3.7617107942973527,24,3.4285714285714284,0.7252747252747253,49.840008281602984
29,0.2408660351826793,0.6874154262516915,0.1677943166441136,0.081190798376184,1.0,0.196211096075778,0.3775372124492557,11,4,3.0,2.0,"[0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1286.0,630.0,"[9, 189, 290, 390, 530, 630, 772, 923, 1029, 1135, 1286, 1444, 1675, 1905, 2011, 2435, 2604, 3020, 3355, 3524, 3898, 4175, 4449, 4751, 4864, 4976, 5088, 5452, 5771, 6097, 6452, 6654, 6767, 7001, 7735, 8404, 8920, 9311, 9878, 10304, 10666, 11107, 11687, 12250, 12370, 12579, 13238, 13712, 14590, 15061, 15180, 15645]",15096,240,71,4,Spirit Breaker,True,1,4.497930952380953,25.0,45,1.0,0.0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 5, 6, 6, 7, 8, 10, 10, 10, 10, 11, 11, 11, 13, 13, 13, 13, 16, 16, 19, 21, 22, 23, 25, 31, 31, 31, 36, 36, 36, 43, 43, 43, 43, 43, 45]",AlaKazam,34,5,129.7588,172,1,1602.0,789.0,"[20, 82, 258, 418, 644, 789, 1073, 1085, 1468, 1537, 1602, 1913, 3028, 3346, 3372, 3867, 4012, 4445, 5346, 5632, 6049, 7160, 7445, 8409, 8590, 8639, 8721, 9650, 9704, 10021, 10109, 10292, 10384, 11650, 14431, 14638, 17055, 17367, 18821, 21062, 21476, 22480, 22803, 23043, 23129, 23217, 24006, 25151, 25505, 25601, 26053, 27578]",2.5,2.6412381596752366,0.3389715832205679,1.3876860622462783,3.4181326116373474,33,3.0,0.6346153846153846,22.744552875631356
18,0.8512160228898427,0.8469241773962805,0.6702432045779685,0.869098712446352,51.0,0.5121602288984263,0.8655221745350501,3,16,15.0,5.0,"[0, 1, 3, 4, 5, 5, 7, 13, 15, 15, 15, 15, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",3333.0,1434.0,"[9, 259, 488, 862, 1145, 1434, 1781, 2100, 2479, 3012, 3333, 3782, 4364, 4822, 5076, 5414, 5800, 5905, 6838, 7315, 7714, 8684, 8891, 9548, 9951, 10290, 10483, 11386, 12014, 12445, 13381, 14314, 14970, 15447, 16946, 17685, 18511, 18927, 19670, 20376, 21000, 21967, 22783, 23899, 24768, 25309, 26232, 26706, 27360, 27831, 28318, 29293]",43293,230,21,19,Windranger,True,2,18.801138095238095,67.0,249,51.0,21.0,"[0, 2, 5, 12, 16, 21, 31, 35, 42, 47, 51, 52, 56, 59, 64, 68, 73, 73, 76, 84, 91, 102, 103, 105, 111, 112, 114, 115, 122, 128, 128, 144, 156, 165, 166, 168, 172, 174, 184, 185, 195, 198, 202, 215, 228, 233, 239, 239, 239, 239, 247, 249]",Nanjou Sachi,61,2,71.109924,7283,1,4640.0,2108.0,"[20, 225, 707, 1248, 1677, 2108, 2648, 3014, 3608, 4374, 4640, 4974, 5515, 5828, 6288, 6998, 7194, 7226, 7876, 8113, 8899, 10385, 10576, 11587, 12081, 13365, 13415, 14945, 15446, 16004, 18134, 19188, 20183, 20780, 23628, 23761, 26139, 26542, 28066, 29634, 30478, 32586, 33040, 34400, 35912, 36308, 37952, 39097, 39356, 39452, 39974, 42095]",3.106060606060606,14.08530042918455,2.8512160228898424,3.8276108726752502,5.795422031473533,37,12.333333333333334,2.608974358974359,74.5642277808029
26,0.9172259507829976,0.3176733780760626,0.5145413870246085,0.9417040358744396,65.0,0.4340044742729306,0.5503355704697986,5,8,7.0,4.0,"[0, 0, 0, 2, 4, 4, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",3958.0,1783.0,"[272, 535, 821, 958, 1469, 1783, 2150, 2521, 3063, 3530, 3958, 4279, 4802, 5248, 5594, 6173, 6471, 6767, 7243, 7527, 7824, 8479, 8838, 9703, 10156, 10820, 11232, 11963, 12497, 12668, 13597, 14339, 14962, 15324, 16918, 17490, 18738, 19471, 20099, 20844, 21708, 22555, 23253, 23588, 23708, 24113, 24405, 24921, 26372, 26843, 27231, 29060]",53059,124,55,8,Dark Seer,True,3,25.0,79.0,287,65.0,23.0,"[0, 2, 7, 8, 18, 23, 30, 37, 48, 58, 65, 71, 78, 84, 90, 94, 97, 100, 104, 109, 112, 121, 124, 133, 143, 143, 150, 160, 167, 169, 172, 185, 199, 205, 212, 212, 225, 231, 232, 235, 250, 258, 260, 260, 260, 263, 263, 264, 267, 267, 277, 287]",Pog,71,3,16.448238,901,1,4093.0,1887.0,"[20, 188, 670, 885, 1517, 1887, 2355, 2668, 3166, 3579, 4093, 4634, 5240, 5726, 6171, 6853, 7017, 7525, 8265, 8430, 8923, 9674, 10272, 11160, 11690, 11820, 12362, 13892, 14324, 14507, 16637, 16757, 17033, 17206, 20092, 20172, 21206, 21518, 22769, 24458, 25361, 27596, 27899, 27983, 28069, 28411, 28774, 29880, 30139, 30235, 30887, 35609]",2.6515151515151514,15.0,2.0727069351230423,2.251677852348993,2.7583892617449655,34,6.8,1.4384615384615385,76.51429107804947
23,0.7679558011049724,0.6878453038674033,0.0566298342541436,,,0.5124309392265194,0.4392265193370165,7,3,,,,,,,27525,0,88,5,Nyx Assassin,True,5,,,22,,,"[0, 0, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 9, 9, 9, 9, 11, 14, 14, 17, 18, 18, 18, 18, 18, 19, 19, 20, 20, 21, 22, 22, 22, 22, 22, 22]",For The Pills,61,,134.7137,116,1,,,,1.7424242424242427,12.524171270718233,0.0,1.6961325966850826,5.001381215469613,28,4.0,0.8461538461538461,
12,0.6758620689655173,0.34,0.7262068965517241,0.4910220994475138,46.0,0.9455172413793104,0.3441379310344827,5,13,6.0,3.0,"[0, 2, 2, 3, 3, 3, 3, 5, 5, 6, 6, 9, 9, 10, 11, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",3168.0,1423.0,"[0, 218, 454, 821, 957, 1423, 1615, 1943, 2089, 2484, 3168, 3438, 3858, 4341, 4790, 5493, 6109, 6802, 7384, 8077, 8987, 10021, 10824, 11340, 11881, 12514, 13197, 13434, 14172, 14830, 15205, 15407, 16354, 16851, 17045, 17157, 17452, 17663, 17956, 18236, 19196, 19846, 21593, 22515, 23198, 23706, 24357, 25019, 27008, 27715, 28119, 29095]",39922,5183,8,4,Juggernaut,False,3,0.0,64.0,447,46.0,21.0,"[0, 1, 4, 11, 12, 21, 23, 29, 29, 37, 46, 50, 61, 70, 80, 93, 103, 121, 133, 146, 165, 185, 201, 210, 222, 230, 243, 243, 258, 270, 273, 273, 292, 301, 304, 304, 304, 304, 310, 314, 334, 345, 363, 371, 380, 391, 402, 407, 422, 438, 444, 447]",★Super★,52,1,25.487051,1849,0,3663.0,1413.0,"[0, 84, 388, 639, 799, 1413, 1869, 2292, 2523, 3040, 3663, 3988, 4494, 5063, 5622, 6465, 7481, 8510, 9345, 10421, 11376, 12953, 13963, 14340, 14774, 15784, 16549, 16603, 17119, 17384, 18325, 18385, 19117, 19832, 19920, 20044, 20225, 20297, 20692, 20878, 21633, 22242, 24730, 25863, 26658, 27251, 28212, 29613, 33195, 33817, 34225, 36003]",0.576923076923077,10.797413793103448,3.1310344827586203,1.2206896551724133,5.2,16,3.2,1.2100840336134455,32.19394001224239
23,0.943527367506516,0.4682884448305821,0.8601216333622936,0.6733275412684622,10.0,0.9374456993918332,0.6672458731537794,8,8,5.0,2.0,"[0, 0, 0, 0, 1, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",2672.0,979.0,"[0, 180, 385, 503, 835, 979, 1167, 1411, 1557, 1747, 2672, 2798, 3194, 3523, 3917, 4204, 4458, 4984, 5090, 5469, 6049, 6441, 6681, 7225, 7645, 8141, 8334, 8849, 9364, 9476, 10338, 11010, 11373, 11485, 11597, 12246, 12516, 13180, 13594, 13706, 13917, 14273, 14806, 15521, 15896, 16078, 16296, 17199, 17935, 18055, 18326, 19327]",38425,0,86,8,Rubick,False,1,20.502069047619045,54.0,165,10.0,4.0,"[0, 0, 1, 2, 3, 4, 6, 7, 7, 8, 10, 10, 17, 21, 28, 30, 30, 31, 31, 36, 45, 51, 52, 60, 67, 67, 67, 71, 76, 76, 85, 96, 97, 97, 97, 108, 108, 117, 123, 123, 123, 128, 131, 137, 138, 141, 141, 153, 154, 154, 158, 162]",bloodninja #roadto4k,74,4,119.440895,574,0,2849.0,1150.0,"[0, 90, 291, 575, 882, 1150, 1473, 1972, 2136, 2370, 2849, 3020, 3569, 3829, 4176, 4340, 4937, 5613, 5675, 6264, 6953, 7434, 7706, 8265, 8803, 9549, 9697, 10174, 10958, 11207, 12372, 13399, 14331, 14506, 14575, 15245, 16914, 17914, 19596, 19672, 19750, 20105, 21512, 22809, 23604, 23885, 24756, 25353, 27083, 27337, 27455, 29287]",3.4615384615384617,15.0,3.800608166811468,2.836229365768897,5.84144222415291,31,3.875,1.4653361344537816,79.14136502444734
19,0.8111888111888111,0.4375624375624375,0.3276723276723277,0.386,39.0,0.952047952047952,0.5234765234765235,12,7,5.0,2.0,"[0, 0, 0, 0, 1, 2, 3, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",3463.0,1298.0,"[0, 258, 484, 741, 962, 1298, 1549, 2082, 2406, 2805, 3463, 3777, 4234, 4394, 4868, 5101, 6111, 6625, 6805, 7271, 8105, 8770, 8947, 9206, 9319, 9575, 9768, 10000, 10493, 10883, 11078, 11280, 12625, 13056, 13173, 13285, 13555, 13766, 14568, 14740, 15228, 15348, 15679, 16163, 16732, 16953, 17451, 17921, 18605, 19303, 19991, 20638]",38312,1618,104,7,Legion Commander,False,1,20.502069047619045,69.0,210,39.0,17.0,"[0, 2, 5, 9, 11, 17, 21, 26, 30, 33, 39, 44, 52, 52, 62, 63, 73, 81, 84, 91, 104, 105, 105, 107, 107, 107, 107, 107, 113, 119, 119, 119, 133, 140, 140, 140, 140, 140, 149, 151, 156, 156, 156, 159, 165, 168, 168, 173, 173, 187, 202, 206]",skoontz,51,3,0.0,2601,0,3217.0,1204.0,"[0, 90, 360, 629, 936, 1204, 1481, 1890, 2126, 2426, 3217, 3618, 4290, 4428, 4986, 5128, 6810, 7635, 7829, 8408, 9499, 10953, 11011, 11116, 11162, 11908, 12026, 12079, 12631, 13039, 13664, 13754, 15192, 15638, 15711, 15893, 16034, 16106, 17674, 17860, 18441, 18521, 19681, 20732, 21521, 21810, 22595, 23036, 26287, 26647, 27069, 28925]",2.5,13.33479020979021,1.1383616383616384,2.1173826173826176,5.687812187812188,26,2.1666666666666665,0.819327731092437,69.6621780014857
16,0.8755236385397965,0.8228605625374028,0.5565529622980251,0.3547034152186938,32.0,0.8216636744464393,0.4219030520646319,7,3,1.0,1.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3105.0,1393.0,"[0, 289, 613, 858, 1121, 1393, 1634, 1929, 2122, 2384, 3105, 3572, 3844, 4067, 4333, 4662, 4949, 5209, 5315, 5615, 5870, 6149, 6472, 6764, 6951, 7733, 8120, 9286, 9842, 10413, 11221, 11701, 12430, 13007, 13129, 13241, 14161, 14850, 15567, 15817, 16028, 16744, 17155, 17647, 18766, 19148, 19562, 20264, 21648, 21957, 23440, 24242]",50624,0,74,11,Invoker,False,2,6.1988619047619045,62.0,252,32.0,21.0,"[0, 3, 9, 13, 17, 21, 24, 24, 26, 29, 32, 36, 40, 43, 50, 53, 55, 57, 57, 61, 67, 71, 74, 76, 80, 82, 90, 91, 102, 116, 126, 132, 138, 147, 147, 147, 153, 165, 177, 180, 180, 189, 191, 192, 199, 206, 211, 217, 221, 226, 245, 252]",Mooshack,71,2,125.55578,1598,0,3875.0,1955.0,"[0, 205, 664, 1010, 1524, 1955, 2475, 2822, 3030, 3330, 3875, 4489, 4766, 4974, 5314, 5555, 5918, 6705, 6739, 7217, 7420, 7561, 7766, 7884, 8109, 9554, 9836, 12936, 13545, 14172, 15153, 15570, 17036, 17383, 17456, 17524, 19585, 20368, 20982, 21058, 21136, 22217, 23515, 24482, 25319, 25641, 26582, 27089, 30488, 30823, 31867, 32661]",2.692307692307692,14.541068222621185,2.2827648114901256,1.6095152603231593,7.222621184919211,27,3.857142857142857,1.4585834333733494,53.14944473295889
16,0.6346015793251975,0.349605168700646,0.6008614501076812,0.3577586206896552,5.0,0.6590093323761665,0.2002871500358937,13,0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1616.0,581.0,"[0, 180, 281, 381, 481, 581, 686, 792, 938, 1177, 1616, 1778, 1975, 2137, 2405, 2601, 3207, 3465, 3571, 3740, 4138, 4244, 4484, 4736, 4956, 5581, 5977, 6284, 6534, 6850, 7045, 7247, 8026, 8177, 8289, 8441, 8775, 8986, 9435, 9547, 10016, 10136, 10467, 10924, 11316, 11726, 12108, 12363, 13955, 14812, 15429, 16161]",22743,7977,112,3,Winter Wyvern,False,3,0.0,32.0,103,5.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 6, 8, 8, 10, 10, 12, 16, 16, 16, 16, 16, 17, 18, 20, 23, 24, 24, 25, 29, 29, 29, 38, 39, 39, 40, 43, 43, 44, 44, 45, 45, 45, 48, 49, 52, 56, 56, 68, 85, 98, 103]",s,72,5,51.9104,0,0,1595.0,482.0,"[0, 84, 148, 468, 474, 482, 576, 650, 1017, 1281, 1595, 2459, 2659, 2697, 2896, 2924, 3265, 3704, 3754, 3790, 4047, 5006, 5079, 5454, 5918, 7419, 7561, 9265, 9328, 9501, 10328, 11388, 12423, 12801, 12868, 13210, 13333, 13405, 13722, 13806, 14195, 14294, 15454, 16585, 17346, 18835, 18979, 19007, 22298, 22674, 22954, 24756]",1.153846153846154,10.023779612347452,2.504307250538406,0.5014357501794684,4.043072505384062,19,1.4615384615384615,0.552682611506141,28.040678880454674
