assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_kills,hero_name,isRadiant,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,ka,kda,kda_ratio,total_advantage
14,0.3905240488155061,0.8427853553481695,0.109834888729361,0.1135057471264367,2,0.5821966977745873,0.6389088298636038,3,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1361,669,"[0, 179, 279, 380, 520, 669, 774, 962, 1068, 1174, 1361, 1504, 1664, 1824, 2271, 2517, 2686, 3098, 3204, 3647, 3879, 3985, 4355, 4826, 5003, 5187, 5642, 5990, 6442, 7000, 7306, 7688, 8315, 8734, 9138, 9673, 10654, 11471, 11658]",12715,21710,112,5,Winter Wyvern,True,1,8.625911904761905,27,32,2,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 3, 3, 4, 4, 10, 10, 10, 10, 10, 12, 12, 13, 13, 13, 15, 17, 20, 20, 20, 20, 21, 26, 26, 27, 30, 31]",Gwar Goobah Stan,33.0,5,36.79431,808,1,2348,981,"[0, 101, 263, 433, 697, 981, 1232, 1616, 1866, 2046, 2348, 2827, 3277, 4046, 5275, 5538, 5952, 6872, 7097, 7859, 7897, 8409, 8655, 9723, 10802, 11021, 13084, 13238, 13538, 14460, 15076, 16106, 17658, 18545, 18794, 19221, 20783, 21232, 21692]",2.0238095238095237,5.447325915290739,0.04917444364680494,2.694544149318019,6.124910265613783,19,6.333333333333333,0.7238095238095238,38.408732619139656
11,0.8719101123595505,0.9640449438202248,0.6157303370786517,0.8696629213483146,55,0.6337078651685393,0.7415730337078652,2,12,11,8,"[0, 2, 4, 6, 7, 8, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12]",4024,1747,"[0, 299, 560, 1247, 1455, 1747, 2151, 2422, 2688, 3404, 4024, 4835, 5589, 5833, 6282, 7468, 8440, 9138, 10271, 10522, 11237, 12075, 12947, 14199, 14936, 15661, 16262, 17309, 18114, 19957, 20590, 22208, 22736, 24241, 25075, 26378, 28600, 30297, 31722]",55566,0,113,15,Arc Warden,True,2,22.655161904761908,81,360,55,20,"[0, 3, 7, 13, 15, 20, 28, 31, 35, 45, 55, 62, 68, 70, 71, 81, 94, 106, 120, 120, 131, 148, 160, 181, 195, 205, 211, 226, 239, 250, 257, 277, 282, 293, 308, 314, 323, 343, 359]",Nanjou Sachi,61.0,2,0.0,13113,1,5245,2240,"[0, 240, 658, 1338, 1801, 2240, 2790, 3370, 3884, 4574, 5245, 6670, 7584, 7814, 8262, 9081, 10025, 10622, 12098, 12297, 13130, 14209, 14987, 16169, 17023, 17607, 18307, 19160, 19762, 22135, 22728, 24018, 25609, 26587, 27184, 27750, 29366, 30198, 33120]",3.6904761904761907,14.473314606741571,2.5786516853932584,3.207865168539326,6.668539325842696,26,13.0,1.4857142857142858,81.96001366423839
14,0.5275080906148867,0.9730312837108952,0.4153182308522114,0.0970873786407767,27,0.6893203883495146,0.7799352750809061,2,5,4,1,"[0, 0, 1, 1, 1, 1, 2, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",2452,1346,"[0, 216, 429, 605, 972, 1346, 1604, 1838, 2066, 2301, 2452, 2807, 3216, 3754, 4221, 4714, 5311, 5938, 6407, 6962, 7540, 8225, 9158, 10033, 10879, 11968, 12314, 13276, 13772, 14228, 15164, 15546, 16293, 17224, 18544, 19587, 21427, 22703, 23372]",23840,0,42,7,Skeleton King,True,1,8.625911904761905,49,275,27,14,"[0, 1, 4, 6, 12, 14, 19, 21, 24, 27, 27, 34, 41, 52, 60, 71, 81, 91, 107, 112, 120, 131, 143, 153, 169, 183, 186, 190, 197, 198, 201, 201, 202, 213, 234, 239, 244, 258, 273]",For The Thrills,63.0,1,48.29609,10959,1,2122,1125,"[0, 101, 263, 433, 697, 1125, 1348, 1618, 1868, 2048, 2122, 2520, 2982, 3598, 4005, 4537, 5268, 5974, 6546, 7602, 8777, 9691, 10413, 11420, 12336, 13703, 13759, 15180, 15462, 16974, 17709, 17790, 19505, 20512, 21695, 22457, 25269, 26635, 27403]",2.5,8.015776699029125,1.5765911542610571,3.3996763754045305,6.9466019417475735,21,10.5,1.2,47.791627808006446
14,0.3421588594704684,0.8523421588594705,0.544806517311609,0.2446483180428134,32,0.240325865580448,0.780040733197556,3,20,15,11,"[0, 2, 4, 5, 7, 11, 11, 11, 13, 13, 15, 15, 15, 17, 17, 17, 17, 17, 19, 19, 19, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",2458,1298,"[0, 230, 517, 780, 991, 1298, 1438, 1589, 1917, 2066, 2458, 2907, 3270, 3899, 4329, 4525, 4881, 5043, 5469, 6097, 7093, 7464, 7968, 8131, 8613, 8875, 9070, 9998, 10384, 11116, 11422, 12213, 12832, 13616, 14347, 14924, 16096, 17254, 17540]",16955,0,129,7,Mars,True,3,13.203419047619048,49,178,32,17,"[0, 1, 6, 10, 12, 17, 18, 18, 24, 26, 32, 40, 45, 51, 59, 59, 64, 65, 74, 83, 91, 98, 103, 103, 116, 116, 118, 125, 129, 129, 129, 140, 140, 147, 148, 149, 153, 166, 174]",For The Pills,61.0,3,37.01604,3063,1,2711,1535,"[0, 126, 396, 673, 923, 1535, 1725, 1765, 2171, 2391, 2711, 3070, 3351, 4016, 4384, 4535, 4916, 5325, 5850, 6567, 8651, 8918, 9273, 9662, 9981, 10604, 10825, 12295, 12529, 14074, 14690, 15405, 16986, 18385, 21067, 21617, 23212, 23903, 24271]",2.5,4.540478615071282,2.224032586558045,3.40020366598778,4.463340122199592,21,7.0,0.8,46.66380621143961
16,0.2631578947368421,0.9838056680161944,0.2955465587044534,0.2388663967611336,4,0.8785425101214575,0.5384615384615384,2,2,2,2,"[0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1447,620,"[0, 179, 279, 380, 520, 620, 804, 955, 1190, 1296, 1447, 1588, 1748, 1947, 2151, 2506, 2912, 3053, 3549, 3985, 4129, 4304, 4599, 4819, 4976, 5160, 5367, 6107, 6470, 7048, 7354, 7772, 7884, 8262, 8465, 9086, 10350, 11016, 11707]",6166,15549,57,2,Omniknight,True,3,13.203419047619048,29,48,4,0,"[0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 4, 5, 5, 5, 7, 8, 10, 11, 21, 21, 22, 26, 27, 27, 29, 29, 30, 33, 35, 36, 36, 36, 36, 36, 37, 40, 40, 41, 45]",,,4,0.0,794,1,1353,489,"[0, 0, 201, 346, 369, 489, 765, 777, 1025, 1090, 1353, 1635, 1831, 2211, 2551, 2742, 3077, 3347, 4098, 4550, 4742, 4996, 5274, 6004, 6374, 6572, 6678, 8170, 8491, 10050, 10666, 10767, 10879, 11716, 12302, 12852, 15659, 15947, 16359]",1.7857142857142858,3.059210526315789,0.9777327935222669,2.192307692307692,7.892712550607287,18,9.0,1.0285714285714285,44.786302917055956
6,0.8070175438596491,0.5309941520467836,0.5812865497076023,0.6694021101992966,7,0.6596491228070176,0.4456140350877193,8,5,5,1,"[0, 0, 0, 0, 0, 1, 2, 2, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1327,642,"[0, 179, 279, 380, 480, 642, 898, 1009, 1115, 1221, 1327, 1433, 1864, 2277, 2383, 2489, 2832, 3016, 3122, 3447, 3711, 3932, 4429, 4541, 4654, 5038, 5693, 5935, 6291, 6403, 6595, 6855, 6967, 7079, 7579, 8070, 8182, 8294, 8406]",20905,0,119,3,Dark Willow,False,1,16.374088095238093,26,52,7,3,"[0, 0, 0, 0, 0, 3, 6, 7, 7, 7, 7, 7, 7, 10, 10, 10, 14, 17, 17, 20, 23, 28, 28, 28, 28, 35, 35, 36, 36, 36, 36, 36, 36, 36, 44, 52, 52, 52, 52]",,,4,137.41936,303,0,2374,863,"[0, 28, 311, 551, 793, 863, 1368, 1624, 1860, 2088, 2374, 2396, 2646, 2925, 3071, 3194, 3533, 4027, 4061, 5383, 5573, 5955, 6632, 6745, 7153, 7577, 9407, 9837, 10232, 10269, 11036, 12088, 12116, 12116, 12831, 13605, 13652, 13652, 13761]",2.5,13.25657894736842,2.4064327485380113,1.7280701754385963,4.953216374269005,9,1.125,0.9500000000000001,63.41290206284941
6,0.8678500986193294,0.940828402366864,0.3254437869822485,0.7337278106508875,46,0.9171597633136096,0.3195266272189349,9,5,5,4,"[0, 0, 2, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",2896,1287,"[0, 250, 493, 790, 1075, 1287, 1560, 1837, 2116, 2438, 2896, 3002, 3544, 3939, 4141, 4709, 4950, 5427, 5890, 6716, 7017, 7820, 8232, 8776, 9354, 9949, 10644, 11027, 11407, 11661, 11774, 12034, 12151, 12932, 13582, 13694, 13932, 14044, 14320]",40267,0,63,3,Weaver,False,2,2.3448380952380923,58,204,46,19,"[0, 2, 6, 11, 16, 19, 22, 29, 33, 38, 46, 46, 53, 56, 56, 63, 66, 77, 87, 89, 91, 108, 115, 126, 140, 150, 154, 158, 161, 164, 164, 164, 165, 183, 196, 196, 199, 199, 204]",,,2,0.0,1510,0,4365,1782,"[0, 176, 594, 992, 1386, 1782, 2186, 2797, 3234, 3689, 4365, 4521, 5076, 5370, 5907, 6680, 6905, 7596, 8105, 9484, 9542, 10661, 11363, 12278, 13139, 13919, 15011, 15138, 15192, 15344, 15400, 15400, 15401, 16549, 17300, 17300, 17461, 17501, 17623]",2.5,14.397189349112425,1.1272189349112425,1.0976331360946743,8.0,9,1.0,0.8444444444444446,45.33366079285605
5,0.7440225035161744,0.8368495077355836,0.8523206751054853,0.9293785310734464,60,0.4444444444444444,0.1350210970464135,5,9,9,8,"[0, 1, 6, 7, 7, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",3180,1512,"[0, 214, 574, 873, 1240, 1512, 1899, 2212, 2576, 2943, 3180, 3526, 4041, 4620, 5147, 5621, 6521, 6992, 7445, 8060, 8591, 9149, 9523, 9834, 10439, 11010, 11649, 11851, 12695, 12832, 13092, 13631, 13743, 13855, 14079, 14206, 14318, 14564, 14752]",22314,2802,29,2,Tidehunter,False,1,16.374088095238093,64,242,60,26,"[0, 1, 8, 13, 20, 26, 32, 42, 51, 57, 60, 65, 73, 80, 88, 96, 112, 123, 133, 146, 157, 167, 173, 181, 192, 205, 205, 205, 214, 219, 221, 230, 230, 230, 232, 236, 236, 240, 242]",Drax,64.0,3,45.10097,0,0,2239,1103,"[0, 28, 368, 608, 850, 1103, 1321, 1489, 1782, 2010, 2239, 2595, 3086, 3579, 4484, 5082, 6285, 6914, 7807, 9009, 9526, 10289, 10639, 10900, 11442, 12212, 13471, 13700, 14548, 14596, 15233, 16163, 16164, 16164, 16419, 16588, 16607, 16681, 17720]",1.3888888888888888,12.075421940928269,3.761603375527426,0.17510548523206743,5.406469760900141,7,1.4,1.1822222222222223,60.27935007186906
6,0.7649536647009267,0.9570345408593092,0.4161752316764954,0.2481012658227848,31,0.9772535804549284,0.3176074136478517,6,17,10,4,"[0, 0, 1, 1, 4, 4, 5, 7, 7, 9, 10, 10, 12, 12, 13, 15, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]",2407,1194,"[0, 226, 401, 703, 982, 1194, 1378, 1610, 1906, 2191, 2407, 2756, 3233, 3630, 3975, 4631, 5417, 5932, 6369, 6703, 7503, 8106, 8734, 9016, 9414, 9847, 10979, 11757, 12592, 12704, 13311, 14600, 14712, 14824, 15602, 16264, 16638, 17025, 17954]",34002,0,6,7,Drow Ranger,False,3,11.796580952380952,48,254,31,16,"[0, 1, 3, 8, 13, 16, 17, 20, 25, 28, 31, 37, 42, 45, 51, 59, 70, 81, 89, 90, 104, 115, 123, 127, 133, 144, 153, 164, 174, 174, 179, 187, 188, 188, 203, 215, 220, 227, 250]",yy_rebuilt,52.0,1,0.0,1612,0,3144,1309,"[0, 153, 315, 728, 1109, 1309, 1609, 1918, 2348, 2793, 3144, 3563, 3912, 4306, 4813, 5726, 6520, 7093, 7753, 8325, 9067, 10020, 10962, 11155, 11652, 12001, 13597, 14253, 14908, 14908, 15619, 16682, 16711, 16711, 17446, 17963, 18144, 18574, 19167]",4.722222222222222,12.467881213142375,1.580876158382477,1.0880370682392586,8.0,13,2.1666666666666665,1.8296296296296297,61.0086117144112
5,0.7397660818713451,0.6505847953216374,0.2558479532163742,0.5659824046920822,7,0.3684210526315789,0.195906432748538,10,2,2,2,"[0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1236,632,"[0, 179, 279, 401, 501, 632, 782, 888, 994, 1130, 1236, 1342, 1611, 1897, 2450, 2556, 2799, 3071, 3177, 3728, 4085, 4254, 4712, 4862, 4975, 5190, 5460, 5662, 6018, 6130, 6385, 6645, 6775, 6887, 7372, 7531, 7643, 7755, 7867]",15519,348,20,2,Vengeful Spirit,False,3,11.796580952380952,24,33,7,4,"[0, 0, 0, 3, 3, 4, 4, 4, 4, 5, 7, 7, 8, 9, 9, 9, 9, 9, 9, 10, 14, 17, 18, 19, 19, 21, 22, 22, 22, 22, 23, 23, 24, 24, 31, 33, 33, 33, 33]",,,5,36.67373,0,0,1164,587,"[0, 28, 190, 335, 397, 587, 716, 728, 773, 1001, 1164, 1978, 2281, 2496, 3267, 3295, 3811, 4029, 4063, 4635, 4927, 5132, 5938, 6165, 7046, 7487, 8589, 8660, 8714, 8762, 9380, 10143, 10173, 10173, 10869, 11038, 11038, 11038, 11264]",1.3888888888888888,11.995614035087721,0.779239766081871,0.47953216374269,4.095029239766081,7,0.7,0.5911111111111111,46.976746224535695
