assists,benchmarks.gold_per_min.raw,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,benchmarks.xp_per_min.raw,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,kda_lookup_value,hero_lane_kda,hero_lane_gpm,hero_lane_xpm,ka,kda,expected_kda_ratio,kda_ratio,expected_gpm_ratio,gpm_ratio,expected_xpm_ratio,xpm_ratio
4,444,0.48797736916548795,0.6760961810466761,0.7397454031117398,0.9674681753889675,71,0.14002828854314003,0.3592644978783593,481,3,2,2,1,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",4368,1626,"[0, 292, 614, 1054, 1355, 1626, 2074, 2618, 3228, 3590, 4368, 4713, 5226, 5699, 5959, 6153, 6637, 7234, 8167, 8814, 9257, 9550, 9788, 10218, 10521, 11068, 11387, 11499, 12518]",24350,0,106,Ember Spirit,True,5,2,6.2314333333333325,88,186,71,26,"[0, 3, 9, 18, 22, 26, 36, 42, 55, 62, 71, 77, 85, 94, 97, 100, 110, 121, 128, 143, 151, 156, 157, 163, 168, 175, 180, 180, 182]",Nanjou Sachi,62.0,2,32.958065,564,0,4971,2068,"[0, 268, 705, 1194, 1594, 2068, 2677, 3163, 4019, 4469, 4971, 5353, 6031, 6479, 6799, 6955, 7418, 8363, 9092, 9537, 10015, 10295, 10379, 10950, 11309, 11979, 12295, 12295, 13631]",14.74012474012474,11.697174474278516,11.098204179385014,2.068576538541317,1.1385082785974148,46.97402154426033,Ember Spirit_2,3.7,506.0,615.0,9,3.0,0.2316844082654978,0.5204819277108435,0.23041894353369763,0.2868217054263566,0.22585383767903047,0.2569444444444444
5,316,0.3434873949579832,0.9411764705882353,0.2111344537815126,0.3873684210526316,39,0.9201680672268907,0.3088235294117647,374,8,10,8,4,"[0, 2, 2, 2, 2, 4, 5, 5, 6, 8, 8, 8, 8, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",3097,1419,"[0, 217, 514, 790, 1171, 1419, 1839, 2072, 2573, 2877, 3097, 3556, 3904, 4320, 4453, 4770, 5219, 5564, 5938, 6673, 6989, 7196, 7374, 7858, 7971, 8235, 8385, 8497, 8975]",11179,0,49,Dragon Knight,True,2,3,13.787659523809523,62,101,39,20,"[0, 1, 6, 10, 16, 20, 28, 29, 34, 39, 39, 47, 52, 58, 58, 63, 70, 75, 77, 90, 95, 97, 97, 99, 99, 99, 100, 100, 101]",For The Pills,61.0,3,80.04712,1615,0,3404,1135,"[0, 28, 261, 676, 987, 1135, 1693, 2069, 2759, 2981, 3404, 3834, 4053, 4608, 4768, 5072, 5369, 5742, 6514, 7364, 7779, 8158, 8200, 8771, 8817, 9313, 9366, 9366, 10677]",6.835244592829149,7.181862780293991,5.342471884584764,1.690269275041858,4.9810180547851175,39.818526111344404,Dragon Knight_3,2.49,424.0,535.0,7,0.875,0.1559173450219161,0.15180722891566267,0.1930783242258652,0.2041343669250646,0.1964744766801322,0.1997863247863248
4,428,0.2116788321167883,0.9799270072992701,0.5593065693430657,0.8899082568807339,51,0.6058394160583942,0.17974452554744524,525,4,8,7,3,"[0, 1, 2, 2, 3, 3, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",3338,1572,"[0, 305, 601, 858, 1311, 1572, 1845, 2258, 2530, 2871, 3338, 3524, 4021, 4442, 4575, 5051, 5450, 5932, 6587, 6987, 7651, 8123, 8755, 9358, 9471, 9812, 10184, 11346, 12166]",16728,0,67,Spectre,True,0,1,12.61727619047619,67,198,51,23,"[0, 3, 8, 11, 19, 23, 27, 34, 38, 44, 51, 53, 66, 74, 74, 83, 89, 97, 107, 113, 125, 134, 144, 157, 157, 159, 164, 188, 198]",Sakura Miko Stan,73.0,1,0.0,24,0,2944,1199,"[0, 118, 368, 595, 952, 1199, 1509, 1973, 2209, 2615, 2944, 3255, 3776, 4131, 4291, 4902, 5402, 6316, 7028, 7574, 8177, 8737, 9948, 10709, 10755, 11353, 11761, 13299, 14969]",1.7865658437947602,3.0628451915066517,10.126551191608687,0.7221767460594619,3.653859672451814,31.969274835897565,Spectre_1,4.29,519.0,603.0,4,1.0,0.2686286787726988,0.17349397590361448,0.23633879781420766,0.27648578811369506,0.22144693352919573,0.28044871794871795
4,200,0.2657580919931857,0.9063032367972743,0.049403747870528106,0.06655290102389079,2,0.7291311754684838,0.262350936967632,281,9,5,3,3,"[0, 0, 0, 0, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1409,650,"[0, 180, 280, 410, 550, 650, 756, 942, 1083, 1189, 1409, 1554, 1781, 1958, 2064, 2388, 2671, 2777, 3256, 3615, 3753, 3859, 4037, 4218, 4331, 4984, 5213, 5532, 5645]",14371,275,39,Queen of Pain,True,1,3,13.787659523809523,28,33,2,1,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 5, 5, 10, 13, 13, 19, 25, 25, 25, 25, 25, 25, 28, 32, 33, 33]",For The Thrills,63.0,4,0.0,228,0,2133,724,"[0, 28, 204, 265, 576, 724, 790, 1075, 1297, 1519, 2133, 2321, 2692, 2912, 2938, 3405, 3682, 4727, 5491, 5945, 6379, 6573, 6615, 7186, 7232, 7830, 7917, 8022, 8027]",2.5,4.752822062644069,0.14048776530285378,1.3417248317108625,4.1641534398099775,26.686847623277288,Queen of Pain_3,2.67,410.0,507.0,5,0.5555555555555556,0.16718847839699436,0.09638554216867472,0.18670309653916212,0.12919896640826872,0.18619170033051782,0.1501068376068376
1,160,0.36194563662374823,0.24034334763948498,0.030042918454935622,0.2266857962697274,4,0.8555078683834049,0.14163090128755365,211,6,5,5,3,"[0, 0, 0, 0, 1, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1367,684,"[0, 180, 280, 444, 584, 684, 790, 1004, 1110, 1216, 1367, 1512, 1864, 2032, 2341, 2447, 2615, 2721, 3013, 3182, 3326, 3513, 3691, 3842, 3955, 4183, 4296, 4408, 4521]",7215,1620,102,Abaddon,True,1,1,12.61727619047619,27,14,4,1,"[0, 0, 0, 1, 1, 1, 1, 4, 4, 4, 4, 5, 6, 7, 7, 7, 7, 7, 7, 7, 8, 10, 10, 11, 11, 14, 14, 14, 14]",ass hamburger,31.0,5,0.0,0,0,1780,892,"[0, 118, 311, 580, 766, 892, 1026, 1256, 1492, 1536, 1780, 1857, 2070, 2118, 2515, 2604, 2774, 2853, 3529, 3824, 4118, 4421, 4505, 4591, 5500, 5808, 5808, 5913, 5942]",0.0,7.758682832349148,0.0,0.436324564110275,3.0641988555078683,23.876482442443482,Abaddon_1,2.82,337.0,463.0,2,0.3333333333333333,0.1765810895428929,0.05783132530120482,0.1534608378870674,0.10335917312661498,0.17003305178112377,0.11271367521367522
23,345,0.9563106796116505,0.9207119741100324,0.6197411003236246,0.19611021069692058,3,0.8462783171521036,0.7168284789644013,478,3,6,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1910,1055,"[0, 180, 280, 855, 955, 1055, 1161, 1394, 1543, 1706, 1910, 2217, 2368, 2528, 2786, 3001, 3456, 3950, 4158, 4327, 4668, 5239, 5653, 6586, 7248, 7920, 8223, 9182, 9606]",18620,8223,83,Treant Protector,False,3,3,11.212340476190477,38,52,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 6, 6, 6, 6, 9, 14, 23, 25, 25, 30, 36, 39, 41, 45, 51, 51, 52, 52]",,,5,57.25271,1836,1,2507,1157,"[0, 59, 332, 713, 820, 1157, 1299, 1710, 2061, 2367, 2507, 2904, 3196, 3330, 3356, 3583, 4117, 4504, 4928, 5112, 5463, 6157, 6492, 8087, 9289, 11015, 11180, 11907, 12730]",20.60465051416794,20.0,11.368941345616252,3.4889009985598847,4.8583735330353,71.53320686756986,Treant Protector_3,2.59,325.0,433.0,26,8.666666666666666,0.18809005083514888,0.13941018766756033,0.16778523489932887,0.1494800693240901,0.18124738384261196,0.16568457538994802
15,284,0.5415135929463629,0.75165319617928,0.16899338721528287,0.21861152141802068,6,0.7002204261572373,0.6223365172667157,465,1,10,6,1,"[0, 0, 0, 1, 1, 1, 2, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9]",1682,763,"[0, 262, 398, 529, 663, 763, 1052, 1248, 1388, 1494, 1682, 1951, 2249, 2409, 2761, 2930, 3287, 3455, 3653, 3857, 4017, 4258, 4607, 4998, 5359, 6234, 6529, 7519, 7927]",11512,400,9,Mirana,False,3,1,12.38272380952381,33,37,6,4,"[0, 2, 3, 3, 4, 4, 4, 4, 5, 5, 6, 7, 9, 9, 9, 10, 13, 16, 19, 19, 20, 21, 21, 22, 26, 32, 35, 36, 36]",Neffzu,73.0,4,47.020706,1343,1,1913,856,"[0, 28, 148, 553, 674, 856, 1173, 1347, 1513, 1717, 1913, 2115, 2508, 2560, 3383, 3533, 4579, 4977, 5346, 5541, 5748, 5950, 6819, 6947, 8019, 9772, 9937, 11027, 12212]",21.66076216009192,9.033175472943528,4.706758361509442,2.780211285827243,3.5526843246778217,54.11631541457376,Mirana_1,3.15,381.0,452.0,18,18.0,0.22875816993464052,0.289544235924933,0.19669592152813628,0.12305025996533796,0.1892005023022185,0.1611785095320624
13,591,0.9613733905579399,0.22746781115879827,0.9527896995708155,0.8669527896995708,44,0.9098712446351931,0.944206008583691,666,0,8,3,1,"[0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 8, 8]",3169,1468,"[0, 180, 391, 802, 1086, 1468, 1729, 2031, 2305, 2778, 3169, 3840, 4437, 4767, 5669, 5927, 6527, 7055, 7385, 7960, 8686, 9474, 10441, 11545, 12386, 13248, 13909, 15459, 16278]",24395,1500,57,Omniknight,False,10,1,12.38272380952381,64,182,44,19,"[0, 0, 3, 7, 12, 19, 22, 25, 29, 38, 44, 50, 56, 63, 68, 74, 83, 91, 103, 111, 124, 137, 142, 145, 155, 160, 169, 179, 181]",,,3,0.0,7432,1,2737,1331,"[0, 56, 261, 597, 1080, 1331, 1620, 1760, 1983, 2427, 2737, 3363, 4128, 4382, 5664, 6020, 6598, 7025, 7540, 8332, 9230, 10125, 11193, 12788, 14128, 15298, 15872, 16836, 17843]",23.88888888888889,20.0,20.0,4.973202427786103,3.1593347639484977,84.4041498901473,Omniknight_1,2.34,309.0,382.0,23,23.0,0.16993464052287582,0.3699731903485255,0.15952503871966958,0.25606585788561526,0.1598995395562997,0.23084922010398615
8,622,0.8296296296296296,0.7592592592592593,0.9419753086419753,0.9987654320987654,107,0.35802469135802467,0.9024691358024691,724,2,9,7,6,"[0, 1, 2, 3, 5, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",5129,2031,"[0, 300, 754, 1179, 1599, 2031, 2637, 3251, 3695, 4270, 5129, 5875, 6522, 7103, 8144, 8808, 9401, 10215, 10321, 11414, 11971, 12471, 12895, 14080, 15002, 15891, 16377, 17345, 17689]",18645,0,97,Magnus,False,9,2,18.76856666666667,103,272,107,38,"[0, 3, 12, 20, 28, 38, 51, 63, 78, 90, 107, 119, 135, 148, 153, 172, 179, 201, 201, 224, 242, 255, 260, 264, 266, 268, 271, 271, 272]",sinababy,65.0,2,29.243603,8626,1,6487,2285,"[0, 211, 807, 1303, 1789, 2285, 3029, 3770, 4410, 5181, 6487, 7200, 8193, 8853, 9764, 10858, 11537, 12567, 12601, 13850, 14542, 15209, 15316, 16548, 17596, 19274, 19439, 20208, 20592]",17.292760765448435,18.036801619295613,17.240223784235035,4.868860245833048,2.0581817554972437,78.26539483697606,Magnus_2,3.08,472.0,572.0,17,8.5,0.22367465504720407,0.13672922252010725,0.24367578729994838,0.26949740034662045,0.239430724152365,0.2509532062391681
11,466,0.11682242990654206,0.9591121495327103,0.24649532710280375,0.029342723004694836,19,0.3516355140186916,0.5887850467289719,552,4,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2223,1117,"[0, 219, 397, 719, 931, 1117, 1296, 1746, 1852, 1995, 2223, 2486, 2942, 3610, 4237, 4696, 5459, 5846, 6489, 7141, 7666, 8570, 9135, 9839, 10659, 10995, 11280, 12127, 12837]",10447,0,70,Ursa,False,5,3,11.212340476190477,44,137,19,12,"[0, 1, 3, 7, 10, 12, 14, 16, 16, 17, 19, 22, 30, 44, 52, 60, 72, 81, 94, 103, 113, 124, 124, 126, 129, 130, 131, 134, 137]",Road to Herald,45.0,1,0.0,4243,1,2222,997,"[0, 59, 263, 701, 865, 997, 1322, 1733, 1861, 2082, 2222, 2319, 2670, 3540, 4176, 4761, 5470, 5952, 6505, 7241, 7832, 9152, 10042, 11605, 12767, 12944, 13084, 13853, 14841]",15.01252578838786,0.31542056074766345,7.91420124731662,2.528575256794165,2.629088785046729,39.612152114483514,Ursa_3,2.61,450.0,550.0,16,4.0,0.1895424836601307,0.064343163538874,0.2323180175529169,0.2019064124783362,0.23022185014650481,0.19133448873483536
