assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_kills,hero_name,isRadiant,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,ka,kda,kda_ratio,total_advantage
16,0.7861635220125787,0.6509433962264151,0.7987421383647799,0.449685534591195,41,0.8584905660377359,0.5345911949685535,9,10,7,4,"[0, 0, 2, 4, 4, 4, 4, 4, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",3166,1445,"[0, 180, 441, 889, 1102, 1445, 1835, 2119, 2336, 2668, 3166, 3490, 3994, 4914, 5155, 5815, 6506, 7018, 7601, 8364, 9004, 9552, 10583, 11271, 11922, 12442, 12554, 12891, 13283, 14490, 15286, 16071, 16343, 16455, 17222, 17883, 19266, 19532, 19644, 20369, 21205, 22002, 22772, 23415, 23612, 24794, 25031, 25249, 25752, 26798, 27226, 27602, 27848, 28978, 29589, 29833]",49744,9842,36,11,Necrophos,True,3,14.831054761904761,63,363,41,21,"[0, 0, 4, 12, 15, 21, 22, 28, 31, 36, 41, 46, 53, 61, 63, 70, 80, 91, 101, 105, 115, 124, 154, 169, 182, 185, 185, 192, 192, 203, 214, 217, 223, 223, 224, 234, 245, 245, 245, 256, 262, 267, 273, 287, 289, 297, 297, 301, 305, 320, 326, 336, 336, 351, 360, 363]",Scylla,62.0,3,22.808802,1586,0,3485,1383,"[0, 0, 207, 769, 961, 1383, 1843, 2273, 2677, 3028, 3485, 3886, 4357, 4903, 5011, 5230, 6048, 6721, 7490, 8263, 8965, 9736, 11130, 11957, 12655, 13196, 13246, 13839, 13893, 17438, 19168, 20238, 20629, 20888, 21810, 22066, 25826, 25826, 25826, 26623, 27543, 28877, 29170, 29890, 30292, 31867, 32157, 32765, 34622, 35841, 36228, 36698, 37112, 39384, 39942, 40264]",2.5,12.86556603773585,3.4937106918238996,2.1729559748427674,6.547169811320755,27,3.0,1.3359375,65.24685735019696
26,0.6446446446446447,0.3373373373373373,0.3803803803803803,0.3023023023023023,4,0.7577577577577578,0.4094094094094094,13,1,1,1,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2186,947,"[0, 180, 315, 415, 713, 947, 1101, 1266, 1502, 1746, 2186, 2328, 2524, 2923, 3111, 3566, 3870, 4039, 4237, 4548, 4780, 5034, 5212, 5397, 5509, 6299, 6589, 6908, 7123, 8179, 8854, 9276, 9615, 9796, 10179, 10472, 10980, 11246, 11358, 11470, 11677, 12307, 12672, 13132, 13843, 14808, 15336, 15456, 15753, 16290, 16861, 17107, 17675, 18104, 18224, 18343]",24016,400,121,3,Grimstroke,True,1,21.343709523809522,44,72,4,4,"[0, 0, 0, 0, 2, 4, 4, 4, 4, 4, 4, 5, 5, 6, 7, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 12, 16, 17, 18, 20, 23, 23, 23, 24, 25, 26, 26, 26, 26, 26, 26, 27, 28, 32, 42, 51, 56, 56, 56, 56, 63, 65, 71, 71, 71, 71]",Young Bull,71.0,5,46.43518,176,0,2255,930,"[0, 0, 92, 240, 581, 930, 1157, 1440, 1482, 2237, 2255, 2331, 2372, 2934, 3132, 4142, 4172, 4204, 4785, 5468, 5506, 5546, 6453, 6600, 6737, 9316, 9630, 9857, 10089, 11189, 11837, 12078, 12224, 12426, 13065, 13166, 13367, 14503, 14640, 14640, 15185, 16678, 16857, 17340, 18027, 19996, 20053, 20233, 21132, 22498, 22738, 22916, 24478, 24599, 24599, 24599]",2.8703703703703702,10.212087087087088,1.4019019019019012,1.547047047047047,4.475475475475475,29,2.230769230769231,0.9933894230769231,64.38552523952524
22,0.2408660351826793,0.871447902571042,0.3640054127198917,0.564276048714479,7,0.395128552097429,0.2557510148849797,18,1,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1834,853,"[0, 180, 280, 552, 690, 853, 1196, 1320, 1442, 1548, 1834, 1940, 2136, 2479, 2630, 2968, 3402, 3686, 4041, 4264, 4496, 4866, 5044, 5229, 5409, 5860, 5972, 6269, 6563, 6905, 7192, 7485, 7597, 7837, 8146, 8681, 8918, 9794, 9906, 10131, 10338, 10837, 11202, 11429, 11549, 12236, 12722, 12920, 14025, 14562, 14798, 14918, 15164, 15283, 15403, 15695]",16466,800,71,3,Spirit Breaker,True,3,14.831054761904761,37,80,7,4,"[0, 0, 0, 1, 2, 4, 4, 5, 6, 6, 7, 7, 7, 7, 7, 10, 13, 15, 20, 21, 21, 21, 21, 22, 25, 25, 25, 31, 31, 34, 34, 34, 34, 37, 37, 40, 40, 51, 51, 56, 56, 62, 62, 62, 62, 66, 75, 77, 77, 77, 77, 77, 77, 77, 77, 80]",Dr. EBob42,55.0,4,167.50378,0,0,1820,858,"[0, 0, 207, 484, 619, 858, 1318, 1389, 1626, 1802, 1820, 2540, 2675, 3225, 3333, 3537, 3872, 4188, 4573, 4628, 4666, 6412, 6611, 6946, 7279, 8349, 8399, 8715, 9758, 9907, 10648, 10708, 10850, 11052, 11518, 12675, 12965, 14543, 14742, 15049, 15591, 17025, 17204, 17288, 18849, 20879, 21158, 21507, 23339, 23435, 23735, 23835, 24014, 24176, 24185, 24739]",2.1296296296296298,2.6412381596752366,1.3200270635994582,0.7787550744248984,5.332882273342355,25,1.3888888888888888,0.6184895833333334,41.590133788578974
5,0.3370233702337023,0.949569495694957,0.4501845018450184,0.9605911330049262,64,0.6100861008610086,0.6912669126691267,10,3,3,2,"[0, 0, 0, 0, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4430,1967,"[0, 287, 677, 1022, 1509, 1967, 2523, 2886, 3174, 3856, 4430, 4974, 5739, 6384, 6974, 7782, 8609, 8778, 9583, 9999, 10581, 10805, 11332, 12045, 12543, 13460, 13572, 14091, 14755, 15030, 15652, 16142, 16254, 16366, 16675, 17493, 18009, 18275, 18651, 19012, 19329, 19618, 20573, 21624, 21744, 21863, 22360, 23172, 24512, 25385, 25621, 25741, 26402, 27777, 27897, 28016]",30967,0,70,12,Ursa,True,1,21.343709523809522,89,313,64,22,"[0, 3, 6, 13, 18, 22, 29, 36, 43, 52, 64, 76, 88, 98, 112, 125, 126, 126, 135, 139, 147, 150, 160, 173, 183, 193, 193, 202, 202, 202, 210, 211, 211, 211, 211, 211, 214, 214, 220, 230, 233, 236, 244, 260, 260, 260, 269, 281, 283, 283, 283, 283, 293, 313, 313, 313]",Sttardustt,61.0,1,15.419043,5581,0,4562,1867,"[0, 240, 745, 1007, 1392, 1867, 2424, 2867, 3335, 4067, 4562, 5325, 6091, 6687, 7496, 8345, 9094, 9126, 10278, 10437, 11101, 11378, 11815, 12480, 13159, 14993, 15043, 15727, 18079, 18150, 19676, 20676, 20738, 20988, 23036, 24392, 24509, 24509, 24881, 25349, 26062, 26397, 27243, 28527, 28727, 28815, 29189, 29807, 36192, 37558, 37741, 37841, 38153, 39686, 39689, 39840]",0.6481481481481481,4.444188191881918,1.7509225092250917,2.9563345633456333,6.550430504305043,17,1.7,0.75703125,57.99035913956208
15,0.7631578947368421,0.7807017543859649,0.5745614035087719,0.3333333333333333,32,0.5614035087719298,0.7236842105263158,7,10,7,6,"[0, 1, 2, 4, 5, 6, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",3002,1015,"[0, 268, 436, 694, 915, 1015, 1239, 1705, 1925, 2679, 3002, 3220, 4026, 4553, 4943, 5333, 6174, 6343, 6697, 7187, 7828, 9140, 9853, 10444, 10556, 11440, 11552, 11840, 12473, 13616, 14394, 15090, 15282, 15394, 17387, 17968, 18545, 19020, 19884, 20371, 20765, 21931, 22340, 22567, 22845, 23239, 24250, 24472, 26224, 26922, 27158, 27278, 27684, 27973, 28129, 28248]",48535,0,43,15,Death Prophet,True,2,6.996090476190476,60,287,32,11,"[0, 2, 4, 8, 11, 11, 14, 17, 20, 30, 32, 35, 40, 47, 53, 59, 62, 62, 69, 71, 84, 93, 110, 121, 121, 125, 125, 129, 132, 141, 149, 155, 157, 157, 168, 169, 170, 178, 196, 208, 210, 225, 226, 226, 230, 237, 254, 258, 271, 272, 272, 272, 276, 282, 284, 284]",,,2,9.3560705,6502,0,4447,1521,"[0, 239, 692, 1050, 1387, 1521, 2099, 2725, 3045, 4084, 4447, 4913, 6197, 6654, 7166, 7546, 9145, 9177, 9740, 10423, 11131, 13325, 14306, 15115, 15236, 16487, 16537, 16936, 18040, 20051, 21347, 22341, 22668, 22842, 27759, 29115, 29232, 29398, 30470, 31154, 31699, 33373, 33552, 33636, 33897, 34535, 35719, 35949, 38344, 39738, 39836, 40014, 40672, 41052, 41090, 41090]",3.055555555555556,12.43421052631579,2.3728070175438596,3.118421052631579,5.7105263157894735,30,4.285714285714286,1.908482142857143,51.82709376004112
22,0.5313131313131313,0.9686868686868688,0.3242424242424242,0.5191919191919192,41,0.6060606060606061,0.7888888888888889,10,8,8,4,"[0, 1, 3, 3, 4, 4, 5, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",3066,1367,"[0, 430, 642, 781, 1164, 1367, 1622, 2071, 2467, 2721, 3066, 3378, 3887, 4087, 4693, 5038, 5933, 6477, 7112, 7364, 8232, 8842, 9203, 9779, 10297, 10897, 11406, 12207, 12991, 13104, 13302, 13680, 14599, 14872, 15787, 15899, 16150, 17035, 17755, 18324, 18599, 19018, 19840, 20518, 21278, 21507, 21744, 22065, 22184, 22304, 23464, 24613, 25490, 25868, 27134, 29046]",28896,0,41,9,Faceless Void,False,3,10.168945238095239,61,323,41,14,"[0, 2, 5, 6, 12, 14, 18, 25, 32, 36, 41, 50, 54, 58, 63, 70, 74, 80, 92, 94, 117, 127, 131, 144, 158, 163, 171, 179, 179, 179, 180, 180, 185, 189, 190, 190, 190, 202, 217, 230, 230, 234, 246, 251, 263, 263, 263, 269, 269, 269, 278, 289, 304, 315, 320, 323]",jim-m80,65.0,1,29.017834,9040,1,2350,1061,"[0, 168, 358, 573, 877, 1061, 1342, 1572, 1857, 2107, 2350, 2621, 2903, 3087, 3818, 4216, 4962, 6055, 6859, 7180, 8692, 9907, 10348, 11123, 11796, 12495, 13142, 13811, 15229, 15299, 15853, 16705, 17881, 18148, 19740, 19808, 19911, 20915, 21619, 22255, 22885, 23231, 25553, 25996, 26986, 27074, 27164, 27326, 27496, 27620, 31098, 31387, 32094, 32362, 34903, 37874]",1.689189189189189,8.087121212121213,1.121212121212121,3.444444444444444,6.53030303030303,31,3.1,0.7620111731843575,47.755715746715744
24,0.6351692774128348,0.6149570490146539,0.3996968165740273,0.4241658240647118,4,0.8494188984335523,0.8832743810005053,10,3,2,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1523,904,"[0, 341, 441, 541, 719, 904, 1010, 1160, 1266, 1372, 1523, 1900, 2072, 2232, 2783, 3322, 3491, 3850, 4236, 4670, 5014, 5120, 5622, 5735, 5926, 6163, 6382, 6676, 7193, 7306, 7418, 7611, 8191, 8303, 8505, 8658, 9491, 9856, 9968, 10080, 10745, 10972, 11326, 11580, 12072, 12429, 12666, 12786, 12905, 13025, 13511, 14001, 14373, 14546, 15331, 17022]",18229,260,26,6,Lion,False,3,10.168945238095239,30,52,4,4,"[0, 0, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 5, 10, 10, 10, 15, 15, 15, 15, 15, 15, 15, 17, 17, 19, 20, 21, 21, 21, 21, 21, 21, 21, 22, 28, 29, 29, 29, 29, 29, 29, 29, 29, 32, 32, 32, 32, 32, 41, 41, 41, 42, 47, 52]",Gwar Goobah Stan,33.0,5,214.53453,1546,1,2186,944,"[0, 168, 358, 447, 751, 944, 1168, 1455, 1683, 1933, 2186, 3123, 3405, 3565, 4149, 4884, 4914, 5814, 6141, 6542, 7479, 7557, 7918, 8022, 8299, 8501, 8822, 9473, 10891, 11184, 11565, 13149, 14297, 14455, 14616, 14938, 16264, 16381, 16455, 16531, 18162, 18242, 20162, 21626, 23421, 23861, 24054, 24211, 24347, 24443, 24660, 26189, 26386, 26654, 28566, 31575]",1.554054054054054,10.034423951490652,1.4984840828701362,3.916371905002526,6.321879737241031,30,3.0,0.7374301675977654,51.52947533654406
22,0.9558823529411764,0.6944444444444444,0.8513071895424836,0.7777777777777778,27,0.9722222222222222,0.8643790849673203,14,11,8,2,"[0, 0, 1, 2, 2, 2, 2, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",2797,1528,"[12, 290, 629, 898, 1311, 1528, 1654, 2026, 2419, 2646, 2797, 3180, 3478, 3620, 3808, 4836, 5629, 6542, 6870, 7225, 8187, 8503, 9007, 9674, 10360, 12380, 12696, 13180, 14960, 15348, 15460, 17194, 18206, 18910, 20269, 20878, 22143, 22508, 22620, 22732, 25263, 25490, 25737, 26650, 27731, 28229, 28778, 28982, 30625, 32463, 34171, 35089, 35982, 36378, 37718, 39912]",53380,0,62,15,Bounty Hunter,False,1,3.6562904761904775,56,185,27,15,"[0, 2, 4, 8, 13, 15, 15, 20, 26, 27, 27, 27, 27, 27, 28, 35, 38, 42, 42, 42, 53, 56, 57, 70, 84, 87, 90, 97, 97, 99, 99, 99, 106, 109, 109, 110, 110, 110, 110, 110, 110, 110, 112, 123, 127, 135, 143, 144, 146, 150, 154, 157, 167, 179, 183, 184]",kojog,63.0,3,39.52777,3215,1,2679,1281,"[0, 114, 352, 792, 1069, 1281, 1291, 1802, 2296, 2495, 2679, 3151, 3449, 3662, 3802, 4546, 5369, 6581, 6909, 7175, 8080, 8345, 9640, 10520, 11447, 14556, 15166, 15778, 18652, 19109, 19167, 22074, 22626, 22840, 24337, 24635, 25928, 26000, 26074, 26186, 27829, 27909, 28085, 29594, 30886, 31308, 31749, 32075, 34972, 38888, 42049, 42413, 43873, 44398, 46400, 49435]",2.5,15.0,3.7565359477124183,3.8218954248366015,6.972222222222221,37,2.642857142857143,0.6496408619313647,54.93376010917187
33,0.9198931909212285,0.4632843791722296,0.9359145527369828,0.9572763684913218,14,0.9839786381842456,0.9399198931909212,1,4,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1908,723,"[0, 180, 306, 447, 587, 723, 1010, 1160, 1390, 1589, 1908, 2123, 2295, 2563, 3127, 3641, 4015, 4380, 4618, 4940, 5302, 5488, 5984, 6177, 6489, 7724, 8101, 8476, 8993, 9403, 9898, 10436, 11492, 11798, 12496, 12726, 13362, 13807, 14238, 14893, 15406, 16221, 16773, 17107, 18107, 18547, 19090, 19609, 19923, 20717, 21652, 22351, 22897, 23260, 24250, 25732]",32172,0,87,4,Disruptor,False,1,3.6562904761904775,38,136,14,1,"[0, 0, 0, 0, 0, 1, 5, 5, 8, 10, 14, 16, 16, 20, 21, 23, 23, 25, 26, 26, 28, 28, 31, 31, 34, 37, 43, 44, 44, 48, 53, 53, 55, 57, 57, 58, 58, 58, 63, 71, 73, 80, 82, 82, 89, 94, 100, 104, 104, 114, 115, 119, 122, 126, 129, 133]",Sakura Miko Stan,73.0,4,12.639404,1335,1,2274,736,"[0, 0, 238, 338, 524, 736, 1238, 1290, 1613, 2008, 2274, 2790, 2972, 3529, 4083, 4901, 5533, 6513, 6778, 7063, 7746, 7786, 8417, 8588, 9008, 11941, 12509, 13008, 13448, 13917, 14471, 15820, 16996, 17263, 17956, 18164, 21218, 21613, 22016, 22230, 22872, 23702, 26039, 26410, 28000, 28318, 28793, 29128, 29476, 30465, 33379, 33668, 33940, 34216, 37267, 40268]",2.5,15.0,4.0,4.0,5.816421895861148,37,37.0,9.094972067039105,53.80417288007942
22,0.9917695473251028,0.7407407407407407,0.9478737997256516,0.8118131868131868,35,0.7626886145404664,0.9876543209876544,9,20,12,4,"[0, 2, 3, 3, 4, 4, 4, 7, 8, 8, 12, 15, 18, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",3319,1600,"[0, 215, 488, 859, 1310, 1600, 1991, 2462, 2801, 3061, 3319, 3802, 3934, 4425, 4918, 5671, 6305, 7115, 7565, 7767, 8250, 8964, 9696, 10378, 10851, 12648, 12760, 13162, 13481, 13921, 14411, 15582, 16507, 16807, 17300, 17412, 18010, 19723, 20073, 20279, 20531, 20882, 22474, 23112, 24604, 25503, 26395, 27684, 27997, 28117, 30203, 31837, 32514, 33036, 35193, 36405]",88860,0,75,22,Silencer,False,2,18.003909523809526,67,338,35,14,"[0, 1, 5, 7, 9, 14, 21, 23, 29, 32, 35, 44, 44, 53, 58, 64, 66, 69, 75, 75, 75, 82, 83, 100, 108, 114, 114, 117, 117, 124, 127, 128, 132, 136, 141, 141, 142, 168, 174, 177, 178, 181, 191, 202, 216, 230, 244, 267, 269, 269, 274, 294, 304, 313, 331, 333]",,,2,6.3549314,11306,1,4102,2394,"[0, 205, 658, 1336, 1998, 2394, 3006, 3170, 3538, 3742, 4102, 4897, 4957, 5571, 6332, 7226, 8029, 8781, 9291, 9327, 10038, 11154, 12461, 13265, 13761, 15833, 15883, 16341, 16809, 17258, 17921, 19270, 20421, 20758, 20919, 20987, 22799, 24448, 24889, 25209, 25318, 25536, 27726, 28169, 29743, 30384, 31453, 32707, 33044, 33168, 35984, 37047, 37767, 38195, 42275, 44278]",3.4459459459459456,15.0,4.0,4.0,6.517146776406035,44,4.888888888888889,1.2017380509000621,78.41077268640231
