assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,ka,kda,kda_ratio
27,0.3361884368308351,0.9164882226980728,0.1241970021413276,0.5995717344753747,8,0.8137044967880086,0.5203426124197003,10,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2268,808,"[0, 140, 278, 378, 478, 808, 959, 1401, 1629, 1779, 2268, 2491, 2693, 2911, 3017, 3213, 3404, 3695, 3837, 4250, 4424, 4668, 5009, 5388, 5580, 5916, 6236, 6577, 7318, 7511, 7737, 8007, 8209, 8662, 9352, 9680, 9792, 10113, 10330, 10442, 10922, 11164, 11816, 12490, 12827, 13051, 13344, 13464, 13623, 13860, 13980, 14933, 15672, 17353]",22267,13087,110,Phoenix,True,5,3,8.331934523809522,45,52,8,1,"[0, 0, 1, 1, 1, 1, 1, 3, 6, 6, 8, 11, 12, 12, 12, 12, 12, 13, 14, 14, 15, 15, 15, 15, 15, 18, 21, 23, 28, 28, 28, 30, 31, 31, 35, 39, 39, 39, 42, 42, 42, 42, 43, 43, 43, 46, 47, 47, 48, 48, 49, 50, 50, 52]",sunrise,61.0,4,28.07837,410,1,2688,885,"[0, 14, 267, 423, 717, 885, 1148, 1599, 1975, 2114, 2688, 2877, 3143, 3224, 3344, 3608, 3645, 4017, 4503, 4995, 5123, 5834, 5876, 6800, 6846, 7321, 7809, 8688, 9740, 9796, 9870, 10379, 10683, 11707, 11902, 12234, 12474, 12574, 12828, 12952, 14370, 14450, 14923, 19218, 19716, 20211, 20733, 20967, 21571, 21683, 21896, 24161, 26802, 31291]",2.5,4.4285331905781575,0.12098501070663799,2.101713062098501,4.252772204963856,33.43990460331796,32,3.2,0.8096385542168675
22,0.501131221719457,0.832579185520362,0.3495475113122172,0.2117780294450736,25,0.3676470588235294,0.7805429864253394,7,5,3,2,"[0, 0, 0, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",2333,944,"[0, 179, 283, 601, 767, 944, 1217, 1493, 1599, 2070, 2333, 2490, 3035, 3355, 3916, 4335, 4526, 5000, 5320, 5913, 6231, 6617, 6978, 7863, 8461, 9006, 9615, 10010, 10269, 10382, 10528, 10935, 11287, 12407, 13053, 13532, 13870, 14287, 14400, 14768, 15366, 16273, 16919, 17941, 18445, 19054, 19755, 20064, 20666, 21029, 21285, 22360, 23295, 25031]",31999,0,16,Sand King,True,8,3,8.331934523809522,47,208,25,10,"[0, 1, 1, 6, 8, 10, 13, 15, 16, 24, 25, 27, 33, 38, 47, 51, 51, 54, 57, 64, 70, 73, 77, 84, 87, 96, 100, 104, 107, 107, 107, 112, 118, 118, 120, 129, 132, 135, 135, 144, 147, 151, 152, 152, 158, 172, 181, 184, 193, 199, 200, 205, 205, 208]",,,3,78.00684,1313,1,2349,697,"[0, 71, 182, 344, 484, 697, 937, 1378, 1632, 2144, 2349, 3199, 3881, 4105, 4731, 5017, 5143, 5329, 5857, 6547, 7007, 7718, 7916, 10012, 11950, 12385, 13397, 14188, 14378, 14434, 14508, 15752, 16205, 19016, 19168, 19562, 19784, 19936, 20010, 20119, 21567, 25606, 26247, 29754, 30009, 30484, 31156, 31552, 32086, 32327, 32609, 36874, 39355, 41885]",2.1875,8.193741875940479,1.2477375565610858,4.034562314534691,1.9457499319926945,39.909578773597644,30,4.285714285714286,1.0843373493975903
16,0.9705882352941176,0.803921568627451,0.9975490196078431,0.6461916461916462,48,0.7941176470588235,1.0,6,3,2,2,"[0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3387,1290,"[0, 228, 478, 615, 1024, 1290, 1550, 1969, 2304, 2744, 3387, 3787, 4340, 5505, 5895, 6497, 7293, 8107, 9133, 10162, 10482, 11567, 12120, 13410, 13602, 14564, 15096, 16318, 17065, 17178, 17682, 18343, 18876, 20907, 22123, 23725, 24793, 26201, 27431, 28381, 29648, 31724, 32790, 34461, 36175, 37335, 38636, 39244, 40087, 40523, 41046, 41984, 43880, 45648]",67854,290,52,Leshrac,True,21,2,9.293307142857143,68,626,48,19,"[0, 2, 6, 7, 15, 19, 22, 29, 36, 43, 48, 57, 67, 67, 75, 84, 99, 108, 131, 141, 146, 158, 163, 175, 175, 195, 201, 219, 232, 232, 242, 258, 270, 276, 287, 321, 346, 369, 398, 423, 432, 450, 458, 467, 492, 521, 550, 561, 577, 588, 601, 608, 623, 626]",jenya,61.0,2,90.42706,23647,1,4998,2103,"[0, 268, 715, 1072, 1615, 2103, 2409, 2875, 3398, 3853, 4998, 5594, 6115, 7223, 7752, 8271, 9250, 10014, 11115, 11915, 12164, 13481, 13938, 16151, 16197, 17040, 18007, 19747, 21422, 21478, 22157, 23222, 23747, 30129, 30300, 32312, 33494, 34775, 36498, 37891, 39384, 44945, 45539, 50105, 51749, 53618, 54713, 55184, 56045, 56045, 56045, 56045, 56045, 56045]",3.28125,20.0,5.0,5.0,3.75332328192569,71.27366219197359,37,6.166666666666667,1.5602409638554218
25,0.7943743937924346,0.9806013579049466,0.6139670223084384,0.1058252427184466,26,0.6013579049466538,0.5363724539282251,9,6,4,0,"[0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",2497,1127,"[0, 140, 426, 716, 1027, 1127, 1347, 1796, 2012, 2237, 2497, 2878, 3313, 3758, 4134, 4925, 5577, 6152, 6579, 7043, 7927, 8387, 9218, 9973, 10296, 10930, 11823, 12348, 13126, 13239, 13374, 13487, 14321, 15274, 15887, 16546, 17067, 17829, 18349, 19272, 19852, 20229, 20854, 21576, 21913, 22620, 23620, 24227, 24774, 25579, 26023, 27133, 28619, 30480]",59550,0,67,Spectre,True,10,1,7.773352380952382,50,381,26,12,"[0, 0, 6, 7, 12, 12, 14, 16, 19, 21, 26, 37, 46, 54, 66, 84, 95, 102, 111, 117, 136, 136, 143, 155, 164, 182, 194, 202, 206, 206, 207, 207, 224, 227, 228, 237, 249, 260, 270, 285, 286, 286, 286, 289, 289, 309, 331, 345, 354, 366, 374, 374, 377, 381]",Nanjou Sachi,61.0,1,0.0,3969,1,2581,1055,"[0, 139, 449, 574, 860, 1055, 1291, 1798, 2036, 2289, 2581, 2947, 3371, 3960, 4379, 5384, 6155, 6857, 7237, 7617, 8900, 9545, 10305, 11207, 11468, 12326, 13651, 14757, 15931, 15987, 16077, 16137, 16709, 17622, 17802, 18375, 19075, 19441, 19959, 20652, 22041, 22121, 22447, 22559, 22645, 23606, 24613, 25104, 25821, 26430, 26686, 30951, 34887, 39376]",2.96875,17.357591003221028,3.189875693593132,2.2032833208063334,3.3513220837742668,56.68334535745714,35,3.888888888888889,0.9839357429718875
31,0.6343612334801763,0.9074889867841408,0.7444933920704846,0.4405286343612334,3,0.6960352422907489,0.801762114537445,10,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1295,583,"[0, 140, 240, 383, 483, 583, 734, 911, 1039, 1189, 1295, 1401, 1552, 1945, 2051, 2267, 2436, 2691, 2797, 3184, 3290, 3534, 3875, 4178, 4370, 4950, 5235, 5348, 5668, 5781, 5893, 6048, 6160, 6996, 7568, 7770, 8122, 8443, 8598, 8768, 9302, 10107, 10772, 11121, 11458, 11766, 12020, 12140, 12465, 13619, 13856, 14443, 15568, 16657]",9763,29983,91,Wisp,True,1,1,7.773352380952382,26,66,3,1,"[0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 11, 13, 14, 16, 20, 20, 21, 21, 21, 26, 28, 28, 32, 49, 52, 53, 66, 66]",devydee,61.0,5,0.0,1793,1,1301,724,"[0, 42, 352, 471, 643, 724, 846, 1013, 1190, 1206, 1301, 1449, 1771, 2794, 2990, 3044, 3264, 3740, 4031, 4831, 4869, 5403, 5860, 7462, 7591, 8324, 9290, 9342, 9626, 9682, 9756, 10058, 10434, 14025, 14145, 14302, 14991, 15123, 15395, 15510, 16899, 18559, 19097, 19214, 19300, 19572, 19857, 20091, 20411, 21871, 22261, 23427, 25095, 27453]",2.5,12.357179743462956,4.168823466808479,4.1937057753754825,3.641927842692728,53.2845987835262,32,3.2,0.8096385542168675
6,0.5703324808184144,0.8721227621483376,0.5843989769820972,0.9065300896286812,68,0.9846547314578004,0.448849104859335,4,16,10,4,"[0, 1, 2, 4, 4, 4, 8, 8, 10, 10, 10, 10, 10, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 16, 16, 16, 16]",3999,1414,"[0, 259, 504, 770, 1191, 1414, 1884, 2293, 2797, 3353, 3999, 4590, 4926, 5430, 6153, 6469, 6940, 7218, 7821, 8168, 8601, 8732, 8838, 8951, 9433, 9826, 10591, 11373, 12312, 12975, 13874, 14834, 16059, 16655, 16767, 17364, 18136, 18567, 18949, 19233, 19634, 19753, 20804, 21385, 22244, 22704, 23263, 24249, 24738, 25604, 26372, 27154, 27306, 27425]",40426,115,10,Morphling,False,6,2,15.706692857142857,80,406,68,20,"[0, 1, 5, 9, 17, 20, 32, 41, 49, 54, 68, 78, 84, 93, 110, 114, 122, 126, 139, 145, 155, 155, 155, 155, 164, 169, 183, 200, 206, 206, 209, 213, 236, 245, 245, 258, 276, 284, 294, 302, 302, 302, 319, 319, 336, 343, 355, 363, 374, 391, 405, 405, 406, 406]",420BLAZITCUMCIGARXXBASED,61.0,2,66.86739,4182,0,5733,2087,"[0, 171, 744, 1085, 1685, 2087, 2715, 3316, 3810, 4956, 5733, 6495, 6858, 7501, 8512, 8812, 9354, 9657, 10347, 11179, 11510, 11563, 11605, 11649, 12128, 12595, 13670, 14825, 17321, 18483, 20333, 20611, 22353, 23535, 23601, 24130, 24460, 24741, 25270, 25559, 25678, 25758, 26477, 28570, 29278, 29597, 29769, 31703, 31978, 32258, 32362, 36431, 36607, 36667]",0.0,8.81873401534527,2.9077089557618327,2.404931098061896,4.451916721944312,52.75382099731718,12,3.0,1.0465116279069768
25,0.7806372549019608,0.8578431372549019,0.8247549019607843,0.9362745098039216,19,0.9779411764705882,0.1776960784313725,7,9,6,4,"[0, 0, 0, 2, 3, 4, 4, 5, 5, 6, 6, 6, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",2598,1162,"[0, 323, 423, 852, 952, 1162, 1268, 1779, 2084, 2447, 2598, 2794, 3071, 3264, 3422, 3618, 4013, 4238, 4344, 5149, 5287, 5738, 6045, 6539, 6857, 7132, 7295, 7408, 8022, 8679, 9200, 9922, 10224, 10579, 10691, 10803, 11282, 11493, 11842, 12447, 13288, 14409, 14738, 15711, 16173, 16293, 16817, 17535, 17893, 18130, 18279, 18765, 18885, 19004]",28686,942,119,Dark Willow,False,9,1,17.22664761904762,52,107,19,8,"[0, 1, 1, 5, 5, 8, 8, 10, 14, 19, 19, 20, 24, 24, 24, 24, 27, 34, 34, 36, 36, 36, 38, 39, 39, 42, 43, 43, 43, 49, 49, 50, 52, 54, 54, 54, 60, 60, 65, 76, 76, 77, 82, 82, 88, 88, 93, 99, 105, 105, 107, 107, 107, 107]",Stranger,62.0,4,325.88727,0,0,3013,1253,"[0, 55, 229, 799, 951, 1253, 1388, 1960, 2228, 2937, 3013, 3883, 4405, 4630, 4837, 4984, 5735, 6143, 6266, 7104, 7505, 8648, 9314, 10067, 10113, 10280, 10466, 10549, 11956, 13603, 15476, 15634, 15772, 15884, 16305, 16629, 17254, 17389, 17951, 18942, 21028, 26680, 27199, 29216, 29818, 29906, 30671, 32596, 32751, 32907, 33069, 33977, 33977, 33977]",3.5714285714285716,15.273654081499082,4.623774509803921,0.3884803921568625,4.381584241125898,69.94702986932609,34,4.857142857142857,1.6943521594684383
21,0.939453125,0.775390625,0.474609375,0.2035225048923679,3,0.84765625,0.12890625,11,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1994,946,"[0, 220, 607, 707, 819, 946, 1052, 1192, 1527, 1798, 1994, 2231, 2420, 2816, 2922, 3176, 3462, 3791, 3936, 4377, 4878, 5225, 5409, 5675, 6651, 6913, 7188, 7446, 8185, 8991, 9667, 10350, 10591, 10797, 10909, 11387, 11589, 12187, 12300, 12412, 12999, 13493, 14057, 14638, 14757, 14877, 15051, 15826, 16135, 16733, 16887, 17781, 17953, 18176]",41218,1804,128,Snapfire,False,7,3,16.668065476190478,40,105,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 5, 6, 6, 6, 7, 8, 10, 11, 15, 19, 22, 23, 23, 23, 27, 30, 36, 36, 46, 51, 51, 52, 52, 52, 60, 61, 69, 69, 70, 70, 71, 79, 79, 79, 79, 80, 96, 100, 104, 105, 105, 105, 105]",brms,61.0,5,44.470024,0,0,1930,492,"[0, 34, 297, 371, 456, 492, 621, 744, 1129, 1588, 1930, 2149, 2340, 2537, 2807, 2928, 3135, 3270, 3379, 4552, 5498, 6373, 6838, 7686, 11373, 11686, 12762, 13133, 14432, 16272, 17850, 19001, 19488, 20670, 20736, 21560, 21768, 22914, 22988, 23139, 24479, 24559, 25316, 27333, 27419, 28612, 28656, 29279, 29712, 30461, 30620, 31559, 31585, 31645]",2.5,19.496903928312808,2.0842869408961042,0.14453124999999997,3.6158156289935452,68.4763126529122,28,2.5454545454545454,0.8879492600422833
18,0.7679558011049724,0.9613259668508288,0.1749539594843462,0.4686346863468634,53,0.9613259668508288,0.3664825046040516,11,24,23,11,"[0, 1, 7, 7, 10, 11, 15, 16, 21, 21, 23, 23, 23, 23, 23, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]",3807,1690,"[0, 377, 704, 886, 1264, 1690, 1917, 2212, 2718, 3259, 3807, 4191, 4614, 5328, 5811, 6225, 6961, 7755, 8502, 8686, 9146, 9251, 10002, 10308, 10911, 11722, 12440, 13221, 13753, 14076, 15162, 16509, 17400, 18149, 18261, 19016, 20007, 20990, 21470, 21749, 22566, 23060, 23180, 24250, 24369, 25102, 25623, 26269, 27197, 28231, 28920, 29501, 29714, 29833]",45168,0,109,Terrorblade,False,10,3,16.668065476190478,76,412,53,22,"[0, 4, 9, 11, 18, 22, 25, 29, 37, 48, 53, 58, 66, 79, 94, 100, 106, 122, 140, 140, 147, 147, 150, 151, 154, 170, 179, 196, 201, 201, 205, 217, 235, 241, 241, 256, 273, 291, 303, 308, 308, 308, 308, 311, 311, 323, 333, 344, 362, 388, 404, 409, 412, 412]",,,1,0.0,3602,0,4038,1947,"[0, 205, 537, 834, 1301, 1947, 2283, 2506, 2907, 3525, 4038, 4556, 5000, 5866, 6417, 6878, 7587, 8940, 9549, 9585, 10157, 10210, 10820, 11498, 12038, 12654, 13502, 14363, 14565, 14621, 16553, 17186, 17869, 18748, 18814, 19514, 20148, 20815, 21217, 21364, 23462, 23542, 23542, 26919, 27005, 27480, 27577, 28028, 28206, 28362, 28474, 29369, 29369, 29369]",2.5,14.877358650343195,0.37476979742173094,1.7871815961472706,4.5520086133581525,62.70674482070896,28,2.5454545454545454,0.8879492600422833
17,0.8401253918495298,0.1410658307210031,0.8918495297805643,0.835423197492163,35,0.9310344827586208,0.8009404388714734,12,9,5,4,"[0, 2, 2, 4, 4, 4, 4, 4, 4, 4, 5, 6, 7, 7, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",3067,1446,"[0, 256, 595, 926, 1210, 1446, 1749, 1919, 2414, 2718, 3067, 3396, 3973, 4341, 4765, 5479, 6138, 6337, 6845, 7435, 7690, 7795, 8110, 8691, 9009, 9371, 9771, 9884, 10637, 11574, 12688, 13510, 13878, 14084, 14237, 14638, 14958, 15427, 16163, 16700, 17590, 17709, 17829, 18792, 18911, 19342, 19461, 20203, 20600, 20837, 21511, 22036, 22156, 22308]",27805,1227,102,Abaddon,False,10,1,17.22664761904762,61,259,35,20,"[0, 1, 7, 12, 17, 20, 25, 26, 30, 30, 35, 39, 44, 49, 57, 69, 83, 85, 95, 107, 110, 110, 112, 115, 115, 120, 126, 126, 130, 138, 140, 142, 150, 150, 151, 167, 171, 179, 196, 209, 213, 213, 213, 214, 214, 222, 222, 234, 244, 244, 257, 258, 258, 259]",,,3,5.853203,3557,0,2661,1089,"[0, 57, 296, 635, 901, 1089, 1520, 1648, 2048, 2253, 2661, 3099, 3665, 4102, 4372, 4998, 5643, 5845, 6667, 7933, 8341, 8381, 9179, 9967, 10013, 10385, 10801, 10853, 12295, 13864, 15768, 15964, 16234, 16358, 16608, 17145, 17550, 18018, 18924, 19782, 22015, 22095, 22282, 23034, 23120, 23471, 23539, 24275, 24696, 24792, 26304, 27223, 27223, 27331]",2.3214285714285716,17.132658361110614,4.959247648902822,4.504702194357367,2.5276121915288865,74.88045628673213,27,2.25,0.7848837209302325
