assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,ka,kda,kda_ratio
11,0.4520396912899669,0.9470782800441014,0.41565600882028664,0.7596471885336273,49,0.7067254685777288,0.46306504961411243,8,15,10,4,"[0, 0, 2, 3, 4, 4, 4, 7, 8, 9, 10, 11, 11, 11, 11, 11, 11, 11, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",3234,1271,"[0, 176, 545, 762, 1171, 1271, 1489, 1896, 2347, 2676, 3234, 3827, 4242, 4544, 4949, 5055, 5633, 6102, 6669, 7090, 7698, 8050, 8644, 9164, 9655, 9904, 10471, 10583, 11484, 12005, 12920, 13122, 13468, 13753, 14090, 14392, 14504, 14616, 14965, 15290, 15475]",17349,0,49,Dragon Knight,True,4,2,11.825021428571429,65,172,49,18,"[0, 1, 8, 11, 18, 18, 21, 29, 38, 42, 49, 60, 65, 70, 75, 75, 84, 84, 94, 100, 109, 115, 124, 124, 125, 128, 128, 128, 142, 151, 159, 159, 162, 162, 162, 166, 166, 166, 171, 171, 172]",Nanjou Sachi,61.0,2,85.34192,3216,0,3938,1692,"[0, 199, 715, 1056, 1542, 1692, 1942, 2579, 3130, 3558, 3938, 4733, 5147, 5395, 6068, 6096, 6840, 7130, 7846, 8247, 9074, 9352, 9994, 10959, 11070, 11272, 12444, 12496, 13070, 13550, 14647, 14986, 15986, 16943, 17373, 17827, 17907, 17979, 18347, 19666, 19812]",2.1875,9.133611115077741,1.925619910361724,2.7108025090410757,4.462920804224963,49.60842425734913,15,1.875,0.9375
14,0.1890179514255544,0.5892291446673706,0.4371700105596621,0.452431289640592,42,0.9609292502639916,0.293558606124604,7,10,7,4,"[0, 0, 2, 2, 4, 4, 4, 4, 6, 6, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",2921,1381,"[0, 261, 560, 767, 1130, 1381, 1596, 1780, 2117, 2516, 2921, 3399, 3984, 4548, 4704, 5364, 5608, 5788, 6367, 6792, 7262, 7849, 8220, 8777, 9763, 10247, 10527, 10639, 10833, 11119, 11232, 11434, 12014, 12372, 12929, 13107, 13219, 13371, 13483, 14513, 14866]",15093,1871,104,Legion Commander,True,4,3,12.201469047619048,59,185,42,21,"[0, 3, 8, 11, 17, 21, 24, 26, 32, 38, 42, 46, 54, 64, 65, 78, 81, 82, 92, 103, 108, 114, 120, 125, 141, 147, 147, 147, 147, 155, 155, 155, 158, 160, 170, 175, 175, 176, 176, 178, 185]",For The Pills,61.0,3,0.0,550,0,2920,1076,"[0, 90, 342, 447, 863, 1076, 1274, 1505, 1927, 2381, 2920, 3399, 3936, 4617, 4727, 5633, 5856, 5909, 6966, 7496, 8344, 9198, 9546, 10660, 13397, 13604, 14430, 14482, 15037, 15535, 15593, 15812, 16866, 17838, 18551, 18742, 18815, 19029, 19378, 22252, 22736]",3.125,1.6690865892291447,2.08697492340704,1.4395041828697623,3.6630207251730273,37.207777643535415,18,2.5714285714285716,1.2857142857142858
7,0.9559286463798531,0.6799580272822665,0.8761804826862539,0.9632738719832109,17,0.5540398740818469,0.22350472193074503,4,5,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1915,900,"[0, 139, 239, 378, 560, 900, 1041, 1181, 1287, 1565, 1915, 2061, 2381, 2751, 3356, 3507, 3712, 3989, 4679, 5189, 5711, 5817, 6332, 6726, 7972, 8156, 8788, 8942, 9136, 9429, 9815, 10157, 10404, 11172, 12011, 12123, 12235, 12347, 12689, 14059, 14472]",26895,400,5,Crystal Maiden,True,9,1,8.892114285714285,38,97,17,8,"[0, 0, 0, 1, 3, 8, 9, 10, 10, 14, 17, 18, 21, 26, 28, 29, 30, 30, 35, 39, 39, 39, 47, 49, 54, 54, 57, 58, 58, 63, 65, 68, 68, 71, 81, 81, 82, 82, 86, 92, 97]",Sakura Miko Stan,73.0,5,56.05847,0,0,2537,1004,"[0, 0, 241, 357, 607, 1004, 1349, 1652, 1756, 2121, 2537, 2680, 3149, 3757, 4477, 4595, 4844, 5847, 6797, 7319, 8009, 8287, 9040, 10126, 12333, 12540, 13366, 13739, 14196, 14695, 15622, 15789, 16629, 17603, 19081, 19197, 19277, 19434, 19781, 22676, 23029]",2.5,20.0,4.8809024134312695,0.9141000514158202,2.835619882660058,61.57344097418682,16,4.0,2.0
12,0.5425764192139738,0.9705240174672489,0.32860262008733626,0.1050328227571116,27,0.04912663755458515,0.05349344978165939,9,6,6,5,"[0, 0, 0, 2, 3, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",2226,1125,"[0, 139, 397, 614, 834, 1125, 1331, 1543, 1684, 1835, 2226, 2571, 2966, 3491, 3857, 4491, 5023, 5925, 6154, 6814, 7033, 7818, 8412, 9476, 9789, 10549, 11662, 11774, 12557, 13176, 13930, 14493, 15088, 15471, 16585, 16908, 17101, 17213, 17626, 18302, 18414]",25848,0,42,Skeleton King,True,5,1,8.892114285714285,44,265,27,13,"[0, 0, 4, 7, 9, 13, 15, 18, 19, 19, 27, 34, 42, 54, 64, 79, 90, 101, 101, 111, 112, 128, 139, 147, 147, 165, 177, 177, 193, 206, 220, 227, 234, 237, 251, 256, 259, 259, 265, 265, 265]",For The Thrills,63.0,1,19.329535,175,0,2105,1029,"[0, 56, 354, 470, 648, 1029, 1234, 1480, 1612, 1799, 2105, 2476, 2883, 3444, 3901, 4604, 5247, 6370, 6404, 7260, 7525, 8845, 9546, 10734, 11698, 12552, 14035, 14087, 14814, 15606, 16952, 17536, 18619, 19657, 20462, 20706, 20839, 20939, 21374, 22723, 22729]",2.8125,11.962883862702958,1.272719494864596,0.0,2.0,41.44648868197206,17,1.8888888888888888,0.9444444444444444
10,0.10748898678414097,0.6563876651982379,0.32599118942731276,0.37918871252204583,6,0.10484581497797357,0.4907488986784141,11,7,5,2,"[0, 0, 0, 2, 2, 2, 2, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1660,666,"[0, 139, 312, 413, 566, 666, 771, 877, 983, 1269, 1660, 1913, 2185, 2402, 2731, 2837, 3043, 3196, 3302, 3534, 3796, 3902, 4264, 4597, 4952, 5136, 5411, 5523, 6253, 6365, 6622, 7015, 7502, 7896, 8550, 8933, 9107, 9259, 9371, 9696, 9937]",11199,400,86,Rubick,True,2,3,12.201469047619048,33,65,6,5,"[0, 0, 2, 2, 5, 5, 5, 5, 5, 6, 6, 8, 10, 12, 15, 15, 16, 16, 17, 18, 20, 20, 22, 25, 27, 27, 27, 27, 37, 37, 40, 43, 43, 45, 52, 58, 60, 61, 62, 62, 65]",ass hamburger,31.0,4,27.104872,267,0,1931,866,"[0, 90, 342, 447, 653, 866, 1064, 1295, 1465, 1640, 1931, 2410, 2554, 3445, 4007, 4035, 4121, 4427, 4529, 4678, 5086, 5994, 6271, 6908, 7141, 7348, 8174, 8226, 9516, 9629, 10008, 10301, 12140, 13426, 13969, 14400, 14551, 14708, 14977, 14977, 15193]",1.25,0.14041850220264307,1.2531337649144196,2.9184313770233383,0.9269797146087134,28.754511394412553,12,1.0909090909090908,0.5454545454545454
14,0.9819444444444444,0.7555555555555555,0.9861111111111112,0.725,55,0.8083333333333333,0.9944444444444445,3,12,8,5,"[0, 0, 1, 2, 3, 5, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]",3347,1372,"[0, 267, 514, 788, 1120, 1372, 1745, 2141, 2400, 2924, 3347, 3925, 4351, 5139, 6148, 6809, 7512, 8238, 8460, 9482, 10208, 10753, 11993, 13120, 13671, 14410, 15377, 16449, 17248, 18054, 18714, 19494, 20465, 20578, 20780, 21709, 23446, 25670, 26161, 27268, 28640]",43411,115,97,Magnus,False,16,3,12.798530952380952,67,448,55,18,"[0, 1, 5, 9, 14, 18, 24, 30, 34, 46, 55, 67, 79, 95, 130, 145, 159, 160, 164, 193, 201, 208, 233, 262, 262, 273, 281, 303, 319, 321, 335, 356, 373, 373, 373, 397, 402, 416, 428, 439, 446]",OK BU OK,71.0,1,65.745316,18176,1,3150,1099,"[0, 34, 263, 575, 911, 1099, 1494, 1958, 2160, 2692, 3150, 3805, 4447, 5308, 6409, 7462, 8166, 8901, 9110, 10086, 10765, 12180, 13888, 15291, 16162, 17085, 19395, 20580, 21593, 23034, 23950, 25569, 26877, 26970, 27036, 27737, 32977, 33344, 33761, 38046, 39995]",3.5,20.0,5.0,5.0,4.12404981670535,77.57320118320969,30,10.0,1.951219512195122
17,0.45454545454545453,0.7012987012987013,0.8066378066378066,0.5108538350217077,46,0.4805194805194805,0.772005772005772,3,6,6,5,"[0, 1, 2, 4, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",2961,1521,"[0, 362, 570, 902, 1202, 1521, 1866, 2123, 2229, 2657, 2961, 3297, 3818, 4090, 4758, 5023, 5573, 5884, 6152, 6671, 7096, 7932, 8532, 9085, 9798, 10274, 11337, 11737, 12340, 13519, 13776, 14664, 15529, 15680, 16834, 17061, 18762, 20587, 22104, 22383, 23100]",34260,0,106,Ember Spirit,False,10,2,13.174978571428571,59,295,46,23,"[0, 4, 7, 13, 17, 23, 29, 33, 33, 42, 46, 53, 66, 70, 79, 81, 89, 91, 96, 106, 113, 122, 133, 148, 152, 161, 167, 170, 181, 193, 196, 199, 218, 220, 239, 241, 252, 264, 291, 291, 293]",Hush,63.0,2,77.90853,3285,1,3897,2103,"[0, 354, 652, 1227, 1627, 2103, 2531, 2778, 2906, 3479, 3897, 4306, 4747, 5002, 5898, 6424, 6979, 8274, 8612, 9172, 9835, 11047, 11767, 12889, 15494, 16073, 18145, 18883, 19327, 20867, 21229, 22715, 23789, 23892, 25419, 26068, 31417, 32232, 34212, 34970, 35157]",2.9,7.3738150284998385,4.422584768216563,4.137578248329837,2.9074901534081445,53.71761041520454,27,9.0,1.7560975609756098
14,0.44054441260744986,0.7270773638968482,0.3553008595988539,0.5,19,0.13753581661891118,0.45343839541547276,7,8,6,1,"[0, 1, 1, 1, 1, 1, 2, 2, 3, 4, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",2039,840,"[0, 219, 319, 455, 704, 840, 1156, 1411, 1561, 1819, 2039, 2368, 2474, 2661, 3095, 3471, 3907, 4268, 4634, 4824, 5366, 5472, 5650, 5822, 5935, 6589, 6985, 7361, 7805, 8331, 8721, 9299, 9597, 9710, 9948, 10060, 10459, 11630, 12109, 13093, 14014]",20733,0,25,Lina,False,5,1,16.107885714285715,41,133,19,5,"[0, 0, 0, 1, 4, 5, 11, 13, 14, 16, 19, 20, 20, 20, 26, 27, 31, 31, 37, 37, 40, 40, 41, 46, 46, 56, 62, 69, 76, 84, 92, 100, 103, 103, 104, 105, 107, 107, 116, 125, 128]",[Gachi]Lee·意大利炮·云龙,63.0,4,36.311497,2213,1,2583,892,"[0, 118, 294, 520, 793, 892, 1304, 1517, 1795, 2424, 2583, 2819, 2939, 3259, 4068, 4554, 4827, 5081, 5738, 6100, 7159, 8034, 8076, 8312, 8386, 9007, 11067, 11485, 11843, 12976, 13298, 14809, 15099, 15163, 15358, 15587, 16967, 17292, 17680, 20159, 22108]",1.3,6.936282467937192,1.2765042979942691,1.7671919770773636,1.3402628061991424,44.19711886691336,19,2.7142857142857144,0.5296167247386759
23,0.4338292873923258,0.6303837118245889,0.5043069694596711,0.5333333333333333,4,0.17149569303054032,0.3523884103367267,5,3,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1511,697,"[0, 219, 319, 420, 597, 697, 847, 998, 1104, 1210, 1511, 1708, 1814, 2033, 2323, 2683, 2942, 3252, 3358, 3541, 3791, 3977, 4235, 4616, 5007, 5343, 5859, 6482, 6779, 7242, 7435, 7854, 8161, 8354, 8938, 9156, 9983, 11302, 11654, 12044, 12943]",17304,400,68,Ancient Apparition,False,2,3,12.798530952380952,30,44,4,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 4, 5, 5, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 17, 19, 21, 22, 22, 22, 27, 28, 28, 30, 30, 31, 35, 37, 41, 44]",hqk,51.0,5,9.716377,102,1,1891,770,"[0, 34, 263, 495, 582, 770, 982, 1039, 1241, 1491, 1891, 2859, 2881, 3247, 3864, 4409, 4774, 5509, 5543, 5749, 6288, 6388, 6474, 6828, 6874, 7043, 7219, 8069, 8406, 9547, 9869, 11933, 12237, 12301, 12729, 12879, 14093, 14255, 14529, 15376, 15585]",2.5,6.7264348049645655,2.1551034893805467,1.2619420516836333,1.0964400054355221,40.82838662130034,25,5.0,0.975609756097561
16,0.6714285714285714,0.8959183673469387,0.6020408163265306,0.7612244897959184,49,0.19183673469387755,0.7326530612244898,6,20,13,3,"[0, 1, 3, 3, 3, 3, 4, 5, 9, 10, 13, 16, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",4520,1759,"[0, 303, 606, 953, 1492, 1759, 2310, 2723, 3191, 3935, 4520, 5071, 5559, 5877, 6151, 6483, 7163, 7853, 7959, 8216, 8883, 9298, 10155, 10422, 10617, 11229, 11800, 12265, 12887, 13243, 13596, 14037, 15091, 15525, 16592, 17103, 17751, 19289, 19852, 20713, 21294]",24387,0,69,Doom,False,6,1,16.107885714285715,91,198,49,17,"[0, 2, 6, 12, 14, 17, 22, 27, 35, 40, 49, 58, 64, 65, 69, 73, 78, 78, 78, 81, 85, 89, 106, 112, 112, 122, 125, 135, 140, 143, 143, 151, 163, 165, 177, 181, 186, 189, 193, 195, 195]",angang.Rhongomyniad!!!,,3,12.7716255,1770,1,3295,1079,"[0, 118, 294, 611, 837, 1079, 1608, 1821, 2099, 2725, 3295, 3792, 4310, 4575, 4926, 5495, 5737, 6936, 6970, 7231, 8211, 8463, 9298, 9899, 10030, 10864, 11068, 11614, 12137, 12547, 12605, 13130, 14124, 14398, 15665, 16081, 17374, 17791, 18053, 21233, 21311]",1.9,14.15141243109724,2.8881073408819926,3.8424329174702208,2.1939001719610203,63.20575165491721,22,3.6666666666666665,0.7154471544715447
