assists,benchmarks.gold_per_min.raw,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,benchmarks.xp_per_min.raw,core_dn_10,core_dn_5,core_gold_10,core_gold_5,core_lh_10,core_lh_5,core_xp_10,core_xp_5,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,support_dn_10,support_dn_5,support_gold_10,support_gold_5,support_lh_10,support_lh_5,support_xp_10,support_xp_5,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,kda_lookup_value,hero_lane_kda,hero_lane_gpm,hero_lane_xpm,ka,kda,expected_kda_ratio,kda_ratio,expected_gpm_ratio,gpm_ratio,expected_xpm_ratio,xpm_ratio
16,350,0.2808362369337979,0.7268292682926829,0.2731707317073171,0.3748251748251748,10,0.697560975609756,0.402787456445993,450,10.333333333333334,4.0,3686.3333333333335,1608.6666666666667,49.333333333333336,22.333333333333332,3920.3333333333335,1570.3333333333333,11,5,2,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",2145,1024,"[0, 180, 280, 577, 807, 1024, 1152, 1568, 1797, 2006, 2145, 2344, 2884, 3210, 3570, 3766, 4077, 4270, 4440, 4761, 5072, 5178, 5487, 6044, 6354, 6996, 7351, 7689, 7919, 8142, 8376, 8621, 9044, 9394, 10589, 10794, 11541, 12304, 12526, 12774, 13448, 13567, 14009, 14511, 14631, 15494, 16212]",19818,0,25,Lina,True,6,3,14.152357142857143,43,126,10,4,"[0, 0, 0, 1, 3, 4, 6, 8, 9, 10, 10, 12, 12, 16, 16, 16, 19, 19, 19, 19, 21, 21, 22, 23, 29, 40, 48, 53, 55, 55, 58, 59, 65, 65, 78, 80, 85, 92, 92, 92, 104, 104, 110, 111, 111, 111, 126]",+÷-x,55.0,4,79.55742,3.5,2.5,1837.0,876.5,6.5,2.5,2656.5,1063.5,1454,0,3106,1036,"[0, 28, 241, 559, 806, 1036, 1305, 1854, 2360, 2860, 3106, 3475, 3497, 3883, 4349, 4613, 4987, 5021, 5570, 5881, 6079, 6274, 6622, 7159, 7485, 8335, 8868, 9122, 9363, 9521, 9943, 10145, 10770, 11037, 12147, 12270, 13419, 15149, 15331, 16472, 17151, 17223, 17702, 19598, 19598, 20573, 21080]",10.319012228955813,3.8859391086531816,7.660693010148874,1.513937282229965,3.349561022260553,40.88149979510553,Lina_3,2.1,376.0,480.0,22,2.0,0.1617873651771957,0.15001923323503014,0.18531296205027106,0.17748478701825557,0.1926163723916533,0.16691394658753708
11,503,0.6602209944751382,0.8176795580110497,0.580110497237569,0.7520891364902507,49,0.494475138121547,0.6823204419889503,596,10.333333333333334,4.0,3686.3333333333335,1608.6666666666667,49.333333333333336,22.333333333333332,3920.3333333333335,1570.3333333333333,9,19,16,5,"[0, 0, 0, 1, 2, 5, 6, 12, 14, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 19, 19, 19, 19, 19, 19, 19]",3942,1834,"[0, 297, 594, 982, 1393, 1834, 2098, 2508, 2855, 3540, 3942, 4303, 5071, 5585, 6244, 6739, 7438, 8078, 9246, 9672, 10062, 10535, 10996, 11320, 11432, 11918, 12321, 12904, 13254, 13544, 13894, 14654, 14766, 16715, 17446, 17667, 18232, 19217, 19890, 20205, 20371, 21029, 21523, 22386, 22506, 22906, 23411]",36623,0,15,Razor,True,14,1,16.661765476190475,79,260,49,21,"[0, 3, 8, 15, 17, 21, 25, 33, 38, 42, 49, 55, 66, 76, 83, 90, 99, 108, 119, 127, 131, 141, 146, 147, 147, 159, 159, 169, 173, 175, 184, 191, 191, 196, 200, 200, 202, 210, 221, 224, 224, 233, 240, 249, 249, 249, 260]",ligmasugma,61.0,1,0.0,3.5,2.5,1837.0,876.5,6.5,2.5,2656.5,1063.5,4133,0,3575,1421,"[0, 118, 380, 712, 1033, 1421, 1674, 2131, 2499, 3061, 3575, 3963, 4677, 5318, 6284, 6548, 6894, 7916, 10172, 10483, 10877, 11444, 11790, 12358, 12404, 12823, 13478, 14322, 14673, 14757, 15295, 16385, 16466, 19435, 19814, 19882, 20818, 22370, 22711, 23840, 24296, 24833, 24962, 26580, 26580, 27498, 27991]",11.556142358278343,15.50414364640884,12.768872483513817,3.543062419556273,2.6748204212633833,62.70880680521113,Razor_1,2.81,466.0,547.0,25,2.7777777777777777,0.21648690292758088,0.20836004615976408,0.22966978807294233,0.2550709939148073,0.2195024077046549,0.22106824925816024
23,420,0.6142506142506142,0.8452088452088452,0.5405405405405406,0.7192118226600985,48,0.914004914004914,0.714987714987715,673,10.333333333333334,4.0,3686.3333333333335,1608.6666666666667,49.333333333333336,22.333333333333332,3920.3333333333335,1570.3333333333333,10,11,11,4,"[0, 0, 2, 2, 3, 4, 8, 8, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",3560,1341,"[0, 214, 553, 750, 1085, 1341, 1724, 2135, 2630, 2988, 3560, 3975, 4730, 5070, 5850, 6234, 6497, 7161, 7454, 7583, 8026, 8132, 8561, 9103, 9215, 9796, 10430, 10617, 11024, 11430, 12073, 12437, 12549, 13231, 14185, 14820, 15245, 15963, 16985, 17233, 17345, 17592, 17970, 18486, 18606, 19006, 19531]",37289,5774,45,Pugna,True,6,3,14.152357142857143,71,187,48,18,"[0, 1, 7, 9, 14, 18, 25, 27, 35, 41, 48, 54, 57, 64, 67, 71, 72, 80, 81, 81, 84, 84, 87, 91, 91, 101, 112, 115, 119, 123, 137, 137, 137, 140, 145, 149, 151, 158, 173, 173, 173, 176, 179, 179, 179, 179, 187]",,,3,9.958008,3.5,2.5,1837.0,876.5,6.5,2.5,2656.5,1063.5,6090,0,3548,1094,"[0, 142, 412, 657, 940, 1094, 1552, 1921, 2343, 2797, 3548, 4585, 6043, 6319, 7504, 7852, 8213, 8863, 9348, 9824, 10017, 10057, 11531, 12190, 12236, 12815, 13979, 14108, 14792, 15158, 15769, 15923, 16955, 19961, 20250, 21620, 22559, 24388, 25461, 25537, 25615, 27008, 27526, 29069, 29069, 30009, 30557]",17.853220044264088,14.305138399803692,15.081626997670966,3.788066967047009,4.78940402103132,69.96981357267423,Pugna_3,2.23,372.0,459.0,29,2.9,0.17180277349768874,0.21752788819079372,0.18334154756037457,0.2129817444219067,0.18418940609951845,0.24962908011869436
25,272,0.4188034188034188,0.4444444444444444,0.0709401709401709,0.1148243359040274,3,0.6230769230769231,0.7700854700854701,396,10.333333333333334,4.0,3686.3333333333335,1608.6666666666667,49.333333333333336,22.333333333333332,3920.3333333333335,1570.3333333333333,13,5,5,4,"[0, 1, 3, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1529,729,"[0, 214, 314, 414, 591, 729, 835, 941, 1135, 1344, 1529, 1765, 2527, 2687, 2962, 3183, 3352, 3683, 4078, 4207, 4601, 4707, 5150, 5587, 5699, 5884, 6071, 6222, 6415, 6638, 6775, 6978, 7276, 7864, 8548, 8743, 9082, 9751, 9973, 10517, 10629, 11010, 11130, 11806, 12045, 12445, 12564]",18830,40,86,Rubick,True,3,1,16.661765476190475,30,42,3,1,"[0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 5, 7, 7, 9, 11, 12, 16, 17, 17, 19, 19, 23, 27, 27, 27, 27, 28, 28, 28, 29, 30, 34, 34, 36, 38, 38, 39, 39, 39, 39, 40, 40, 40, 42, 42, 42]",...,55.0,5,66.624306,3.5,2.5,1837.0,876.5,6.5,2.5,2656.5,1063.5,902,0,2207,1091,"[0, 118, 266, 484, 703, 1091, 1275, 1383, 1397, 1929, 2207, 2464, 3238, 3338, 3860, 3888, 4015, 4353, 5082, 5294, 5396, 5436, 6029, 6164, 6210, 6357, 6509, 6895, 7036, 7092, 7266, 7326, 7881, 10736, 11143, 11380, 12492, 13914, 14040, 15146, 15224, 15444, 15873, 17257, 17449, 18587, 18639]",12.472259785176439,8.197413542078834,6.394200897875886,4.201300130280172,2.0622157075562315,49.98915553915804,Rubick_1,2.14,309.0,391.0,28,2.1538461538461537,0.16486902927580893,0.16155917425310937,0.15229176934450467,0.13793103448275862,0.15690208667736757,0.14688427299703263
14,427,0.2319660537482319,0.6760961810466761,0.2248939179632249,0.6676096181046676,51,0.7383309759547383,0.5785007072135785,581,10.333333333333334,4.0,3686.3333333333335,1608.6666666666667,49.333333333333336,22.333333333333332,3920.3333333333335,1570.3333333333333,6,4,4,3,"[0, 1, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3557,1651,"[0, 256, 632, 909, 1304, 1651, 1990, 2292, 2784, 3120, 3557, 4111, 4903, 5387, 5667, 6104, 6305, 6574, 7090, 7378, 7824, 8157, 8964, 9413, 9754, 10342, 10554, 10840, 11135, 11546, 11915, 12351, 13024, 14069, 14951, 15172, 15339, 16690, 16912, 17212, 17366, 17679, 17947, 18591, 19182, 19582, 19831]",30894,0,106,Ember Spirit,True,7,2,12.210483333333332,71,215,51,28,"[0, 2, 9, 14, 21, 28, 34, 40, 43, 48, 51, 63, 75, 82, 85, 89, 89, 91, 91, 94, 100, 105, 113, 118, 123, 132, 133, 138, 142, 145, 155, 158, 169, 173, 180, 180, 180, 195, 195, 195, 196, 200, 203, 203, 211, 211, 215]",Nanjou Sachi,62.0,2,112.40275,3.5,2.5,1837.0,876.5,6.5,2.5,2656.5,1063.5,1648,0,4638,2196,"[0, 170, 664, 1170, 1646, 2196, 2660, 3251, 3727, 4201, 4638, 5356, 6210, 6553, 7193, 7413, 7697, 8184, 8618, 9213, 9607, 10058, 10697, 10905, 11272, 11996, 12651, 12892, 13048, 13284, 13734, 14811, 15777, 19315, 19594, 20580, 20650, 22218, 22673, 22762, 22972, 23514, 24056, 24831, 25951, 26923, 27308]",10.005604142169727,2.4743635077793478,6.297581040845946,2.764414408740985,3.3631619468129386,37.11560837968227,Ember Spirit_2,3.7,506.0,615.0,21,3.5,0.2850539291217257,0.26253365816130275,0.24938393297190733,0.2165314401622718,0.24678972712680577,0.21550445103857566
19,564,0.2776255707762557,0.9963470319634704,0.3753424657534246,0.330593607305936,58,0.8191780821917808,0.7095890410958904,668,3.3333333333333335,2.0,2841.0,1289.0,34.333333333333336,18.333333333333332,3594.0,1556.0,4,7,7,4,"[0, 2, 2, 3, 4, 4, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",3401,1758,"[0, 289, 591, 968, 1386, 1758, 2149, 2417, 2686, 2932, 3401, 3902, 4357, 4824, 5335, 5754, 5966, 6788, 7131, 7360, 7918, 8318, 8679, 9017, 9888, 10391, 11119, 11633, 12245, 12532, 13640, 14323, 15203, 15756, 16010, 16824, 17586, 18138, 18534, 19048, 19743, 20825, 21361, 23019, 24327, 25364, 25717]",27677,810,46,Templar Assassin,False,7,2,12.789516666666668,68,353,58,32,"[0, 3, 8, 16, 24, 32, 39, 41, 45, 48, 58, 68, 80, 92, 103, 114, 117, 127, 133, 133, 144, 148, 154, 157, 169, 177, 185, 196, 205, 208, 233, 243, 259, 266, 266, 268, 281, 293, 298, 298, 308, 324, 333, 341, 350, 353, 353]",Admiral Anakin-drick,61.0,2,1.003418,0.0,0.0,2319.0,796.5,9.5,0.5,1998.0,860.5,10461,1,4221,2337,"[0, 367, 763, 1327, 1870, 2337, 2915, 3264, 3536, 3603, 4221, 4941, 5584, 6160, 7231, 7965, 8166, 8786, 9029, 9071, 9742, 9938, 10493, 11109, 12492, 12794, 13564, 13934, 14576, 15290, 16697, 17996, 18867, 19666, 20505, 21976, 22576, 23150, 23617, 24228, 24521, 25987, 26168, 32468, 33182, 33993, 34083]",18.90761560368197,3.330479452054794,8.306897594875066,3.643542599247822,4.7979452054794525,51.77599712200577,Templar Assassin_2,3.17,553.0,651.0,26,6.5,0.21892265193370164,0.19877675840978593,0.27281697089294527,0.22687047465808527,0.2593625498007968,0.2063639172072907
22,333,0.6391891891891892,0.4986486486486486,0.5581081081081081,0.9742547425474256,14,0.9297297297297298,0.2891891891891892,411,3.3333333333333335,2.0,2841.0,1289.0,34.333333333333336,18.333333333333332,3594.0,1556.0,15,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2848,1013,"[0, 180, 280, 696, 796, 1013, 1133, 1659, 1957, 2188, 2848, 2954, 3120, 3280, 3641, 3747, 3897, 4087, 4193, 4422, 4564, 5075, 5253, 5731, 5890, 6075, 6527, 7061, 7295, 7751, 7931, 8405, 8607, 8809, 9063, 9521, 9829, 10040, 10152, 10835, 11145, 11577, 11917, 12598, 13333, 14041, 14852]",18411,328,87,Disruptor,False,7,3,10.847642857142857,57,56,14,1,"[0, 0, 0, 0, 0, 1, 3, 5, 5, 8, 14, 14, 14, 14, 14, 14, 14, 15, 16, 16, 17, 19, 19, 21, 21, 21, 21, 29, 29, 30, 31, 31, 31, 31, 31, 31, 32, 32, 32, 34, 34, 38, 39, 44, 44, 48, 55]",Orpheus,61.0,5,0.0,0.0,0.0,2319.0,796.5,9.5,0.5,1998.0,860.5,24,1,2378,1008,"[0, 41, 220, 554, 711, 1008, 1083, 1548, 1820, 2027, 2378, 2442, 2771, 3008, 3505, 3629, 3809, 4465, 4546, 5289, 5773, 6539, 6651, 7547, 7593, 7951, 8311, 9207, 9382, 10050, 10615, 12012, 12012, 12076, 13244, 13365, 13503, 13575, 13721, 15499, 15499, 16458, 16606, 16690, 16776, 17607, 18871]",6.807692307692308,14.050858993177098,10.368500948308954,0.9459459459459458,3.4983108108108105,46.51895186307797,Disruptor_3,2.5,304.0,408.0,29,1.9333333333333333,0.17265193370165746,0.05912334352701325,0.14997533300444005,0.13395012067578438,0.16254980079681275,0.12696941612604262
26,374,0.4144385026737968,0.6229946524064172,0.4665775401069518,0.4516129032258064,5,0.2780748663101604,0.9558823529411764,666,3.3333333333333335,2.0,2841.0,1289.0,34.333333333333336,18.333333333333332,3594.0,1556.0,9,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1790,580,"[0, 180, 280, 380, 480, 580, 686, 1125, 1302, 1493, 1790, 1936, 2081, 2241, 2499, 2605, 2711, 2914, 3020, 3189, 3357, 3958, 4136, 4552, 5255, 5561, 6056, 6483, 7009, 7504, 8106, 8956, 9225, 9510, 10152, 10700, 10977, 11188, 11300, 11598, 12076, 12610, 12950, 14086, 15164, 15705, 16381]",16679,0,71,Spirit Breaker,False,7,1,8.338234523809524,36,78,5,0,"[0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 9, 10, 11, 12, 13, 19, 22, 27, 35, 36, 46, 49, 50, 50, 50, 53, 54, 54, 54, 55, 59, 62, 62, 62, 70, 70, 74]",OkFury,55.0,4,125.28289,0.0,0.0,2319.0,796.5,9.5,0.5,1998.0,860.5,3867,1,1618,713,"[0, 62, 219, 369, 459, 713, 792, 1039, 1223, 1352, 1618, 2098, 2372, 3225, 4103, 4265, 4441, 4868, 4902, 4938, 5042, 6617, 6716, 7556, 9507, 9873, 11537, 12240, 12742, 14634, 15547, 17002, 17662, 18337, 19228, 20758, 20890, 20962, 21041, 21713, 22023, 23215, 24705, 30584, 31984, 32881, 34198]",13.213610455884648,7.027400039571084,12.583014512693943,5.0,1.2188932564158719,47.381152788375076,Spirit Breaker_1,2.89,341.0,440.0,33,3.6666666666666665,0.19958563535911603,0.11213047910295615,0.16822890971879625,0.1504424778761062,0.1752988047808765,0.2057460611677479
20,729,0.9306569343065694,0.97992700729927,0.9306569343065694,0.0568807339449541,21,0.6405109489051095,0.6897810218978102,876,3.3333333333333335,2.0,2841.0,1289.0,34.333333333333336,18.333333333333332,3594.0,1556.0,2,2,2,2,"[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2512,1099,"[0, 180, 352, 599, 835, 1099, 1205, 1661, 1875, 1981, 2512, 2806, 3232, 3614, 4455, 5174, 5814, 6368, 6720, 7330, 7824, 8899, 9409, 10072, 11534, 12322, 13419, 14644, 15431, 16461, 16899, 17911, 18877, 19712, 20882, 21855, 22674, 23404, 24260, 25851, 26346, 27032, 27839, 29318, 30875, 32017, 32639]",65860,0,67,Spectre,False,16,3,10.847642857142857,50,424,21,12,"[0, 0, 2, 5, 8, 12, 12, 16, 19, 19, 21, 28, 41, 46, 55, 73, 88, 100, 109, 123, 137, 148, 156, 161, 173, 188, 194, 205, 228, 232, 239, 246, 261, 278, 296, 302, 315, 330, 355, 367, 372, 379, 389, 391, 406, 413, 417]",KΛЯMΛ,61.0,1,2.006836,0.0,0.0,2319.0,796.5,9.5,0.5,1998.0,860.5,6299,1,3474,1315,"[0, 85, 287, 747, 1025, 1315, 1481, 2003, 2364, 2380, 3474, 3942, 4483, 4917, 5712, 6719, 7613, 8426, 8749, 9688, 10414, 11593, 12245, 12975, 15342, 16477, 18353, 20781, 21434, 23400, 23834, 27246, 27906, 29206, 31553, 33083, 34019, 34829, 35740, 40937, 41190, 42295, 42582, 47071, 47671, 48518, 49732]",23.70689655172414,20.0,20.0,3.4949824552622206,4.056171368684762,82.10569323281396,Spectre_3,3.28,448.0,537.0,36,18.0,0.22651933701657456,0.5504587155963302,0.22101628021706957,0.2932421560740145,0.21394422310756972,0.2706209453197405
14,486,0.3576110706482155,0.7771303714493809,0.6045156591405682,0.4493809176984705,24,0.1252731245447924,0.7123088128186453,616,3.3333333333333335,2.0,2841.0,1289.0,34.333333333333336,18.333333333333332,3594.0,1556.0,10,2,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2610,1010,"[0, 230, 440, 776, 910, 1010, 1236, 1471, 1611, 2135, 2610, 2826, 3273, 3577, 4036, 4231, 4426, 4712, 4818, 5313, 5654, 6102, 6603, 7572, 8740, 9335, 9912, 10549, 11007, 11310, 11860, 12563, 13124, 13927, 14039, 15215, 15849, 16060, 16241, 16459, 16874, 18141, 18753, 19083, 19997, 20688, 21586]",22379,0,21,Windranger,False,12,1,8.338234523809524,52,206,24,11,"[0, 1, 4, 10, 11, 11, 14, 15, 16, 17, 24, 27, 30, 33, 33, 35, 37, 39, 39, 41, 46, 49, 56, 61, 72, 80, 85, 95, 106, 108, 120, 125, 135, 143, 143, 161, 168, 168, 169, 169, 173, 193, 193, 193, 198, 201, 204]",,,3,38.79182,0.0,0.0,2319.0,796.5,9.5,0.5,1998.0,860.5,3854,1,3087,1016,"[0, 34, 282, 706, 938, 1016, 1385, 1604, 1873, 2687, 3087, 3469, 3855, 4275, 5117, 5164, 5306, 5984, 6109, 6539, 7061, 7911, 8240, 9449, 12104, 12885, 14916, 15307, 15886, 15999, 16804, 18419, 18925, 19838, 19904, 21402, 21672, 21744, 21823, 22440, 22615, 24155, 25508, 25592, 25718, 25955, 27282]",8.731010368941405,5.251542788771669,14.773437089527933,3.663940887168484,1.414897848413566,42.17306350663259,Windranger_1,2.64,381.0,474.0,26,2.6,0.18232044198895028,0.07951070336391437,0.1879625061667489,0.19549477071600965,0.1888446215139442,0.19029966017917826
